B00, 0
B01, 0
B02, 100
B03, Trade, 4312029.293, 85, B03, S01, 1
B03, Trade, 4312098.143, 85, B03, S01, 1
B03, Trade, 4312766.793, 85, B03, S01, 1
B03, Trade, 4312972.243, 83, B03, S01, 1
B03, Trade, 4313000.843, 83, B03, S01, 1
B03, Trade, 4313022.143, 80, B03, S01, 1
B03, Trade, 4313039.743, 78, B03, S01, 1
B03, Trade, 4313055.193, 81, B03, S01, 1
B03, Trade, 4313069.643, 85, B03, S01, 1
B03, Trade, 4313081.643, 85, B03, S01, 1
B03, Trade, 4313126.243, 85, B03, S01, 1
B03, Trade, 4313150.093, 85, B03, S01, 1
B03, Trade, 4313162.743, 85, B03, S01, 1
B03, Trade, 4313189.993, 85, B03, S01, 1
B03, Trade, 4313203.493, 85, B03, S01, 1
B03, Trade, 4313260.093, 83, B03, S01, 1
B03, Trade, 4313337.843, 83, B03, S01, 1
B03, Trade, 4313349.393, 82, B03, S01, 1
B03, Trade, 4313361.993, 85, B03, S01, 1
B03, Trade, 4313369.093, 85, B03, S01, 1
B03, Trade, 4313527.543, 85, B03, S01, 1
B03, Trade, 4313665.393, 85, B03, S01, 1
B03, Trade, 4313932.243, 85, B03, S01, 1
B03, Trade, 4314375.743, 85, B03, S01, 1
B03, Trade, 4314447.743, 85, B03, S01, 1
B03, Trade, 4314553.643, 85, B03, S01, 1
B03, Trade, 4314620.343, 85, B03, S01, 1
B03, Trade, 4314636.043, 85, B03, S01, 1
B03, Trade, 4314683.843, 85, B03, S01, 1
B03, Trade, 4314720.343, 85, B03, S01, 1
B03, Trade, 4314749.193, 85, B03, S01, 1
B03, Trade, 4314757.543, 85, B03, S01, 1
B03, Trade, 4314759.393, 73, S01, B03, 1
B03, Trade, 4314890.993, 85, B03, S01, 1
B03, Trade, 4314897.693, 84, B03, S01, 1
B03, Trade, 4314995.293, 85, B03, S01, 1
B03, Trade, 4315301.243, 85, B03, S01, 1
B03, Trade, 4315421.193, 85, B03, S01, 1
B03, Trade, 4315443.593, 85, B03, S01, 1
B03, Trade, 4315494.993, 85, B03, S01, 1
B03, Trade, 4315722.493, 85, B03, S01, 1
B03, Trade, 4315783.993, 85, B03, S01, 1
B03, Trade, 4315887.643, 85, B03, S01, 1
B03, Trade, 4316336.343, 85, B03, S01, 1
B03, Trade, 4316354.093, 85, B03, S01, 1
B03, Trade, 4316614.243, 85, B03, S01, 1
B03, Trade, 4316638.343, 85, B03, S01, 1
B03, Trade, 4316743.393, 85, B03, S01, 1
B03, Trade, 4316750.193, 85, B03, S01, 1
B03, Trade, 4316860.693, 85, B03, S01, 1
B03, Trade, 4316981.993, 85, B03, S01, 1
B03, Trade, 4317068.693, 85, B03, S01, 1
B03, Trade, 4317183.393, 85, B03, S01, 1
B03, Trade, 4317228.143, 85, B03, S01, 1
B03, Trade, 4317454.193, 85, B03, S01, 1
B03, Trade, 4317481.843, 85, B03, S01, 1
B03, Trade, 4317517.943, 85, B03, S01, 1
B03, Trade, 4317590.043, 85, B03, S01, 1
B03, Trade, 4317659.793, 85, B03, S01, 1
B03, Trade, 4317665.493, 84, B03, S01, 1
B03, Trade, 4317750.543, 85, B03, S01, 1
B03, Trade, 4318047.343, 85, B03, S01, 1
B03, Trade, 4318055.193, 85, B03, S01, 1
B03, Trade, 4318161.043, 71, S01, B03, 1
B03, Trade, 4318175.393, 85, B03, S01, 1
B03, Trade, 4318335.893, 85, B03, S01, 1
B03, Trade, 4318401.243, 85, B03, S01, 1
B03, Trade, 4318440.293, 85, B03, S01, 1
B03, Trade, 4318537.643, 85, B03, S01, 1
B03, Trade, 4318550.643, 85, B03, S01, 1
B03, Trade, 4318580.893, 85, B03, S01, 1
B03, Trade, 4318606.043, 85, B03, S01, 1
B03, Trade, 4318621.243, 85, B03, S01, 1
B03, Trade, 4318719.743, 85, B03, S01, 1
B03, Trade, 4319468.093, 85, B03, S01, 1
B03, Trade, 4319578.243, 85, B03, S01, 1
B03, Trade, 4319630.593, 85, B03, S01, 1
B03, Trade, 4319698.993, 85, B03, S01, 1
B04, 100
B04, Trade, 4319014.393, 93, B04, S01, 1
B04, Trade, 4319025.943, 94, B04, S03, 1
B04, Trade, 4319035.943, 93, B04, S03, 1
B04, Trade, 4319046.843, 94, B04, S03, 1
B04, Trade, 4319054.943, 91, B04, S03, 1
B04, Trade, 4319072.643, 88, B04, S01, 1
B04, Trade, 4319076.093, 87, S03, B04, 1
B04, Trade, 4319082.743, 92, B04, S01, 1
B04, Trade, 4319097.343, 93, B04, S01, 1
B04, Trade, 4319106.243, 91, B04, S01, 1
B04, Trade, 4319111.593, 89, B04, S01, 1
B04, Trade, 4319123.493, 91, B04, S01, 1
B04, Trade, 4319130.143, 93, B04, S03, 1
B04, Trade, 4319140.343, 92, B04, S01, 1
B04, Trade, 4319150.243, 93, B04, S03, 1
B04, Trade, 4319153.293, 92, B04, S01, 1
B04, Trade, 4319159.093, 91, B04, S03, 1
B04, Trade, 4319167.743, 92, B04, S03, 1
B04, Trade, 4319180.743, 93, B04, S01, 1
B04, Trade, 4319185.493, 91, B04, S01, 1
B04, Trade, 4319193.143, 91, B04, S03, 1
B04, Trade, 4319196.493, 91, B04, S03, 1
B04, Trade, 4319205.143, 92, B04, S01, 1
B04, Trade, 4319214.393, 90, B04, S03, 1
B04, Trade, 4319217.293, 94, B04, S01, 1
B04, Trade, 4319229.543, 94, B04, S01, 1
B04, Trade, 4319243.743, 93, B04, S01, 1
B04, Trade, 4319252.993, 92, B04, S01, 1
B04, Trade, 4319264.793, 93, B04, S02, 1
B04, Trade, 4319267.043, 93, B04, S01, 1
B04, Trade, 4319279.343, 87, B04, S03, 1
B04, Trade, 4319284.443, 87, B04, S01, 1
B04, Trade, 4319288.193, 87, B04, S01, 1
B04, Trade, 4319296.843, 93, B04, S01, 1
B04, Trade, 4319307.293, 92, B04, S01, 1
B04, Trade, 4319316.693, 92, B04, S01, 1
B04, Trade, 4319325.593, 89, B04, S01, 1
B04, Trade, 4319335.743, 94, B04, S01, 1
B04, Trade, 4319341.793, 94, B04, S01, 1
B04, Trade, 4319361.643, 91, B04, S03, 1
B04, Trade, 4319363.743, 90, B04, S03, 1
B04, Trade, 4319371.793, 90, B04, S01, 1
B04, Trade, 4319382.143, 94, B04, S01, 1
B04, Trade, 4319392.743, 94, B04, S01, 1
B04, Trade, 4319400.493, 94, B04, S01, 1
B04, Trade, 4319408.343, 94, B04, S01, 1
B04, Trade, 4319417.793, 94, B04, S01, 1
B04, Trade, 4319433.593, 92, B04, S03, 1
B04, Trade, 4319439.543, 92, B04, S01, 1
B04, Trade, 4319454.143, 93, B04, S03, 1
B04, Trade, 4319459.643, 93, B04, S03, 1
B04, Trade, 4319468.643, 88, B04, S03, 1
B04, Trade, 4319475.343, 89, B04, S03, 1
B04, Trade, 4319516.043, 83, B04, S01, 1
B04, Trade, 4319523.343, 84, B04, S01, 1
B04, Trade, 4319536.593, 85, B04, S01, 1
B04, Trade, 4319547.693, 84, B04, S01, 1
B04, Trade, 4319558.093, 87, B04, S01, 1
B04, Trade, 4319565.193, 89, B04, S01, 1
B04, Trade, 4319570.193, 88, B04, S01, 1
B04, Trade, 4319576.843, 94, B04, S03, 1
B04, Trade, 4319599.093, 94, B04, S01, 1
B04, Trade, 4319615.343, 94, B04, S01, 1
B04, Trade, 4319623.343, 93, B04, S03, 1
B04, Trade, 4319633.293, 91, B04, S03, 1
B04, Trade, 4319640.393, 90, B04, S01, 1
B04, Trade, 4319654.393, 93, B04, S01, 1
B04, Trade, 4319661.143, 91, B04, S01, 1
B04, Trade, 4319665.943, 90, B04, S03, 1
B04, Trade, 4319672.043, 89, B04, S01, 1
B04, Trade, 4319680.393, 89, B04, S01, 1
B04, Trade, 4319695.543, 92, B04, S03, 1
B04, Trade, 4319704.443, 94, B04, S03, 1
B04, Trade, 4319728.593, 94, B04, S01, 1
B04, Trade, 4319737.893, 93, B04, S01, 1
B04, Trade, 4319740.593, 94, B04, S03, 1
B04, Trade, 4319747.993, 92, B04, S03, 1
B04, Trade, 4319755.793, 93, B04, S01, 1
B04, Trade, 4319766.793, 93, B04, S01, 1
B04, Trade, 4319774.193, 93, B04, S01, 1
B04, Trade, 4319777.043, 94, B04, S03, 1
B04, Trade, 4319782.843, 91, B04, S01, 1
B04, Trade, 4319800.743, 94, B04, S03, 1
B04, Trade, 4319810.543, 91, B04, S01, 1
B04, Trade, 4319818.443, 94, B04, S03, 1
B04, Trade, 4319832.293, 94, B04, S01, 1
B04, Trade, 4319843.043, 94, B04, S03, 1
B04, Trade, 4319867.043, 94, B04, S03, 1
B04, Trade, 4319879.693, 92, B04, S01, 1
B04, Trade, 4319888.593, 91, B04, S01, 1
B04, Trade, 4319894.143, 90, B04, S01, 1
B04, Trade, 4319899.443, 92, B04, S03, 1
B04, Trade, 4319904.943, 94, B04, S01, 1
B04, Trade, 4319909.243, 93, B04, S03, 1
B04, Trade, 4319914.893, 92, B04, S01, 1
B04, Trade, 4319920.143, 91, B04, S03, 1
B04, Trade, 4319935.093, 94, B04, S01, 1
B04, Trade, 4319937.593, 94, B04, S03, 1
B04, Trade, 4319985.843, 94, B04, S03, 1
B04, Trade, 4319998.193, 93, B04, S01, 1
B05, 100
B05, Trade, 4318769.593, 93, B05, S03, 1
B05, Trade, 4318792.743, 101, B05, S00, 1
B05, Trade, 4318812.543, 97, S00, B05, 1
B05, Trade, 4318867.843, 98, S00, B05, 1
B05, Trade, 4318874.143, 99, B05, S00, 1
B05, Trade, 4318887.043, 97, S00, B05, 1
B05, Trade, 4318912.843, 97, B05, S01, 1
B05, Trade, 4318928.293, 100, S02, B05, 1
B05, Trade, 4318936.093, 95, S03, B05, 1
B05, Trade, 4318945.143, 96, S02, B05, 1
B05, Trade, 4318953.393, 96, S00, B05, 1
B05, Trade, 4318961.243, 93, S00, B05, 1
B05, Trade, 4318976.143, 93, S00, B05, 1
B05, Trade, 4318977.393, 94, S03, B05, 1
B05, Trade, 4318990.243, 92, S02, B05, 1
B05, Trade, 4318997.293, 96, B05, S00, 1
B05, Trade, 4319006.293, 96, S02, B05, 1
B05, Trade, 4319011.143, 100, B05, S01, 1
B05, Trade, 4319017.543, 98, B05, S00, 1
B05, Trade, 4319025.243, 99, S02, B05, 1
B05, Trade, 4319035.343, 102, B05, S02, 1
B05, Trade, 4319053.593, 93, S00, B05, 1
B05, Trade, 4319061.793, 92, B05, S03, 1
B05, Trade, 4319065.643, 92, S00, B05, 1
B05, Trade, 4319074.393, 90, S02, B05, 1
B05, Trade, 4319077.543, 91, B05, S02, 1
B05, Trade, 4319091.293, 93, S00, B05, 1
B05, Trade, 4319095.943, 96, B05, S03, 1
B05, Trade, 4319097.593, 95, S02, B05, 1
B05, Trade, 4319118.043, 94, B05, S03, 1
B05, Trade, 4319137.693, 95, B05, S01, 1
B05, Trade, 4319149.793, 96, S02, B05, 1
B05, Trade, 4319185.743, 97, S00, B05, 1
B05, Trade, 4319201.143, 97, S02, B05, 1
B05, Trade, 4319220.043, 98, S00, B05, 1
B05, Trade, 4319229.343, 104, B05, S02, 1
B05, Trade, 4319247.193, 99, S02, B05, 1
B05, Trade, 4319257.993, 92, S02, B05, 1
B05, Trade, 4319286.843, 93, S00, B05, 1
B05, Trade, 4319292.493, 93, S02, B05, 1
B05, Trade, 4319298.993, 94, B05, S03, 1
B05, Trade, 4319319.393, 97, S00, B05, 1
B05, Trade, 4319331.193, 97, S02, B05, 1
B05, Trade, 4319342.093, 98, S02, B05, 1
B05, Trade, 4319366.993, 93, B05, S01, 1
B05, Trade, 4319376.993, 93, S00, B05, 1
B05, Trade, 4319384.093, 99, S02, B05, 1
B05, Trade, 4319393.293, 104, B05, S03, 1
B05, Trade, 4319414.443, 99, S02, B05, 1
B05, Trade, 4319426.293, 93, B05, S03, 1
B05, Trade, 4319449.893, 100, S02, B05, 1
B05, Trade, 4319461.793, 95, S02, B05, 1
B05, Trade, 4319476.293, 92, S00, B05, 1
B05, Trade, 4319481.143, 92, S02, B05, 1
B05, Trade, 4319490.793, 89, S02, B05, 1
B05, Trade, 4319493.743, 89, S00, B05, 1
B05, Trade, 4319502.493, 88, S00, B05, 1
B05, Trade, 4319512.093, 88, S02, B05, 1
B05, Trade, 4319519.993, 87, B05, S03, 1
B05, Trade, 4319521.643, 87, S02, B05, 1
B05, Trade, 4319534.393, 86, S00, B05, 1
B05, Trade, 4319537.243, 86, S03, B05, 1
B05, Trade, 4319542.493, 86, S02, B05, 1
B05, Trade, 4319544.693, 86, S02, B05, 1
B05, Trade, 4319555.693, 86, S00, B05, 1
B05, Trade, 4319562.593, 90, B05, S03, 1
B05, Trade, 4319566.193, 93, S00, B05, 1
B05, Trade, 4319568.993, 101, B05, S02, 1
B05, Trade, 4319582.393, 104, B05, S03, 1
B05, Trade, 4319603.843, 99, B05, S01, 1
B05, Trade, 4319616.793, 89, S03, B05, 1
B05, Trade, 4319649.193, 97, S02, B05, 1
B05, Trade, 4319662.893, 94, S02, B05, 1
B05, Trade, 4319671.243, 94, S02, B05, 1
B05, Trade, 4319681.043, 91, B05, S03, 1
B05, Trade, 4319690.193, 93, S02, B05, 1
B05, Trade, 4319707.893, 91, B05, S01, 1
B05, Trade, 4319717.543, 100, B05, S01, 1
B05, Trade, 4319729.143, 90, B05, S03, 1
B05, Trade, 4319736.693, 99, S00, B05, 1
B05, Trade, 4319754.693, 99, S00, B05, 1
B05, Trade, 4319766.093, 94, B05, S01, 1
B05, Trade, 4319777.543, 87, S03, B05, 1
B05, Trade, 4319785.293, 92, S03, B05, 1
B05, Trade, 4319791.243, 94, S00, B05, 1
B05, Trade, 4319793.243, 98, B05, S00, 1
B05, Trade, 4319825.443, 98, S00, B05, 1
B05, Trade, 4319834.643, 97, S02, B05, 1
B05, Trade, 4319854.843, 96, S00, B05, 1
B05, Trade, 4319859.343, 103, B05, S01, 1
B05, Trade, 4319885.643, 104, S05, B05, 1
B05, Trade, 4319901.393, 98, S02, B05, 1
B05, Trade, 4319914.293, 97, S02, B05, 1
B05, Trade, 4319926.393, 97, S00, B05, 1
B05, Trade, 4319943.843, 87, B05, S01, 1
B05, Trade, 4319965.243, 104, S05, B05, 1
B05, Trade, 4319967.843, 95, B05, S03, 1
B05, Trade, 4319973.293, 99, S00, B05, 1
B05, Trade, 4319986.993, 98, S00, B05, 1
B05, Trade, 4319993.993, 98, S00, B05, 1
B06, 100
B06, Trade, 4317942.093, 97, S03, B06, 1
B06, Trade, 4317950.293, 98, S02, B06, 1
B06, Trade, 4317965.443, 99, S02, B06, 1
B06, Trade, 4317994.293, 92, S00, B06, 1
B06, Trade, 4318006.043, 93, S02, B06, 1
B06, Trade, 4318010.493, 92, S00, B06, 1
B06, Trade, 4318019.543, 90, S00, B06, 1
B06, Trade, 4318062.843, 100, B06, S00, 1
B06, Trade, 4318091.393, 101, S02, B06, 1
B06, Trade, 4318126.243, 98, S00, B06, 1
B06, Trade, 4318159.893, 98, S00, B06, 1
B06, Trade, 4318163.393, 89, S03, B06, 1
B06, Trade, 4318200.443, 93, S02, B06, 1
B06, Trade, 4318208.443, 95, S02, B06, 1
B06, Trade, 4318238.593, 99, B06, S00, 1
B06, Trade, 4318347.193, 96, S00, B06, 1
B06, Trade, 4318354.243, 91, B06, S01, 1
B06, Trade, 4318377.143, 95, B06, S01, 1
B06, Trade, 4318387.543, 93, B06, S03, 1
B06, Trade, 4318392.743, 94, S00, B06, 1
B06, Trade, 4318458.593, 101, B06, S02, 1
B06, Trade, 4318471.543, 99, S02, B06, 1
B06, Trade, 4318491.443, 95, S02, B06, 1
B06, Trade, 4318505.243, 93, B06, S01, 1
B06, Trade, 4318511.143, 90, B06, S03, 1
B06, Trade, 4318519.743, 93, S00, B06, 1
B06, Trade, 4318534.293, 96, S02, B06, 1
B06, Trade, 4318540.493, 90, S00, B06, 1
B06, Trade, 4318575.193, 89, B06, S01, 1
B06, Trade, 4318613.193, 93, S02, B06, 1
B06, Trade, 4318618.493, 93, S02, B06, 1
B06, Trade, 4318622.793, 93, B06, S00, 1
B06, Trade, 4318632.043, 103, B06, S00, 1
B06, Trade, 4318639.693, 96, S02, B06, 1
B06, Trade, 4318656.993, 96, S02, B06, 1
B06, Trade, 4318661.643, 92, S02, B06, 1
B06, Trade, 4318674.793, 92, S00, B06, 1
B06, Trade, 4318695.443, 94, B06, S03, 1
B06, Trade, 4318697.743, 106, B06, S03, 1
B06, Trade, 4318702.893, 100, S00, B06, 1
B06, Trade, 4318730.993, 99, S00, B06, 1
B06, Trade, 4318745.093, 97, S02, B06, 1
B06, Trade, 4318757.793, 97, S00, B06, 1
B06, Trade, 4318765.543, 102, B06, S00, 1
B06, Trade, 4318777.543, 96, S02, B06, 1
B06, Trade, 4318795.343, 95, B06, S03, 1
B06, Trade, 4318803.743, 98, S02, B06, 1
B06, Trade, 4318811.593, 97, S02, B06, 1
B06, Trade, 4318816.243, 107, B06, S03, 1
B06, Trade, 4318821.493, 111, B06, S03, 1
B06, Trade, 4318868.893, 98, S02, B06, 1
B06, Trade, 4318903.243, 99, S02, B06, 1
B06, Trade, 4318912.943, 99, S00, B06, 1
B06, Trade, 4318959.543, 95, B06, S01, 1
B06, Trade, 4318970.593, 93, S02, B06, 1
B06, Trade, 4318989.543, 93, S03, B06, 1
B06, Trade, 4319001.093, 98, B06, S02, 1
B06, Trade, 4319027.443, 86, S03, B06, 1
B06, Trade, 4319045.993, 96, S02, B06, 1
B06, Trade, 4319086.493, 92, B06, S01, 1
B06, Trade, 4319120.243, 98, S02, B06, 1
B06, Trade, 4319122.993, 98, S00, B06, 1
B06, Trade, 4319157.743, 97, S02, B06, 1
B06, Trade, 4319201.893, 97, B06, S02, 1
B06, Trade, 4319218.243, 91, B06, S03, 1
B06, Trade, 4319235.443, 94, B06, S03, 1
B06, Trade, 4319269.543, 80, B06, S01, 1
B06, Trade, 4319277.143, 93, S00, B06, 1
B06, Trade, 4319304.493, 97, S00, B06, 1
B06, Trade, 4319311.543, 97, S02, B06, 1
B06, Trade, 4319358.193, 95, S00, B06, 1
B06, Trade, 4319378.193, 96, B06, S01, 1
B06, Trade, 4319384.743, 96, S00, B06, 1
B06, Trade, 4319411.943, 100, S00, B06, 1
B06, Trade, 4319481.793, 92, S00, B06, 1
B06, Trade, 4319488.243, 89, S03, B06, 1
B06, Trade, 4319510.443, 84, B06, S01, 1
B06, Trade, 4319524.643, 87, S00, B06, 1
B06, Trade, 4319530.743, 85, B06, S01, 1
B06, Trade, 4319539.693, 86, S02, B06, 1
B06, Trade, 4319559.893, 89, S00, B06, 1
B06, Trade, 4319592.893, 104, S05, B06, 1
B06, Trade, 4319625.043, 104, S05, B06, 1
B06, Trade, 4319639.643, 98, S02, B06, 1
B06, Trade, 4319674.793, 89, B06, S01, 1
B06, Trade, 4319692.293, 105, B06, S00, 1
B06, Trade, 4319695.943, 101, B06, S02, 1
B06, Trade, 4319701.993, 104, B06, S00, 1
B06, Trade, 4319711.993, 98, S00, B06, 1
B06, Trade, 4319765.293, 100, S00, B06, 1
B06, Trade, 4319770.043, 102, S00, B06, 1
B06, Trade, 4319791.193, 94, S02, B06, 1
B06, Trade, 4319800.143, 97, S02, B06, 1
B06, Trade, 4319805.993, 93, S00, B06, 1
B06, Trade, 4319810.343, 100, B06, S02, 1
B06, Trade, 4319829.293, 98, S02, B06, 1
B06, Trade, 4319838.143, 98, B06, S03, 1
B06, Trade, 4319857.943, 93, B06, S01, 1
B06, Trade, 4319926.643, 98, B06, S02, 1
B06, Trade, 4319953.243, 89, B06, S01, 1
B07, 100
B07, Trade, 4319476.543, 92, S02, B07, 1
B07, Trade, 4319479.893, 92, S00, B07, 1
B07, Trade, 4319484.443, 88, S03, B07, 1
B07, Trade, 4319486.593, 90, S02, B07, 1
B07, Trade, 4319494.543, 104, S05, B07, 1
B07, Trade, 4319499.393, 87, S03, B07, 1
B07, Trade, 4319502.993, 93, S03, B07, 1
B07, Trade, 4319510.493, 88, S03, B07, 1
B07, Trade, 4319514.443, 88, S00, B07, 1
B07, Trade, 4319518.993, 88, S00, B07, 1
B07, Trade, 4319525.693, 87, S02, B07, 1
B07, Trade, 4319530.193, 87, S00, B07, 1
B07, Trade, 4319534.743, 87, S02, B07, 1
B07, Trade, 4319540.493, 86, S00, B07, 1
B07, Trade, 4319543.293, 86, S03, B07, 1
B07, Trade, 4319551.393, 86, S00, B07, 1
B07, Trade, 4319558.243, 105, S05, B07, 1
B07, Trade, 4319558.493, 90, S03, B07, 1
B07, Trade, 4319568.043, 122, B07, S06, 1
B07, Trade, 4319571.393, 100, S00, B07, 1
B07, Trade, 4319576.293, 113, S06, B07, 1
B07, Trade, 4319581.343, 104, S00, B07, 1
B07, Trade, 4319589.643, 103, S00, B07, 1
B07, Trade, 4319595.193, 103, S02, B07, 1
B07, Trade, 4319600.843, 103, S00, B07, 1
B07, Trade, 4319609.193, 103, S00, B07, 1
B07, Trade, 4319614.343, 103, S02, B07, 1
B07, Trade, 4319622.493, 96, S02, B07, 1
B07, Trade, 4319627.943, 113, S06, B07, 1
B07, Trade, 4319632.993, 98, S02, B07, 1
B07, Trade, 4319639.443, 98, S00, B07, 1
B07, Trade, 4319643.493, 104, S05, B07, 1
B07, Trade, 4319648.593, 97, S00, B07, 1
B07, Trade, 4319653.743, 95, S03, B07, 1
B07, Trade, 4319658.843, 94, S02, B07, 1
