t=,39600, id=,B00, PRDE,actvstrat=,-0.994229, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.068203, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.562246, id=,B06, PRDE,actvstrat=,-0.536040, actvprof=,1.683403, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.437602, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.955318, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.363134, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.683403, best_B_strat=,-0.536040, best_S_id=,S02, best_S_prof=,2.437602, best_S_strat=,1.000000, 
t=,43200, id=,B00, PRDE,actvstrat=,-0.994229, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.068203, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.494042, id=,B06, PRDE,actvstrat=,-0.536040, actvprof=,1.516153, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.548682, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.022528, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.363134, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.516153, best_B_strat=,-0.536040, best_S_id=,S02, best_S_prof=,2.548682, best_S_strat=,1.000000, 
t=,46800, id=,B00, PRDE,actvstrat=,0.662705, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.054820, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.988953, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.392805, id=,B06, PRDE,actvstrat=,-0.943483, actvprof=,0.254462, id=,S02, PRDE,actvstrat=,0.934787, actvprof=,2.530176, id=,S03, PRDE,actvstrat=,0.671269, actvprof=,0.426974, id=,S06, PRDE,actvstrat=,-0.331172, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.485154, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.524124, actvprof=,0.000000, best_B_id=,B04, best_B_prof=,0.392805, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,2.530176, best_S_strat=,0.934787, 
t=,50400, id=,B00, PRDE,actvstrat=,0.662705, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.054820, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.988953, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.510438, id=,B06, PRDE,actvstrat=,-0.943483, actvprof=,0.286262, id=,S02, PRDE,actvstrat=,0.934787, actvprof=,2.449685, id=,S03, PRDE,actvstrat=,0.671269, actvprof=,0.390850, id=,S06, PRDE,actvstrat=,-0.331172, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.485154, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.524124, actvprof=,0.000000, best_B_id=,B04, best_B_prof=,0.510438, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,2.449685, best_S_strat=,0.934787, 
t=,54000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.189391, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.057505, id=,B06, PRDE,actvstrat=,0.481884, actvprof=,2.137678, id=,S02, PRDE,actvstrat=,-0.144094, actvprof=,0.511154, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.844598, id=,S06, PRDE,actvstrat=,-0.689905, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.137678, best_B_strat=,0.481884, best_S_id=,S03, best_S_prof=,1.844598, best_S_strat=,1.000000, 
t=,57600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.189391, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.041946, id=,B06, PRDE,actvstrat=,0.481884, actvprof=,2.116740, id=,S02, PRDE,actvstrat=,-0.144094, actvprof=,0.476544, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.816730, id=,S06, PRDE,actvstrat=,-0.689905, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.116740, best_B_strat=,0.481884, best_S_id=,S03, best_S_prof=,1.816730, best_S_strat=,1.000000, 
t=,61200, id=,B00, PRDE,actvstrat=,-0.171601, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.189391, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.645450, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.906781, actvprof=,0.702846, id=,B06, PRDE,actvstrat=,-0.915045, actvprof=,0.454211, id=,S02, PRDE,actvstrat=,0.934787, actvprof=,2.134374, id=,S03, PRDE,actvstrat=,0.880504, actvprof=,0.446710, id=,S06, PRDE,actvstrat=,-0.021077, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.824433, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.648407, actvprof=,0.000000, best_B_id=,B04, best_B_prof=,0.702846, best_B_strat=,0.906781, best_S_id=,S02, best_S_prof=,2.134374, best_S_strat=,0.934787, 
t=,64800, id=,B00, PRDE,actvstrat=,-0.171601, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.189391, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.645450, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.906781, actvprof=,0.631975, id=,B06, PRDE,actvstrat=,-0.915045, actvprof=,0.429049, id=,S02, PRDE,actvstrat=,0.934787, actvprof=,2.259832, id=,S03, PRDE,actvstrat=,0.880504, actvprof=,0.514192, id=,S06, PRDE,actvstrat=,-0.021077, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.824433, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.648407, actvprof=,0.000000, best_B_id=,B04, best_B_prof=,0.631975, best_B_strat=,0.906781, best_S_id=,S02, best_S_prof=,2.259832, best_S_strat=,0.934787, 
t=,68400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.104176, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.595277, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.040837, id=,B06, PRDE,actvstrat=,0.235864, actvprof=,1.779617, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.371717, id=,S03, PRDE,actvstrat=,0.214661, actvprof=,0.404484, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.779617, best_B_strat=,0.235864, best_S_id=,S02, best_S_prof=,3.371717, best_S_strat=,1.000000, 
t=,72000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.104176, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.595277, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.029168, id=,B06, PRDE,actvstrat=,0.235864, actvprof=,1.809394, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.433500, id=,S03, PRDE,actvstrat=,0.214661, actvprof=,0.433493, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.809394, best_B_strat=,0.235864, best_S_id=,S02, best_S_prof=,3.433500, best_S_strat=,1.000000, 
