t=,39600, id=,B00, PRDE,actvstrat=,0.699557, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.979083, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.021709, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.621220, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.709641, id=,S02, PRDE,actvstrat=,-0.642054, actvprof=,0.261955, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.543912, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.621220, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.709641, best_S_strat=,-1.000000, 
t=,43200, id=,B00, PRDE,actvstrat=,0.699557, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.979083, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.995430, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.598647, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.725343, id=,S02, PRDE,actvstrat=,-0.642054, actvprof=,0.259309, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.548341, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.598647, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.725343, best_S_strat=,-1.000000, 
t=,46800, id=,B00, PRDE,actvstrat=,0.699557, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.467495, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.844276, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.044304, actvprof=,0.616970, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.450144, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.974888, id=,S02, PRDE,actvstrat=,0.731188, actvprof=,1.746462, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.041113, id=,S07, PRDE,actvstrat=,0.120500, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.066843, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.450144, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,3.974888, best_S_strat=,-1.000000, 
t=,50400, id=,B00, PRDE,actvstrat=,0.699557, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.467495, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.844276, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.044304, actvprof=,0.606957, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.418127, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.951471, id=,S02, PRDE,actvstrat=,0.731188, actvprof=,1.740731, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.038195, id=,S07, PRDE,actvstrat=,0.120500, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.066843, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.418127, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,3.951471, best_S_strat=,-1.000000, 
t=,54000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.147182, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.921149, id=,B06, PRDE,actvstrat=,-0.040986, actvprof=,0.943095, id=,S01, PRDE,actvstrat=,-0.021125, actvprof=,1.935636, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.331250, id=,S04, PRDE,actvstrat=,-0.833217, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.943095, best_B_strat=,-0.040986, best_S_id=,S02, best_S_prof=,3.331250, best_S_strat=,-1.000000, 
t=,57600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.147182, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.782100, id=,B06, PRDE,actvstrat=,-0.040986, actvprof=,0.910019, id=,S01, PRDE,actvstrat=,-0.021125, actvprof=,2.002542, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.515907, id=,S04, PRDE,actvstrat=,-0.833217, actvprof=,0.000417, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.910019, best_B_strat=,-0.040986, best_S_id=,S02, best_S_prof=,3.515907, best_S_strat=,-1.000000, 
t=,61200, id=,B00, PRDE,actvstrat=,0.950667, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.979083, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.147182, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.953373, id=,B06, PRDE,actvstrat=,-0.134443, actvprof=,0.893926, id=,S01, PRDE,actvstrat=,-0.021125, actvprof=,1.708682, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.093184, id=,S04, PRDE,actvstrat=,0.726593, actvprof=,0.143617, id=,S07, PRDE,actvstrat=,0.754024, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.614953, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,0.953373, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,3.093184, best_S_strat=,-1.000000, 
t=,64800, id=,B00, PRDE,actvstrat=,0.950667, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.979083, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.147182, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.983632, id=,B06, PRDE,actvstrat=,-0.134443, actvprof=,0.924047, id=,S01, PRDE,actvstrat=,-0.021125, actvprof=,1.710730, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.076870, id=,S04, PRDE,actvstrat=,0.726593, actvprof=,0.125419, id=,S07, PRDE,actvstrat=,0.754024, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.614953, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,0.983632, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,3.076870, best_S_strat=,-1.000000, 
t=,68400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.375174, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.384021, actvprof=,0.147506, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.767060, id=,S01, PRDE,actvstrat=,-0.163423, actvprof=,0.756143, id=,S02, PRDE,actvstrat=,0.402514, actvprof=,1.190605, id=,S04, PRDE,actvstrat=,0.435250, actvprof=,0.038057, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.767060, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,1.190605, best_S_strat=,0.402514, 
t=,72000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.375174, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.384021, actvprof=,0.129864, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.761446, id=,S01, PRDE,actvstrat=,-0.163423, actvprof=,0.766960, id=,S02, PRDE,actvstrat=,0.402514, actvprof=,1.264054, id=,S04, PRDE,actvstrat=,0.435250, actvprof=,0.041390, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.761446, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,1.264054, best_S_strat=,0.402514, 
