t=,39600, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.995674, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.509507, id=,B09, PRDE,actvstrat=,-0.138079, actvprof=,6.072197, id=,S02, PRDE,actvstrat=,-0.505167, actvprof=,0.174452, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.248899, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.015556, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.072197, best_B_strat=,-0.138079, best_S_id=,S04, best_S_prof=,0.248899, best_S_strat=,-1.000000, 
t=,43200, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.995674, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.397390, id=,B09, PRDE,actvstrat=,-0.138079, actvprof=,6.034292, id=,S02, PRDE,actvstrat=,-0.505167, actvprof=,0.206254, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.298062, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.013750, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.034292, best_B_strat=,-0.138079, best_S_id=,S04, best_S_prof=,0.298062, best_S_strat=,-1.000000, 
t=,46800, id=,B01, PRDE,actvstrat=,0.409213, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.718368, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.426870, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.325663, actvprof=,0.197508, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.002236, id=,S02, PRDE,actvstrat=,0.064695, actvprof=,1.423670, id=,S04, PRDE,actvstrat=,-0.517385, actvprof=,0.017223, id=,S05, PRDE,actvstrat=,-0.531123, actvprof=,0.003889, id=,S08, PRDE,actvstrat=,0.831111, actvprof=,0.001667, id=,S09, PRDE,actvstrat=,-0.046647, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.002236, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,1.423670, best_S_strat=,0.064695, 
t=,50400, id=,B01, PRDE,actvstrat=,0.409213, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.718368, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.426870, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.325663, actvprof=,0.262228, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.202372, id=,S02, PRDE,actvstrat=,0.064695, actvprof=,1.257110, id=,S04, PRDE,actvstrat=,-0.517385, actvprof=,0.010834, id=,S05, PRDE,actvstrat=,-0.531123, actvprof=,0.001944, id=,S08, PRDE,actvstrat=,0.831111, actvprof=,0.000833, id=,S09, PRDE,actvstrat=,-0.046647, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.202372, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,1.257110, best_S_strat=,0.064695, 
t=,54000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.171486, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.394483, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.924665, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.265924, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.363343, id=,S05, PRDE,actvstrat=,-0.898972, actvprof=,0.015000, id=,S08, PRDE,actvstrat=,-0.523862, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.899346, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.924665, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,3.265924, best_S_strat=,-1.000000, 
t=,57600, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.171486, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.494614, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,8.038501, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.162983, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.306673, id=,S05, PRDE,actvstrat=,-0.898972, actvprof=,0.011806, id=,S08, PRDE,actvstrat=,-0.523862, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.899346, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.038501, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,3.162983, best_S_strat=,-1.000000, 
t=,61200, id=,B01, PRDE,actvstrat=,0.509598, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.171486, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.325951, actvprof=,0.205845, id=,B09, PRDE,actvstrat=,0.640926, actvprof=,6.673982, id=,S02, PRDE,actvstrat=,-0.297520, actvprof=,0.476138, id=,S04, PRDE,actvstrat=,-0.414272, actvprof=,0.008612, id=,S05, PRDE,actvstrat=,-0.666095, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.786046, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.899346, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.673982, best_B_strat=,0.640926, best_S_id=,S02, best_S_prof=,0.476138, best_S_strat=,-0.297520, 
t=,64800, id=,B01, PRDE,actvstrat=,0.509598, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.171486, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.325951, actvprof=,0.182922, id=,B09, PRDE,actvstrat=,0.640926, actvprof=,6.649907, id=,S02, PRDE,actvstrat=,-0.297520, actvprof=,0.445151, id=,S04, PRDE,actvstrat=,-0.414272, actvprof=,0.015973, id=,S05, PRDE,actvstrat=,-0.666095, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.786046, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.899346, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.649907, best_B_strat=,0.640926, best_S_id=,S02, best_S_prof=,0.445151, best_S_strat=,-0.297520, 
t=,68400, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.867698, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.677815, id=,B09, PRDE,actvstrat=,-0.551366, actvprof=,4.415245, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,4.074393, id=,S04, PRDE,actvstrat=,-0.964802, actvprof=,0.011667, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.019723, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.087596, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.415245, best_B_strat=,-0.551366, best_S_id=,S02, best_S_prof=,4.074393, best_S_strat=,1.000000, 
t=,72000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.867698, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.627240, id=,B09, PRDE,actvstrat=,-0.551366, actvprof=,4.566377, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,4.165116, id=,S04, PRDE,actvstrat=,-0.964802, actvprof=,0.012223, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.024028, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.087596, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.566377, best_B_strat=,-0.551366, best_S_id=,S02, best_S_prof=,4.165116, best_S_strat=,1.000000, 
