B00, 2
B00, Trade, 1478028.201, 60, S00, B00, 1
B00, Trade, 3563517.396, 60, S00, B00, 1
B01, 100
B01, Trade, 3574063.696, 67, B01, S00, 1
B01, Trade, 3574755.346, 67, B01, S00, 1
B01, Trade, 3579558.296, 65, B01, S00, 1
B01, Trade, 3588681.546, 67, B01, S00, 1
B01, Trade, 3588927.796, 64, B01, S00, 1
B01, Trade, 3589140.496, 60, B01, S00, 1
B01, Trade, 3592467.046, 67, B01, S00, 1
B01, Trade, 3592531.796, 66, B01, S00, 1
B01, Trade, 3595725.646, 67, B01, S00, 1
B01, Trade, 3599489.946, 67, B01, S00, 1
B01, Trade, 3616438.296, 67, B01, S00, 1
B01, Trade, 3618187.696, 67, B01, S00, 1
B01, Trade, 3618879.146, 67, B01, S00, 1
B01, Trade, 3621535.946, 67, B01, S00, 1
B01, Trade, 3626449.196, 67, B01, S00, 1
B01, Trade, 3627834.496, 67, B01, S00, 1
B01, Trade, 3644966.096, 67, B01, S00, 1
B01, Trade, 3650859.396, 67, B01, S00, 1
B01, Trade, 3661418.646, 67, B01, S00, 1
B01, Trade, 3669775.096, 67, B01, S00, 1
B01, Trade, 3670696.896, 67, B01, S00, 1
B01, Trade, 3672064.746, 67, B01, S00, 1
B01, Trade, 3672189.546, 67, B01, S00, 1
B01, Trade, 3686920.195, 67, B01, S00, 1
B01, Trade, 3701439.395, 67, B01, S00, 1
B01, Trade, 3711318.145, 67, B01, S00, 1
B01, Trade, 3719738.095, 67, B01, S00, 1
B01, Trade, 3746958.795, 67, B01, S00, 1
B01, Trade, 3751825.945, 67, B01, S00, 1
B01, Trade, 3771012.845, 66, B01, S00, 1
B01, Trade, 3773716.195, 67, B01, S00, 1
B01, Trade, 3773976.945, 67, B01, S00, 1
B01, Trade, 3783116.995, 67, B01, S00, 1
B01, Trade, 3786842.545, 66, B01, S00, 1
B01, Trade, 3786920.395, 64, B01, S00, 1
B01, Trade, 3788446.745, 68, B01, S00, 1
B01, Trade, 3791943.895, 67, B01, S00, 1
B01, Trade, 3794589.295, 62, S00, B01, 1
B01, Trade, 3795913.295, 65, B01, S00, 1
B01, Trade, 3834364.295, 64, B01, S00, 1
B01, Trade, 3835755.095, 68, B01, S00, 1
B01, Trade, 3861059.645, 68, B01, S00, 1
B01, Trade, 3861478.395, 60, S00, B01, 1
B01, Trade, 3863313.595, 68, B01, S00, 1
B01, Trade, 3877194.095, 68, B01, S00, 1
B01, Trade, 3878487.495, 68, B01, S00, 1
B01, Trade, 3882619.645, 67, B01, S00, 1
B01, Trade, 3883709.295, 66, B01, S00, 1
B01, Trade, 3894598.545, 67, B01, S00, 1
B01, Trade, 3922255.545, 64, B01, S00, 1
B01, Trade, 3924987.745, 68, B01, S00, 1
B01, Trade, 3934199.345, 67, B01, S00, 1
B01, Trade, 3937070.195, 67, B01, S00, 1
B01, Trade, 3938012.145, 67, B01, S00, 1
B01, Trade, 3944316.444, 64, B01, S00, 1
B01, Trade, 3948603.244, 62, B01, S00, 1
B01, Trade, 3951857.694, 68, B01, S00, 1
B01, Trade, 3955185.094, 67, B01, S00, 1
B01, Trade, 3955684.344, 67, B01, S00, 1
B01, Trade, 3957973.294, 67, B01, S00, 1
B01, Trade, 3961951.244, 68, B01, S00, 1
B01, Trade, 3966474.194, 64, B01, S00, 1
B01, Trade, 3972400.394, 67, B01, S00, 1
B01, Trade, 3973918.094, 67, B01, S00, 1
B01, Trade, 3974867.394, 67, B01, S00, 1
B01, Trade, 3977641.044, 67, B01, S00, 1
B01, Trade, 3978068.444, 67, B01, S00, 1
B01, Trade, 4005710.344, 66, B01, S00, 1
B01, Trade, 4007409.644, 68, B01, S00, 1
B01, Trade, 4022634.844, 67, B01, S00, 1
B01, Trade, 4024830.094, 67, B01, S00, 1
B01, Trade, 4027485.844, 67, B01, S00, 1
B01, Trade, 4039537.194, 68, B01, S00, 1
B01, Trade, 4053518.094, 67, B01, S00, 1
B01, Trade, 4078278.294, 62, B01, S00, 1
B01, Trade, 4116018.244, 64, B01, S00, 1
B01, Trade, 4116624.444, 67, B01, S00, 1
B01, Trade, 4116962.944, 63, S00, B01, 1
B01, Trade, 4118242.194, 64, B01, S00, 1
B01, Trade, 4127481.744, 63, B01, S00, 1
B01, Trade, 4130237.444, 63, B01, S00, 1
B01, Trade, 4130254.144, 68, B01, S00, 1
B01, Trade, 4144824.644, 64, S00, B01, 1
B01, Trade, 4153464.944, 67, B01, S00, 1
B01, Trade, 4157199.144, 67, B01, S00, 1
B01, Trade, 4220059.893, 67, B01, S00, 1
B01, Trade, 4231468.743, 67, B01, S00, 1
B01, Trade, 4237955.443, 63, S00, B01, 1
B01, Trade, 4243942.793, 61, B01, S00, 1
B01, Trade, 4245652.993, 65, S00, B01, 1
B01, Trade, 4246890.093, 64, B01, S00, 1
B01, Trade, 4262472.893, 66, B01, S00, 1
B01, Trade, 4263038.543, 62, B01, S00, 1
B01, Trade, 4264842.343, 64, B01, S00, 1
B01, Trade, 4265264.643, 66, B01, S00, 1
B01, Trade, 4287782.393, 67, B01, S00, 1
B01, Trade, 4293738.993, 66, B01, S00, 1
B01, Trade, 4295069.143, 64, B01, S00, 1
B01, Trade, 4295673.843, 68, S00, B01, 1
B01, Trade, 4301013.543, 66, B01, S00, 1
B02, 100
B02, Trade, 4275760.593, 75, B02, S00, 1
B02, Trade, 4277403.143, 75, B02, S00, 1
B02, Trade, 4277927.943, 76, B02, S00, 1
B02, Trade, 4278393.643, 76, B02, S00, 1
B02, Trade, 4278523.293, 76, B02, S00, 1
B02, Trade, 4278999.793, 75, B02, S00, 1
B02, Trade, 4279216.943, 76, B02, S00, 1
B02, Trade, 4282229.193, 76, B02, S00, 1
B02, Trade, 4282240.493, 75, B02, S00, 1
B02, Trade, 4282416.243, 76, B02, S00, 1
B02, Trade, 4283652.493, 76, B02, S00, 1
B02, Trade, 4283969.643, 76, B02, S00, 1
B02, Trade, 4284129.143, 76, B02, S00, 1
B02, Trade, 4284414.143, 76, B02, S00, 1
B02, Trade, 4284938.893, 75, B02, S00, 1
B02, Trade, 4284983.943, 74, B02, S00, 1
B02, Trade, 4285433.593, 76, B02, S00, 1
B02, Trade, 4285540.543, 76, B02, S00, 1
B02, Trade, 4285655.993, 76, B02, S00, 1
B02, Trade, 4285895.993, 76, B02, S00, 1
B02, Trade, 4286116.593, 76, B02, S00, 1
B02, Trade, 4286262.243, 76, B02, S00, 1
B02, Trade, 4286935.643, 76, B02, S00, 1
B02, Trade, 4287265.443, 76, B02, S00, 1
B02, Trade, 4287311.893, 71, S00, B02, 1
B02, Trade, 4287879.043, 76, B02, S00, 1
B02, Trade, 4288063.593, 76, B02, S00, 1
B02, Trade, 4288315.943, 76, B02, S00, 1
B02, Trade, 4288978.543, 76, B02, S00, 1
B02, Trade, 4289033.793, 76, B02, S00, 1
B02, Trade, 4289188.493, 76, B02, S00, 1
B02, Trade, 4289279.643, 76, B02, S00, 1
B02, Trade, 4289439.393, 76, B02, S00, 1
B02, Trade, 4289683.243, 76, B02, S00, 1
B02, Trade, 4289724.643, 76, B02, S00, 1
B02, Trade, 4290414.593, 76, B02, S00, 1
B02, Trade, 4290881.893, 76, B02, S00, 1
B02, Trade, 4291102.593, 76, B02, S00, 1
B02, Trade, 4291992.293, 76, B02, S00, 1
B02, Trade, 4292441.893, 76, B02, S00, 1
B02, Trade, 4292493.293, 75, B02, S00, 1
B02, Trade, 4292853.643, 76, B02, S00, 1
B02, Trade, 4293352.593, 76, B02, S00, 1
B02, Trade, 4293620.943, 76, B02, S00, 1
B02, Trade, 4294008.143, 76, B02, S00, 1
B02, Trade, 4294129.793, 76, B02, S00, 1
B02, Trade, 4294140.593, 75, B02, S00, 1
B02, Trade, 4294443.343, 75, B02, S00, 1
B02, Trade, 4294493.593, 76, B02, S00, 1
B02, Trade, 4294753.293, 76, B02, S00, 1
B02, Trade, 4295561.343, 76, B02, S00, 1
B02, Trade, 4296341.043, 76, B02, S01, 1
B02, Trade, 4296421.443, 76, B02, S00, 1
