t=,39600, id=,B02, PRDE,actvstrat=,0.773401, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.828549, actvprof=,0.097507, id=,B05, PRDE,actvstrat=,-0.738182, actvprof=,0.096951, id=,B06, PRDE,actvstrat=,0.233893, actvprof=,1.421765, id=,B09, PRDE,actvstrat=,0.270535, actvprof=,5.868741, id=,S02, PRDE,actvstrat=,0.310448, actvprof=,1.973470, id=,S04, PRDE,actvstrat=,0.447989, actvprof=,0.331134, id=,S05, PRDE,actvstrat=,-0.036607, actvprof=,0.047503, id=,S06, PRDE,actvstrat=,-0.718232, actvprof=,0.006945, id=,S08, PRDE,actvstrat=,-0.951285, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.868741, best_B_strat=,0.270535, best_S_id=,S02, best_S_prof=,1.973470, best_S_strat=,0.310448, 
t=,43200, id=,B02, PRDE,actvstrat=,0.773401, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.828549, actvprof=,0.100698, id=,B05, PRDE,actvstrat=,-0.738182, actvprof=,0.078058, id=,B06, PRDE,actvstrat=,0.233893, actvprof=,1.470746, id=,B09, PRDE,actvstrat=,0.270535, actvprof=,5.849231, id=,S02, PRDE,actvstrat=,0.310448, actvprof=,1.883121, id=,S04, PRDE,actvstrat=,0.447989, actvprof=,0.302649, id=,S05, PRDE,actvstrat=,-0.036607, actvprof=,0.031112, id=,S06, PRDE,actvstrat=,-0.718232, actvprof=,0.005556, id=,S08, PRDE,actvstrat=,-0.951285, actvprof=,0.001945, best_B_id=,B09, best_B_prof=,5.849231, best_B_strat=,0.270535, best_S_id=,S02, best_S_prof=,1.883121, best_S_strat=,0.310448, 
t=,46800, id=,B02, PRDE,actvstrat=,0.773401, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.822648, actvprof=,0.010001, id=,B05, PRDE,actvstrat=,-0.738182, actvprof=,0.028891, id=,B06, PRDE,actvstrat=,0.233893, actvprof=,1.132301, id=,B09, PRDE,actvstrat=,0.144101, actvprof=,5.564553, id=,S02, PRDE,actvstrat=,-0.792054, actvprof=,0.388638, id=,S04, PRDE,actvstrat=,0.447989, actvprof=,0.256962, id=,S05, PRDE,actvstrat=,0.624995, actvprof=,0.040281, id=,S06, PRDE,actvstrat=,-0.034129, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.116444, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.564553, best_B_strat=,0.144101, best_S_id=,S02, best_S_prof=,0.388638, best_S_strat=,-0.792054, 
t=,50400, id=,B02, PRDE,actvstrat=,0.773401, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.822648, actvprof=,0.018334, id=,B05, PRDE,actvstrat=,-0.738182, actvprof=,0.030279, id=,B06, PRDE,actvstrat=,0.233893, actvprof=,1.223237, id=,B09, PRDE,actvstrat=,0.144101, actvprof=,5.592416, id=,S02, PRDE,actvstrat=,-0.792054, actvprof=,0.384180, id=,S04, PRDE,actvstrat=,0.447989, actvprof=,0.257370, id=,S05, PRDE,actvstrat=,0.624995, actvprof=,0.071669, id=,S06, PRDE,actvstrat=,-0.034129, actvprof=,0.003611, id=,S08, PRDE,actvstrat=,-0.116444, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.592416, best_B_strat=,0.144101, best_S_id=,S02, best_S_prof=,0.384180, best_S_strat=,-0.792054, 
t=,54000, id=,B02, PRDE,actvstrat=,0.773401, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.369428, actvprof=,0.024446, id=,B05, PRDE,actvstrat=,-0.274281, actvprof=,0.206128, id=,B06, PRDE,actvstrat=,0.654266, actvprof=,2.179626, id=,B09, PRDE,actvstrat=,0.854738, actvprof=,6.808067, id=,S02, PRDE,actvstrat=,0.890594, actvprof=,3.123038, id=,S04, PRDE,actvstrat=,-0.796211, actvprof=,0.129733, id=,S05, PRDE,actvstrat=,0.679442, actvprof=,0.157235, id=,S06, PRDE,actvstrat=,-0.623742, actvprof=,0.011390, id=,S08, PRDE,actvstrat=,0.970525, actvprof=,0.002778, best_B_id=,B09, best_B_prof=,6.808067, best_B_strat=,0.854738, best_S_id=,S02, best_S_prof=,3.123038, best_S_strat=,0.890594, 
t=,57600, id=,B02, PRDE,actvstrat=,0.773401, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.369428, actvprof=,0.039307, id=,B05, PRDE,actvstrat=,-0.274281, actvprof=,0.245427, id=,B06, PRDE,actvstrat=,0.654266, actvprof=,2.356070, id=,B09, PRDE,actvstrat=,0.854738, actvprof=,7.076545, id=,S02, PRDE,actvstrat=,0.890594, actvprof=,2.983180, id=,S04, PRDE,actvstrat=,-0.796211, actvprof=,0.089865, id=,S05, PRDE,actvstrat=,0.679442, actvprof=,0.142089, id=,S06, PRDE,actvstrat=,-0.623742, actvprof=,0.008056, id=,S08, PRDE,actvstrat=,0.970525, actvprof=,0.003195, best_B_id=,B09, best_B_prof=,7.076545, best_B_strat=,0.854738, best_S_id=,S02, best_S_prof=,2.983180, best_S_strat=,0.890594, 
t=,61200, id=,B02, PRDE,actvstrat=,0.773401, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.419919, actvprof=,0.050560, id=,B05, PRDE,actvstrat=,-0.299251, actvprof=,0.106677, id=,B06, PRDE,actvstrat=,0.622572, actvprof=,1.937966, id=,B09, PRDE,actvstrat=,0.813461, actvprof=,6.994013, id=,S02, PRDE,actvstrat=,0.310448, actvprof=,1.831289, id=,S04, PRDE,actvstrat=,0.447989, actvprof=,0.294751, id=,S05, PRDE,actvstrat=,0.699897, actvprof=,0.104177, id=,S06, PRDE,actvstrat=,-0.718232, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.951285, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.994013, best_B_strat=,0.813461, best_S_id=,S02, best_S_prof=,1.831289, best_S_strat=,0.310448, 
t=,64800, id=,B02, PRDE,actvstrat=,0.773401, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.419919, actvprof=,0.051947, id=,B05, PRDE,actvstrat=,-0.299251, actvprof=,0.111532, id=,B06, PRDE,actvstrat=,0.622572, actvprof=,1.867022, id=,B09, PRDE,actvstrat=,0.813461, actvprof=,6.919038, id=,S02, PRDE,actvstrat=,0.310448, actvprof=,1.819937, id=,S04, PRDE,actvstrat=,0.447989, actvprof=,0.318347, id=,S05, PRDE,actvstrat=,0.699897, actvprof=,0.111949, id=,S06, PRDE,actvstrat=,-0.718232, actvprof=,0.000417, id=,S08, PRDE,actvstrat=,-0.951285, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.919038, best_B_strat=,0.813461, best_S_id=,S02, best_S_prof=,1.819937, best_S_strat=,0.310448, 
t=,68400, id=,B02, PRDE,actvstrat=,0.797292, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.369428, actvprof=,0.110011, id=,B05, PRDE,actvstrat=,-0.514066, actvprof=,0.472546, id=,B06, PRDE,actvstrat=,0.654266, actvprof=,3.053075, id=,B09, PRDE,actvstrat=,-0.848730, actvprof=,4.113455, id=,S02, PRDE,actvstrat=,0.940940, actvprof=,2.295223, id=,S04, PRDE,actvstrat=,0.447989, actvprof=,0.042504, id=,S05, PRDE,actvstrat=,0.679442, actvprof=,0.007501, id=,S06, PRDE,actvstrat=,-0.623742, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.101907, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.113455, best_B_strat=,-0.848730, best_S_id=,S02, best_S_prof=,2.295223, best_S_strat=,0.940940, 
t=,72000, id=,B02, PRDE,actvstrat=,0.797292, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.369428, actvprof=,0.092782, id=,B05, PRDE,actvstrat=,-0.514066, actvprof=,0.502386, id=,B06, PRDE,actvstrat=,0.654266, actvprof=,3.103762, id=,B09, PRDE,actvstrat=,-0.848730, actvprof=,4.074643, id=,S02, PRDE,actvstrat=,0.940940, actvprof=,2.274972, id=,S04, PRDE,actvstrat=,0.447989, actvprof=,0.044586, id=,S05, PRDE,actvstrat=,0.679442, actvprof=,0.009167, id=,S06, PRDE,actvstrat=,-0.623742, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.101907, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.074643, best_B_strat=,-0.848730, best_S_id=,S02, best_S_prof=,2.274972, best_S_strat=,0.940940, 
