t=,39600, id=,B01, PRDE,actvstrat=,-0.208623, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.575596, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.554912, actvprof=,3.143187, id=,B07, PRDE,actvstrat=,-0.507011, actvprof=,2.762615, id=,B09, PRDE,actvstrat=,-0.876714, actvprof=,3.912107, id=,S02, PRDE,actvstrat=,0.611818, actvprof=,1.273386, id=,S06, PRDE,actvstrat=,-0.461298, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.238073, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.995746, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.912107, best_B_strat=,-0.876714, best_S_id=,S02, best_S_prof=,1.273386, best_S_strat=,0.611818, 
t=,43200, id=,B01, PRDE,actvstrat=,-0.208623, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.575596, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.554912, actvprof=,3.113142, id=,B07, PRDE,actvstrat=,-0.507011, actvprof=,2.838690, id=,B09, PRDE,actvstrat=,-0.876714, actvprof=,4.099419, id=,S02, PRDE,actvstrat=,0.611818, actvprof=,1.382538, id=,S06, PRDE,actvstrat=,-0.461298, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.238073, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.995746, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.099419, best_B_strat=,-0.876714, best_S_id=,S02, best_S_prof=,1.382538, best_S_strat=,0.611818, 
t=,46800, id=,B01, PRDE,actvstrat=,-0.208623, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.177578, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.554912, actvprof=,2.598997, id=,B07, PRDE,actvstrat=,-0.507011, actvprof=,2.423990, id=,B09, PRDE,actvstrat=,0.775790, actvprof=,8.118394, id=,S02, PRDE,actvstrat=,0.334556, actvprof=,1.306166, id=,S06, PRDE,actvstrat=,-0.328294, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.120520, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.991972, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.941722, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.118394, best_B_strat=,0.775790, best_S_id=,S02, best_S_prof=,1.306166, best_S_strat=,0.334556, 
t=,50400, id=,B01, PRDE,actvstrat=,-0.208623, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.177578, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.554912, actvprof=,2.546599, id=,B07, PRDE,actvstrat=,-0.507011, actvprof=,2.449374, id=,B09, PRDE,actvstrat=,0.775790, actvprof=,8.059668, id=,S02, PRDE,actvstrat=,0.334556, actvprof=,1.312259, id=,S06, PRDE,actvstrat=,-0.328294, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.120520, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.991972, actvprof=,0.001250, id=,S09, PRDE,actvstrat=,0.941722, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.059668, best_B_strat=,0.775790, best_S_id=,S02, best_S_prof=,1.312259, best_S_strat=,0.334556, 
t=,54000, id=,B01, PRDE,actvstrat=,0.557467, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.379678, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,4.608589, id=,B07, PRDE,actvstrat=,-0.918776, actvprof=,1.876493, id=,B09, PRDE,actvstrat=,-0.400033, actvprof=,7.742930, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,1.704817, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.742930, best_B_strat=,-0.400033, best_S_id=,S02, best_S_prof=,1.704817, best_S_strat=,-1.000000, 
t=,57600, id=,B01, PRDE,actvstrat=,0.557467, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.379678, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,4.580961, id=,B07, PRDE,actvstrat=,-0.918776, actvprof=,1.796855, id=,B09, PRDE,actvstrat=,-0.400033, actvprof=,7.531043, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,1.728520, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000139, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.531043, best_B_strat=,-0.400033, best_S_id=,S02, best_S_prof=,1.728520, best_S_strat=,-1.000000, 
t=,61200, id=,B01, PRDE,actvstrat=,-0.597245, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.379678, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.091679, actvprof=,1.676760, id=,B07, PRDE,actvstrat=,-0.523884, actvprof=,2.186233, id=,B09, PRDE,actvstrat=,0.958267, actvprof=,8.192955, id=,S02, PRDE,actvstrat=,-0.866657, actvprof=,0.085283, id=,S06, PRDE,actvstrat=,0.257678, actvprof=,0.003611, id=,S07, PRDE,actvstrat=,-0.063688, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.792224, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.037774, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.192955, best_B_strat=,0.958267, best_S_id=,S02, best_S_prof=,0.085283, best_S_strat=,-0.866657, 
t=,64800, id=,B01, PRDE,actvstrat=,-0.597245, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.379678, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.091679, actvprof=,1.682963, id=,B07, PRDE,actvstrat=,-0.523884, actvprof=,2.154227, id=,B09, PRDE,actvstrat=,0.958267, actvprof=,8.139115, id=,S02, PRDE,actvstrat=,-0.866657, actvprof=,0.100419, id=,S06, PRDE,actvstrat=,0.257678, actvprof=,0.005417, id=,S07, PRDE,actvstrat=,-0.063688, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.792224, actvprof=,0.000139, id=,S09, PRDE,actvstrat=,0.037774, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.139115, best_B_strat=,0.958267, best_S_id=,S02, best_S_prof=,0.100419, best_S_strat=,-0.866657, 
t=,68400, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.471582, id=,B07, PRDE,actvstrat=,-0.533822, actvprof=,2.813490, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,8.152675, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.817379, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.649028, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.592321, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.152675, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,2.817379, best_S_strat=,-1.000000, 
t=,72000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.389122, id=,B07, PRDE,actvstrat=,-0.533822, actvprof=,2.668130, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,8.088141, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.897164, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.649028, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.592321, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.088141, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,2.897164, best_S_strat=,-1.000000, 
t=,75600, id=,B01, PRDE,actvstrat=,0.580120, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.575596, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.620536, actvprof=,3.287960, id=,B07, PRDE,actvstrat=,0.611344, actvprof=,5.051670, id=,B09, PRDE,actvstrat=,-0.868140, actvprof=,4.647203, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.520140, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.001945, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.131024, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.538947, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,5.051670, best_B_strat=,0.611344, best_S_id=,S02, best_S_prof=,2.520140, best_S_strat=,-1.000000, 
t=,79200, id=,B01, PRDE,actvstrat=,0.580120, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.575596, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.620536, actvprof=,3.275508, id=,B07, PRDE,actvstrat=,0.611344, actvprof=,5.054307, id=,B09, PRDE,actvstrat=,-0.868140, actvprof=,4.548737, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.511736, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.001528, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.131024, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.538947, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,5.054307, best_B_strat=,0.611344, best_S_id=,S02, best_S_prof=,2.511736, best_S_strat=,-1.000000, 
t=,82800, id=,B01, PRDE,actvstrat=,0.933118, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.821246, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.906328, id=,B07, PRDE,actvstrat=,-0.728389, actvprof=,2.805434, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,9.079949, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.279016, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.001111, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.001667, id=,S08, PRDE,actvstrat=,0.168094, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,9.079949, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,2.279016, best_S_strat=,-1.000000, 
t=,86400, id=,B01, PRDE,actvstrat=,0.933118, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.821246, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,4.028862, id=,B07, PRDE,actvstrat=,-0.728389, actvprof=,2.927720, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,9.181644, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.220617, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.001667, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.001250, id=,S08, PRDE,actvstrat=,0.168094, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,9.181644, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,2.220617, best_S_strat=,-1.000000, 
t=,90000, id=,B01, PRDE,actvstrat=,0.184716, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.706558, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.971466, actvprof=,3.221523, id=,B07, PRDE,actvstrat=,0.719508, actvprof=,4.597692, id=,B09, PRDE,actvstrat=,-0.876714, actvprof=,3.524036, id=,S02, PRDE,actvstrat=,0.611818, actvprof=,1.794519, id=,S06, PRDE,actvstrat=,-0.604491, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.442657, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.013945, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.030324, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.597692, best_B_strat=,0.719508, best_S_id=,S02, best_S_prof=,1.794519, best_S_strat=,0.611818, 
t=,93600, id=,B01, PRDE,actvstrat=,0.184716, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.706558, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.971466, actvprof=,3.206200, id=,B07, PRDE,actvstrat=,0.719508, actvprof=,4.604017, id=,B09, PRDE,actvstrat=,-0.876714, actvprof=,3.621351, id=,S02, PRDE,actvstrat=,0.611818, actvprof=,1.801578, id=,S06, PRDE,actvstrat=,-0.604491, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.442657, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.013945, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.030324, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.604017, best_B_strat=,0.719508, best_S_id=,S02, best_S_prof=,1.801578, best_S_strat=,0.611818, 
t=,97200, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.953262, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.621563, actvprof=,1.719564, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.676089, id=,B09, PRDE,actvstrat=,0.306960, actvprof=,6.321550, id=,S02, PRDE,actvstrat=,-0.305084, actvprof=,0.611987, id=,S06, PRDE,actvstrat=,0.933057, actvprof=,0.003889, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.321550, best_B_strat=,0.306960, best_S_id=,S02, best_S_prof=,0.611987, best_S_strat=,-0.305084, 
t=,100800, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.953262, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.621563, actvprof=,1.685475, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.675128, id=,B09, PRDE,actvstrat=,0.306960, actvprof=,6.121185, id=,S02, PRDE,actvstrat=,-0.305084, actvprof=,0.645578, id=,S06, PRDE,actvstrat=,0.933057, actvprof=,0.004167, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000972, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.121185, best_B_strat=,0.306960, best_S_id=,S02, best_S_prof=,0.645578, best_S_strat=,-0.305084, 
t=,104400, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.841341, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.421557, actvprof=,2.190708, id=,B07, PRDE,actvstrat=,0.965915, actvprof=,4.787555, id=,B09, PRDE,actvstrat=,0.027866, actvprof=,6.462949, id=,S02, PRDE,actvstrat=,0.468265, actvprof=,1.555941, id=,S06, PRDE,actvstrat=,0.531117, actvprof=,0.004167, id=,S07, PRDE,actvstrat=,0.959517, actvprof=,0.001945, id=,S08, PRDE,actvstrat=,0.675194, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.179682, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.462949, best_B_strat=,0.027866, best_S_id=,S02, best_S_prof=,1.555941, best_S_strat=,0.468265, 
t=,108000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.841341, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.421557, actvprof=,2.176881, id=,B07, PRDE,actvstrat=,0.965915, actvprof=,4.760999, id=,B09, PRDE,actvstrat=,0.027866, actvprof=,6.466891, id=,S02, PRDE,actvstrat=,0.468265, actvprof=,1.612834, id=,S06, PRDE,actvstrat=,0.531117, actvprof=,0.002917, id=,S07, PRDE,actvstrat=,0.959517, actvprof=,0.002500, id=,S08, PRDE,actvstrat=,0.675194, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.179682, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.466891, best_B_strat=,0.027866, best_S_id=,S02, best_S_prof=,1.612834, best_S_strat=,0.468265, 
t=,111600, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.827355, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.078478, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.704980, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.043267, id=,S02, PRDE,actvstrat=,-0.790246, actvprof=,0.403639, id=,S06, PRDE,actvstrat=,0.190600, actvprof=,0.007223, id=,S07, PRDE,actvstrat=,-0.359673, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.007223, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.043267, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,0.403639, best_S_strat=,-0.790246, 
