t=,39600, id=,B00, PRDE,actvstrat=,-0.012340, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.041947, id=,B05, PRDE,actvstrat=,0.762862, actvprof=,0.625590, id=,B06, PRDE,actvstrat=,0.496883, actvprof=,1.688149, id=,B08, PRDE,actvstrat=,0.324791, actvprof=,4.642758, id=,S00, PRDE,actvstrat=,0.645394, actvprof=,5.841436, id=,S01, PRDE,actvstrat=,-0.176775, actvprof=,1.359520, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.049725, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.002222, id=,S08, PRDE,actvstrat=,-0.872352, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.642758, best_B_strat=,0.324791, best_S_id=,S00, best_S_prof=,5.841436, best_S_strat=,0.645394, 
t=,43200, id=,B00, PRDE,actvstrat=,-0.012340, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.040834, id=,B05, PRDE,actvstrat=,0.762862, actvprof=,0.675019, id=,B06, PRDE,actvstrat=,0.496883, actvprof=,1.762966, id=,B08, PRDE,actvstrat=,0.324791, actvprof=,4.673741, id=,S00, PRDE,actvstrat=,0.645394, actvprof=,5.787383, id=,S01, PRDE,actvstrat=,-0.176775, actvprof=,1.406011, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.039307, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.002500, id=,S08, PRDE,actvstrat=,-0.872352, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.673741, best_B_strat=,0.324791, best_S_id=,S00, best_S_prof=,5.787383, best_S_strat=,0.645394, 
t=,46800, id=,B00, PRDE,actvstrat=,0.037710, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.016578, actvprof=,0.003889, id=,B05, PRDE,actvstrat=,0.467848, actvprof=,0.269737, id=,B06, PRDE,actvstrat=,0.384766, actvprof=,1.343964, id=,B08, PRDE,actvstrat=,0.846924, actvprof=,5.090838, id=,S00, PRDE,actvstrat=,-0.400098, actvprof=,2.426524, id=,S01, PRDE,actvstrat=,-0.439291, actvprof=,1.313129, id=,S05, PRDE,actvstrat=,-0.267058, actvprof=,0.007223, id=,S06, PRDE,actvstrat=,0.963362, actvprof=,0.051947, id=,S08, PRDE,actvstrat=,-0.048382, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.090838, best_B_strat=,0.846924, best_S_id=,S00, best_S_prof=,2.426524, best_S_strat=,-0.400098, 
t=,50400, id=,B00, PRDE,actvstrat=,0.037710, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.016578, actvprof=,0.003056, id=,B05, PRDE,actvstrat=,0.467848, actvprof=,0.258341, id=,B06, PRDE,actvstrat=,0.384766, actvprof=,1.206839, id=,B08, PRDE,actvstrat=,0.846924, actvprof=,5.023056, id=,S00, PRDE,actvstrat=,-0.400098, actvprof=,2.260063, id=,S01, PRDE,actvstrat=,-0.439291, actvprof=,1.399067, id=,S05, PRDE,actvstrat=,-0.267058, actvprof=,0.006806, id=,S06, PRDE,actvstrat=,0.963362, actvprof=,0.051113, id=,S08, PRDE,actvstrat=,-0.048382, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.023056, best_B_strat=,0.846924, best_S_id=,S00, best_S_prof=,2.260063, best_S_strat=,-0.400098, 
t=,54000, id=,B00, PRDE,actvstrat=,-0.333033, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.028336, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.421424, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.545129, id=,B08, PRDE,actvstrat=,-0.006095, actvprof=,3.251660, id=,S00, PRDE,actvstrat=,0.738266, actvprof=,6.886685, id=,S01, PRDE,actvstrat=,0.139219, actvprof=,3.718088, id=,S05, PRDE,actvstrat=,-0.325315, actvprof=,0.002500, id=,S06, PRDE,actvstrat=,0.958469, actvprof=,0.026113, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.251660, best_B_strat=,-0.006095, best_S_id=,S00, best_S_prof=,6.886685, best_S_strat=,0.738266, 
t=,57600, id=,B00, PRDE,actvstrat=,-0.333033, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.019445, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.392655, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.526869, id=,B08, PRDE,actvstrat=,-0.006095, actvprof=,3.149992, id=,S00, PRDE,actvstrat=,0.738266, actvprof=,6.907510, id=,S01, PRDE,actvstrat=,0.139219, actvprof=,3.543481, id=,S05, PRDE,actvstrat=,-0.325315, actvprof=,0.002778, id=,S06, PRDE,actvstrat=,0.958469, actvprof=,0.025696, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.149992, best_B_strat=,-0.006095, best_S_id=,S00, best_S_prof=,6.907510, best_S_strat=,0.738266, 
t=,61200, id=,B00, PRDE,actvstrat=,-0.763977, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.310675, actvprof=,0.044726, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.215379, id=,B06, PRDE,actvstrat=,-0.965712, actvprof=,0.536434, id=,B08, PRDE,actvstrat=,0.915180, actvprof=,5.974665, id=,S00, PRDE,actvstrat=,0.784639, actvprof=,5.965775, id=,S01, PRDE,actvstrat=,0.087747, actvprof=,2.349640, id=,S05, PRDE,actvstrat=,0.355983, actvprof=,0.006112, id=,S06, PRDE,actvstrat=,-0.730820, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.614942, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.974665, best_B_strat=,0.915180, best_S_id=,S00, best_S_prof=,5.965775, best_S_strat=,0.784639, 
t=,64800, id=,B00, PRDE,actvstrat=,-0.763977, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.310675, actvprof=,0.041391, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.243107, id=,B06, PRDE,actvstrat=,-0.965712, actvprof=,0.519605, id=,B08, PRDE,actvstrat=,0.915180, actvprof=,5.925247, id=,S00, PRDE,actvstrat=,0.784639, actvprof=,5.979277, id=,S01, PRDE,actvstrat=,0.087747, actvprof=,2.250372, id=,S05, PRDE,actvstrat=,0.355983, actvprof=,0.012917, id=,S06, PRDE,actvstrat=,-0.730820, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.614942, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.925247, best_B_strat=,0.915180, best_S_id=,S00, best_S_prof=,5.979277, best_S_strat=,0.784639, 
t=,68400, id=,B00, PRDE,actvstrat=,0.421152, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.155566, id=,B05, PRDE,actvstrat=,0.811984, actvprof=,0.892284, id=,B06, PRDE,actvstrat=,-0.111795, actvprof=,1.173137, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.802625, id=,S00, PRDE,actvstrat=,0.560590, actvprof=,4.382527, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.925898, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.070560, id=,S06, PRDE,actvstrat=,0.392689, actvprof=,0.002222, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.802625, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.925898, best_S_strat=,1.000000, 
t=,72000, id=,B00, PRDE,actvstrat=,0.421152, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.140145, id=,B05, PRDE,actvstrat=,0.811984, actvprof=,0.895176, id=,B06, PRDE,actvstrat=,-0.111795, actvprof=,1.153937, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.815937, id=,S00, PRDE,actvstrat=,0.560590, actvprof=,4.155590, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.940623, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.084587, id=,S06, PRDE,actvstrat=,0.392689, actvprof=,0.001111, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.815937, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.940623, best_S_strat=,1.000000, 
t=,75600, id=,B00, PRDE,actvstrat=,-0.333033, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.283635, id=,B05, PRDE,actvstrat=,-0.154788, actvprof=,0.238075, id=,B06, PRDE,actvstrat=,0.027453, actvprof=,1.623469, id=,B08, PRDE,actvstrat=,0.384089, actvprof=,4.993194, id=,S00, PRDE,actvstrat=,0.738266, actvprof=,5.060700, id=,S01, PRDE,actvstrat=,0.731921, actvprof=,3.332778, id=,S05, PRDE,actvstrat=,0.271871, actvprof=,0.035281, id=,S06, PRDE,actvstrat=,0.512989, actvprof=,0.004167, id=,S08, PRDE,actvstrat=,0.114280, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.993194, best_B_strat=,0.384089, best_S_id=,S00, best_S_prof=,5.060700, best_S_strat=,0.738266, 
t=,79200, id=,B00, PRDE,actvstrat=,-0.333033, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.250010, id=,B05, PRDE,actvstrat=,-0.154788, actvprof=,0.237649, id=,B06, PRDE,actvstrat=,0.027453, actvprof=,1.565343, id=,B08, PRDE,actvstrat=,0.384089, actvprof=,4.986319, id=,S00, PRDE,actvstrat=,0.738266, actvprof=,4.939928, id=,S01, PRDE,actvstrat=,0.731921, actvprof=,3.372363, id=,S05, PRDE,actvstrat=,0.271871, actvprof=,0.023751, id=,S06, PRDE,actvstrat=,0.512989, actvprof=,0.002361, id=,S08, PRDE,actvstrat=,0.114280, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.986319, best_B_strat=,0.384089, best_S_id=,S00, best_S_prof=,4.939928, best_S_strat=,0.738266, 
t=,82800, id=,B00, PRDE,actvstrat=,0.602533, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.647114, actvprof=,0.019723, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.203678, id=,B06, PRDE,actvstrat=,-0.538295, actvprof=,0.908106, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.777821, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,5.739208, id=,S01, PRDE,actvstrat=,0.386004, actvprof=,1.878993, id=,S05, PRDE,actvstrat=,0.422335, actvprof=,0.008612, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.071948, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.777821, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,5.739208, best_S_strat=,1.000000, 
t=,86400, id=,B00, PRDE,actvstrat=,0.602533, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.647114, actvprof=,0.032224, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.235885, id=,B06, PRDE,actvstrat=,-0.538295, actvprof=,0.933094, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.746212, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,5.765240, id=,S01, PRDE,actvstrat=,0.386004, actvprof=,1.803408, id=,S05, PRDE,actvstrat=,0.422335, actvprof=,0.017640, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.071392, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.746212, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,5.765240, best_S_strat=,1.000000, 
t=,90000, id=,B00, PRDE,actvstrat=,-0.427820, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.943475, actvprof=,0.151679, id=,B05, PRDE,actvstrat=,0.811984, actvprof=,0.497264, id=,B06, PRDE,actvstrat=,0.496883, actvprof=,1.119260, id=,B08, PRDE,actvstrat=,0.881850, actvprof=,4.511209, id=,S00, PRDE,actvstrat=,0.986117, actvprof=,7.041142, id=,S01, PRDE,actvstrat=,0.218218, actvprof=,2.410201, id=,S05, PRDE,actvstrat=,-0.748445, actvprof=,0.002778, id=,S06, PRDE,actvstrat=,-0.001983, actvprof=,0.004723, id=,S08, PRDE,actvstrat=,-0.622782, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.511209, best_B_strat=,0.881850, best_S_id=,S00, best_S_prof=,7.041142, best_S_strat=,0.986117, 
