t=,39600, id=,B00, PRDE,actvstrat=,-0.515590, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.544900, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.941600, actvprof=,0.020557, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.270713, id=,B09, PRDE,actvstrat=,0.287785, actvprof=,6.301827, id=,S00, PRDE,actvstrat=,0.202800, actvprof=,4.330579, id=,S02, PRDE,actvstrat=,0.189509, actvprof=,1.682061, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.036947, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.002500, id=,S07, PRDE,actvstrat=,0.036766, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.301827, best_B_strat=,0.287785, best_S_id=,S00, best_S_prof=,4.330579, best_S_strat=,0.202800, 
t=,43200, id=,B00, PRDE,actvstrat=,-0.515590, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.544900, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.941600, actvprof=,0.017640, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.288135, id=,B09, PRDE,actvstrat=,0.287785, actvprof=,6.330220, id=,S00, PRDE,actvstrat=,0.202800, actvprof=,4.352790, id=,S02, PRDE,actvstrat=,0.189509, actvprof=,1.659641, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.037918, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.005556, id=,S07, PRDE,actvstrat=,0.036766, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.330220, best_B_strat=,0.287785, best_S_id=,S00, best_S_prof=,4.352790, best_S_strat=,0.202800, 
t=,46800, id=,B00, PRDE,actvstrat=,-0.620981, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.116845, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.105528, actvprof=,0.003056, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.799778, id=,B09, PRDE,actvstrat=,0.929039, actvprof=,5.396208, id=,S00, PRDE,actvstrat=,-0.010259, actvprof=,4.747274, id=,S02, PRDE,actvstrat=,-0.467166, actvprof=,1.091187, id=,S05, PRDE,actvstrat=,0.160619, actvprof=,0.155566, id=,S06, PRDE,actvstrat=,0.538210, actvprof=,0.047226, id=,S07, PRDE,actvstrat=,0.382364, actvprof=,0.008056, best_B_id=,B09, best_B_prof=,5.396208, best_B_strat=,0.929039, best_S_id=,S00, best_S_prof=,4.747274, best_S_strat=,-0.010259, 
t=,50400, id=,B00, PRDE,actvstrat=,-0.620981, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.116845, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.105528, actvprof=,0.002500, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.819201, id=,B09, PRDE,actvstrat=,0.929039, actvprof=,5.425782, id=,S00, PRDE,actvstrat=,-0.010259, actvprof=,4.999097, id=,S02, PRDE,actvstrat=,-0.467166, actvprof=,1.078239, id=,S05, PRDE,actvstrat=,0.160619, actvprof=,0.162229, id=,S06, PRDE,actvstrat=,0.538210, actvprof=,0.047363, id=,S07, PRDE,actvstrat=,0.382364, actvprof=,0.006945, best_B_id=,B09, best_B_prof=,5.425782, best_B_strat=,0.929039, best_S_id=,S00, best_S_prof=,4.999097, best_S_strat=,-0.010259, 
t=,54000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.042829, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.951757, actvprof=,0.008056, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.795427, id=,B09, PRDE,actvstrat=,0.064753, actvprof=,5.052643, id=,S00, PRDE,actvstrat=,0.773787, actvprof=,7.259772, id=,S02, PRDE,actvstrat=,-0.795754, actvprof=,0.376420, id=,S05, PRDE,actvstrat=,0.439301, actvprof=,0.010001, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.024169, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.003889, best_B_id=,B09, best_B_prof=,5.052643, best_B_strat=,0.064753, best_S_id=,S00, best_S_prof=,7.259772, best_S_strat=,0.773787, 
t=,57600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.042829, actvprof=,0.000972, id=,B04, PRDE,actvstrat=,0.951757, actvprof=,0.012362, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.844382, id=,B09, PRDE,actvstrat=,0.064753, actvprof=,5.043682, id=,S00, PRDE,actvstrat=,0.773787, actvprof=,7.093212, id=,S02, PRDE,actvstrat=,-0.795754, actvprof=,0.386544, id=,S05, PRDE,actvstrat=,0.439301, actvprof=,0.011667, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.021668, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.002361, best_B_id=,B09, best_B_prof=,5.043682, best_B_strat=,0.064753, best_S_id=,S00, best_S_prof=,7.093212, best_S_strat=,0.773787, 
t=,61200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.042829, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.051730, actvprof=,0.003889, id=,B06, PRDE,actvstrat=,0.694250, actvprof=,1.136499, id=,B09, PRDE,actvstrat=,-0.029171, actvprof=,4.212910, id=,S00, PRDE,actvstrat=,-0.131333, actvprof=,3.255872, id=,S02, PRDE,actvstrat=,-0.467166, actvprof=,0.865084, id=,S05, PRDE,actvstrat=,0.080948, actvprof=,0.043615, id=,S06, PRDE,actvstrat=,-0.283211, actvprof=,0.003334, id=,S07, PRDE,actvstrat=,-0.642134, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.212910, best_B_strat=,-0.029171, best_S_id=,S00, best_S_prof=,3.255872, best_S_strat=,-0.131333, 
t=,64800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.042829, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.051730, actvprof=,0.003472, id=,B06, PRDE,actvstrat=,0.694250, actvprof=,1.131027, id=,B09, PRDE,actvstrat=,-0.029171, actvprof=,4.289931, id=,S00, PRDE,actvstrat=,-0.131333, actvprof=,3.339051, id=,S02, PRDE,actvstrat=,-0.467166, actvprof=,0.838096, id=,S05, PRDE,actvstrat=,0.080948, actvprof=,0.049586, id=,S06, PRDE,actvstrat=,-0.283211, actvprof=,0.004445, id=,S07, PRDE,actvstrat=,-0.642134, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.289931, best_B_strat=,-0.029171, best_S_id=,S00, best_S_prof=,3.339051, best_S_strat=,-0.131333, 
t=,68400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.313883, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.575867, actvprof=,0.057782, id=,B06, PRDE,actvstrat=,0.229585, actvprof=,1.754566, id=,B09, PRDE,actvstrat=,-0.997337, actvprof=,7.299396, id=,S00, PRDE,actvstrat=,-0.623620, actvprof=,1.662615, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.035489, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.033058, id=,S06, PRDE,actvstrat=,0.731696, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.641033, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.299396, best_B_strat=,-0.997337, best_S_id=,S02, best_S_prof=,3.035489, best_S_strat=,-1.000000, 
t=,72000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.313883, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.575867, actvprof=,0.056947, id=,B06, PRDE,actvstrat=,0.229585, actvprof=,1.773003, id=,B09, PRDE,actvstrat=,-0.997337, actvprof=,7.362163, id=,S00, PRDE,actvstrat=,-0.623620, actvprof=,1.610217, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.994729, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.022640, id=,S06, PRDE,actvstrat=,0.731696, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.641033, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.362163, best_B_strat=,-0.997337, best_S_id=,S02, best_S_prof=,2.994729, best_S_strat=,-1.000000, 
