t=,43200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.332170, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.409156, actvprof=,0.038196, id=,B08, PRDE,actvstrat=,0.113676, actvprof=,4.749160, id=,S03, PRDE,actvstrat=,-0.102273, actvprof=,0.118476, id=,S04, PRDE,actvstrat=,0.330785, actvprof=,0.058196, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.001111, id=,S07, PRDE,actvstrat=,-0.378598, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.979310, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.749160, best_B_strat=,0.113676, best_S_id=,S03, best_S_prof=,0.118476, best_S_strat=,-0.102273, 
t=,46800, id=,B00, PRDE,actvstrat=,0.587482, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.094916, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.325569, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.617309, actvprof=,0.018890, id=,B08, PRDE,actvstrat=,0.043970, actvprof=,4.333852, id=,S03, PRDE,actvstrat=,0.088511, actvprof=,0.434191, id=,S04, PRDE,actvstrat=,0.614625, actvprof=,0.190566, id=,S06, PRDE,actvstrat=,0.806088, actvprof=,0.001667, id=,S07, PRDE,actvstrat=,-0.294216, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.265720, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.333852, best_B_strat=,0.043970, best_S_id=,S03, best_S_prof=,0.434191, best_S_strat=,0.088511, 
t=,50400, id=,B00, PRDE,actvstrat=,0.587482, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.094916, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.325569, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.617309, actvprof=,0.026390, id=,B08, PRDE,actvstrat=,0.043970, actvprof=,4.449707, id=,S03, PRDE,actvstrat=,0.088511, actvprof=,0.451957, id=,S04, PRDE,actvstrat=,0.614625, actvprof=,0.195422, id=,S06, PRDE,actvstrat=,0.806088, actvprof=,0.001528, id=,S07, PRDE,actvstrat=,-0.294216, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.265720, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.449707, best_B_strat=,0.043970, best_S_id=,S03, best_S_prof=,0.451957, best_S_strat=,0.088511, 
t=,54000, id=,B00, PRDE,actvstrat=,-0.048266, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.281315, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.080624, actvprof=,0.006389, id=,B08, PRDE,actvstrat=,-0.289764, actvprof=,3.541030, id=,S03, PRDE,actvstrat=,-0.578673, actvprof=,0.069726, id=,S04, PRDE,actvstrat=,-0.053315, actvprof=,0.030835, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.002222, id=,S07, PRDE,actvstrat=,0.021773, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.949378, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.541030, best_B_strat=,-0.289764, best_S_id=,S03, best_S_prof=,0.069726, best_S_strat=,-0.578673, 
t=,57600, id=,B00, PRDE,actvstrat=,-0.048266, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.281315, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.080624, actvprof=,0.020556, id=,B08, PRDE,actvstrat=,-0.289764, actvprof=,3.598572, id=,S03, PRDE,actvstrat=,-0.578673, actvprof=,0.090141, id=,S04, PRDE,actvstrat=,-0.053315, actvprof=,0.030001, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.001944, id=,S07, PRDE,actvstrat=,0.021773, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.949378, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.598572, best_B_strat=,-0.289764, best_S_id=,S03, best_S_prof=,0.090141, best_S_strat=,-0.578673, 
t=,61200, id=,B00, PRDE,actvstrat=,0.220306, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.867746, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.438190, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.202025, actvprof=,0.005556, id=,B08, PRDE,actvstrat=,-0.105626, actvprof=,3.909939, id=,S03, PRDE,actvstrat=,-0.925936, actvprof=,0.017501, id=,S04, PRDE,actvstrat=,0.449311, actvprof=,0.124729, id=,S06, PRDE,actvstrat=,0.258423, actvprof=,0.004445, id=,S07, PRDE,actvstrat=,0.706050, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.985528, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.909939, best_B_strat=,-0.105626, best_S_id=,S04, best_S_prof=,0.124729, best_S_strat=,0.449311, 
t=,64800, id=,B00, PRDE,actvstrat=,0.220306, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.867746, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.438190, actvprof=,0.000417, id=,B04, PRDE,actvstrat=,0.202025, actvprof=,0.007500, id=,B08, PRDE,actvstrat=,-0.105626, actvprof=,3.840107, id=,S03, PRDE,actvstrat=,-0.925936, actvprof=,0.008750, id=,S04, PRDE,actvstrat=,0.449311, actvprof=,0.139171, id=,S06, PRDE,actvstrat=,0.258423, actvprof=,0.002222, id=,S07, PRDE,actvstrat=,0.706050, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.985528, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.840107, best_B_strat=,-0.105626, best_S_id=,S04, best_S_prof=,0.139171, best_S_strat=,0.449311, 
t=,68400, id=,B00, PRDE,actvstrat=,0.812784, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.161537, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.308122, actvprof=,0.009167, id=,B08, PRDE,actvstrat=,-0.757385, actvprof=,2.747375, id=,S03, PRDE,actvstrat=,-0.048775, actvprof=,0.209456, id=,S04, PRDE,actvstrat=,0.311508, actvprof=,0.062781, id=,S06, PRDE,actvstrat=,0.607009, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.025939, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.380176, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.747375, best_B_strat=,-0.757385, best_S_id=,S03, best_S_prof=,0.209456, best_S_strat=,-0.048775, 
t=,72000, id=,B00, PRDE,actvstrat=,0.812784, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.161537, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.308122, actvprof=,0.007361, id=,B08, PRDE,actvstrat=,-0.757385, actvprof=,2.938693, id=,S03, PRDE,actvstrat=,-0.048775, actvprof=,0.214173, id=,S04, PRDE,actvstrat=,0.311508, actvprof=,0.075002, id=,S06, PRDE,actvstrat=,0.607009, actvprof=,0.001528, id=,S07, PRDE,actvstrat=,-0.025939, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.380176, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.938693, best_B_strat=,-0.757385, best_S_id=,S03, best_S_prof=,0.214173, best_S_strat=,-0.048775, 
t=,75600, id=,B00, PRDE,actvstrat=,0.614919, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.359339, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.013855, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.037712, actvprof=,0.021112, id=,B08, PRDE,actvstrat=,0.144034, actvprof=,4.527474, id=,S03, PRDE,actvstrat=,-0.020725, actvprof=,0.346408, id=,S04, PRDE,actvstrat=,-0.833994, actvprof=,0.002222, id=,S06, PRDE,actvstrat=,0.747110, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.151293, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.101536, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.527474, best_B_strat=,0.144034, best_S_id=,S03, best_S_prof=,0.346408, best_S_strat=,-0.020725, 
