t=,39600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.349797, id=,B06, PRDE,actvstrat=,-0.892212, actvprof=,0.161676, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.576921, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.265348, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.719429, id=,S03, PRDE,actvstrat=,0.533781, actvprof=,0.504195, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.008056, id=,S07, PRDE,actvstrat=,0.766562, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.265348, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.719429, best_S_strat=,-1.000000, 
t=,43200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.329324, id=,B06, PRDE,actvstrat=,-0.892212, actvprof=,0.190836, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.574925, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.276754, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.666176, id=,S03, PRDE,actvstrat=,0.533781, actvprof=,0.524591, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.010695, id=,S07, PRDE,actvstrat=,0.766562, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.276754, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.666176, best_S_strat=,-1.000000, 
t=,46800, id=,B00, PRDE,actvstrat=,-0.357226, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.339352, actvprof=,0.046947, id=,B06, PRDE,actvstrat=,-0.996155, actvprof=,2.281238, id=,B07, PRDE,actvstrat=,-0.484516, actvprof=,1.510084, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.079449, id=,S01, PRDE,actvstrat=,-0.197301, actvprof=,1.261737, id=,S03, PRDE,actvstrat=,0.180999, actvprof=,0.470582, id=,S06, PRDE,actvstrat=,0.601366, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.847293, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.890753, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.079449, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,1.261737, best_S_strat=,-0.197301, 
t=,50400, id=,B00, PRDE,actvstrat=,-0.357226, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.339352, actvprof=,0.057502, id=,B06, PRDE,actvstrat=,-0.996155, actvprof=,2.239229, id=,B07, PRDE,actvstrat=,-0.484516, actvprof=,1.568516, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.023195, id=,S01, PRDE,actvstrat=,-0.197301, actvprof=,1.130587, id=,S03, PRDE,actvstrat=,0.180999, actvprof=,0.482097, id=,S06, PRDE,actvstrat=,0.601366, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.847293, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.890753, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.023195, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,1.130587, best_S_strat=,-0.197301, 
t=,54000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.749753, id=,B06, PRDE,actvstrat=,-0.432423, actvprof=,0.533356, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.417087, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.581344, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.085767, id=,S03, PRDE,actvstrat=,-0.449997, actvprof=,0.087781, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.027223, id=,S07, PRDE,actvstrat=,0.449780, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.581344, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,5.085767, best_S_strat=,-1.000000, 
t=,57600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.760993, id=,B06, PRDE,actvstrat=,-0.432423, actvprof=,0.531681, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.424401, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.621406, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.165560, id=,S03, PRDE,actvstrat=,-0.449997, actvprof=,0.100836, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.032501, id=,S07, PRDE,actvstrat=,0.449780, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.621406, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,5.165560, best_S_strat=,-1.000000, 
t=,61200, id=,B00, PRDE,actvstrat=,-0.180553, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.096435, id=,B06, PRDE,actvstrat=,0.026592, actvprof=,1.570343, id=,B07, PRDE,actvstrat=,0.717271, actvprof=,4.047113, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.870245, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.774366, id=,S03, PRDE,actvstrat=,0.875242, actvprof=,1.350612, id=,S06, PRDE,actvstrat=,0.952222, actvprof=,0.067225, id=,S07, PRDE,actvstrat=,0.496559, actvprof=,0.001111, id=,S09, PRDE,actvstrat=,0.253778, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.870245, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.774366, best_S_strat=,-1.000000, 
t=,64800, id=,B00, PRDE,actvstrat=,-0.180553, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.137524, id=,B06, PRDE,actvstrat=,0.026592, actvprof=,1.617950, id=,B07, PRDE,actvstrat=,0.717271, actvprof=,4.057862, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.927623, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.712598, id=,S03, PRDE,actvstrat=,0.875242, actvprof=,1.322944, id=,S06, PRDE,actvstrat=,0.952222, actvprof=,0.062224, id=,S07, PRDE,actvstrat=,0.496559, actvprof=,0.000556, id=,S09, PRDE,actvstrat=,0.253778, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.927623, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.712598, best_S_strat=,-1.000000, 
t=,68400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.187554, actvprof=,0.688094, id=,B06, PRDE,actvstrat=,0.184474, actvprof=,1.963998, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.447747, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.443969, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.464415, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.419801, id=,S06, PRDE,actvstrat=,0.133968, actvprof=,0.001389, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.004445, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.443969, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.464415, best_S_strat=,1.000000, 
t=,72000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.187554, actvprof=,0.710853, id=,B06, PRDE,actvstrat=,0.184474, actvprof=,2.067141, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.459013, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.375872, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.502070, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.385177, id=,S06, PRDE,actvstrat=,0.133968, actvprof=,0.001528, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.006250, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.375872, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.502070, best_S_strat=,1.000000, 
