t=,43200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.415647, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.206254, actvprof=,1.317389, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.707577, id=,S01, PRDE,actvstrat=,-0.597785, actvprof=,1.228081, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.430349, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.805433, id=,S05, PRDE,actvstrat=,-0.497298, actvprof=,0.002500, id=,S08, PRDE,actvstrat=,-0.461593, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.707577, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,3.430349, best_S_strat=,-1.000000, 
t=,46800, id=,B00, PRDE,actvstrat=,-0.467358, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.876008, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.397049, actvprof=,1.384224, id=,B07, PRDE,actvstrat=,0.890542, actvprof=,5.038265, id=,S01, PRDE,actvstrat=,0.691573, actvprof=,3.239579, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.403156, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.205564, id=,S05, PRDE,actvstrat=,-0.401513, actvprof=,0.008334, id=,S08, PRDE,actvstrat=,0.787187, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,5.038265, best_B_strat=,0.890542, best_S_id=,S01, best_S_prof=,3.239579, best_S_strat=,0.691573, 
t=,50400, id=,B00, PRDE,actvstrat=,-0.467358, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.876008, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000139, id=,B06, PRDE,actvstrat=,-0.397049, actvprof=,1.421002, id=,B07, PRDE,actvstrat=,0.890542, actvprof=,5.016632, id=,S01, PRDE,actvstrat=,0.691573, actvprof=,3.223539, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.422550, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.210282, id=,S05, PRDE,actvstrat=,-0.401513, actvprof=,0.004167, id=,S08, PRDE,actvstrat=,0.787187, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,5.016632, best_B_strat=,0.890542, best_S_id=,S01, best_S_prof=,3.223539, best_S_strat=,0.691573, 
t=,54000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.542024, actvprof=,0.366960, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.455422, id=,S01, PRDE,actvstrat=,0.842328, actvprof=,5.380502, id=,S02, PRDE,actvstrat=,0.327172, actvprof=,2.060086, id=,S04, PRDE,actvstrat=,-0.311109, actvprof=,0.026390, id=,S05, PRDE,actvstrat=,-0.292284, actvprof=,0.001667, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.455422, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,5.380502, best_S_strat=,0.842328, 
t=,57600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.542024, actvprof=,0.341535, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.412988, id=,S01, PRDE,actvstrat=,0.842328, actvprof=,5.408863, id=,S02, PRDE,actvstrat=,0.327172, actvprof=,2.110738, id=,S04, PRDE,actvstrat=,-0.311109, actvprof=,0.031528, id=,S05, PRDE,actvstrat=,-0.292284, actvprof=,0.004583, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.412988, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,5.408863, best_S_strat=,0.842328, 
t=,61200, id=,B00, PRDE,actvstrat=,0.294978, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.415647, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.254500, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.206254, actvprof=,0.149173, id=,B07, PRDE,actvstrat=,0.813598, actvprof=,1.964249, id=,S01, PRDE,actvstrat=,-0.844810, actvprof=,0.994208, id=,S02, PRDE,actvstrat=,-0.546801, actvprof=,1.267275, id=,S04, PRDE,actvstrat=,-0.138332, actvprof=,0.188341, id=,S05, PRDE,actvstrat=,-0.292284, actvprof=,0.016390, id=,S08, PRDE,actvstrat=,0.723062, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.964249, best_B_strat=,0.813598, best_S_id=,S02, best_S_prof=,1.267275, best_S_strat=,-0.546801, 
t=,64800, id=,B00, PRDE,actvstrat=,0.294978, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.415647, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.254500, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.206254, actvprof=,0.147781, id=,B07, PRDE,actvstrat=,0.813598, actvprof=,1.951291, id=,S01, PRDE,actvstrat=,-0.844810, actvprof=,0.968215, id=,S02, PRDE,actvstrat=,-0.546801, actvprof=,1.374334, id=,S04, PRDE,actvstrat=,-0.138332, actvprof=,0.218616, id=,S05, PRDE,actvstrat=,-0.292284, actvprof=,0.013473, id=,S08, PRDE,actvstrat=,0.723062, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.951291, best_B_strat=,0.813598, best_S_id=,S02, best_S_prof=,1.374334, best_S_strat=,-0.546801, 
t=,68400, id=,B00, PRDE,actvstrat=,-0.134466, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.042627, id=,B07, PRDE,actvstrat=,0.287734, actvprof=,3.763212, id=,S01, PRDE,actvstrat=,0.326162, actvprof=,2.693446, id=,S02, PRDE,actvstrat=,0.899204, actvprof=,2.712335, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.215287, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.072781, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.763212, best_B_strat=,0.287734, best_S_id=,S02, best_S_prof=,2.712335, best_S_strat=,0.899204, 
t=,72000, id=,B00, PRDE,actvstrat=,-0.134466, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.040897, id=,B07, PRDE,actvstrat=,0.287734, actvprof=,3.845775, id=,S01, PRDE,actvstrat=,0.326162, actvprof=,2.544636, id=,S02, PRDE,actvstrat=,0.899204, actvprof=,2.675750, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.210838, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.064307, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.845775, best_B_strat=,0.287734, best_S_id=,S02, best_S_prof=,2.675750, best_S_strat=,0.899204, 
t=,75600, id=,B00, PRDE,actvstrat=,0.568559, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.356533, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.846664, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.151544, actvprof=,0.739187, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.159810, id=,S01, PRDE,actvstrat=,-0.600127, actvprof=,1.646435, id=,S02, PRDE,actvstrat=,0.494412, actvprof=,2.755077, id=,S04, PRDE,actvstrat=,0.920786, actvprof=,1.130587, id=,S05, PRDE,actvstrat=,0.466747, actvprof=,0.018334, id=,S08, PRDE,actvstrat=,0.787907, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.159810, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,2.755077, best_S_strat=,0.494412, 
