t=,39600, id=,B00, PRDE,actvstrat=,-0.997129, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.003611, id=,B06, PRDE,actvstrat=,-0.109619, actvprof=,1.322296, id=,B07, PRDE,actvstrat=,-0.716340, actvprof=,1.879549, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.723485, id=,S00, PRDE,actvstrat=,0.423881, actvprof=,3.959387, id=,S02, PRDE,actvstrat=,0.754027, actvprof=,2.172898, id=,S04, PRDE,actvstrat=,0.719938, actvprof=,0.118618, id=,S06, PRDE,actvstrat=,0.416029, actvprof=,0.015834, id=,S07, PRDE,actvstrat=,-0.197281, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.723485, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,3.959387, best_S_strat=,0.423881, 
t=,43200, id=,B00, PRDE,actvstrat=,-0.997129, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.008195, id=,B06, PRDE,actvstrat=,-0.109619, actvprof=,1.316287, id=,B07, PRDE,actvstrat=,-0.716340, actvprof=,1.881719, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.672019, id=,S00, PRDE,actvstrat=,0.423881, actvprof=,4.135532, id=,S02, PRDE,actvstrat=,0.754027, actvprof=,2.140337, id=,S04, PRDE,actvstrat=,0.719938, actvprof=,0.120559, id=,S06, PRDE,actvstrat=,0.416029, actvprof=,0.010278, id=,S07, PRDE,actvstrat=,-0.197281, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.672019, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,4.135532, best_S_strat=,0.423881, 
t=,46800, id=,B00, PRDE,actvstrat=,-0.473543, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.489915, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.451172, id=,B07, PRDE,actvstrat=,-0.716340, actvprof=,0.738642, id=,B09, PRDE,actvstrat=,-0.570622, actvprof=,3.495979, id=,S00, PRDE,actvstrat=,-0.616973, actvprof=,2.422879, id=,S02, PRDE,actvstrat=,-0.116060, actvprof=,1.091434, id=,S04, PRDE,actvstrat=,-0.558951, actvprof=,0.061669, id=,S06, PRDE,actvstrat=,-0.100513, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.187098, actvprof=,0.001111, best_B_id=,B09, best_B_prof=,3.495979, best_B_strat=,-0.570622, best_S_id=,S00, best_S_prof=,2.422879, best_S_strat=,-0.616973, 
t=,50400, id=,B00, PRDE,actvstrat=,-0.473543, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.489915, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.453919, id=,B07, PRDE,actvstrat=,-0.716340, actvprof=,0.716959, id=,B09, PRDE,actvstrat=,-0.570622, actvprof=,3.404376, id=,S00, PRDE,actvstrat=,-0.616973, actvprof=,2.451162, id=,S02, PRDE,actvstrat=,-0.116060, actvprof=,1.065578, id=,S04, PRDE,actvstrat=,-0.558951, actvprof=,0.052362, id=,S06, PRDE,actvstrat=,-0.100513, actvprof=,0.001806, id=,S07, PRDE,actvstrat=,0.187098, actvprof=,0.002639, best_B_id=,B09, best_B_prof=,3.404376, best_B_strat=,-0.570622, best_S_id=,S00, best_S_prof=,2.451162, best_S_strat=,-0.616973, 
t=,54000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.013056, id=,B06, PRDE,actvstrat=,0.735265, actvprof=,2.592088, id=,B07, PRDE,actvstrat=,-0.172364, actvprof=,2.292627, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.719873, id=,S00, PRDE,actvstrat=,-0.338219, actvprof=,1.704261, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.822379, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.301128, id=,S06, PRDE,actvstrat=,-0.421601, actvprof=,0.000833, id=,S07, PRDE,actvstrat=,0.894908, actvprof=,0.024724, best_B_id=,B09, best_B_prof=,7.719873, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,2.822379, best_S_strat=,1.000000, 
t=,57600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.010973, id=,B06, PRDE,actvstrat=,0.735265, actvprof=,2.553404, id=,B07, PRDE,actvstrat=,-0.172364, actvprof=,2.232701, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.541459, id=,S00, PRDE,actvstrat=,-0.338219, actvprof=,1.840051, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.943415, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.299869, id=,S06, PRDE,actvstrat=,-0.421601, actvprof=,0.000417, id=,S07, PRDE,actvstrat=,0.894908, actvprof=,0.025278, best_B_id=,B09, best_B_prof=,7.541459, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,2.943415, best_S_strat=,1.000000, 
t=,61200, id=,B00, PRDE,actvstrat=,-0.980196, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.857716, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.735265, actvprof=,0.901174, id=,B07, PRDE,actvstrat=,0.722176, actvprof=,2.309049, id=,B09, PRDE,actvstrat=,-0.055730, actvprof=,3.799153, id=,S00, PRDE,actvstrat=,-0.627750, actvprof=,2.704077, id=,S02, PRDE,actvstrat=,-0.833295, actvprof=,0.396416, id=,S04, PRDE,actvstrat=,0.632208, actvprof=,0.845336, id=,S06, PRDE,actvstrat=,0.848921, actvprof=,0.061115, id=,S07, PRDE,actvstrat=,0.364235, actvprof=,0.000556, best_B_id=,B09, best_B_prof=,3.799153, best_B_strat=,-0.055730, best_S_id=,S00, best_S_prof=,2.704077, best_S_strat=,-0.627750, 
t=,64800, id=,B00, PRDE,actvstrat=,-0.980196, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.857716, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.735265, actvprof=,0.951283, id=,B07, PRDE,actvstrat=,0.722176, actvprof=,2.378277, id=,B09, PRDE,actvstrat=,-0.055730, actvprof=,3.942220, id=,S00, PRDE,actvstrat=,-0.627750, actvprof=,2.695927, id=,S02, PRDE,actvstrat=,-0.833295, actvprof=,0.361957, id=,S04, PRDE,actvstrat=,0.632208, actvprof=,0.818501, id=,S06, PRDE,actvstrat=,0.848921, actvprof=,0.062224, id=,S07, PRDE,actvstrat=,0.364235, actvprof=,0.001806, best_B_id=,B09, best_B_prof=,3.942220, best_B_strat=,-0.055730, best_S_id=,S00, best_S_prof=,2.695927, best_S_strat=,-0.627750, 
t=,68400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.710507, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.419890, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.009167, id=,B09, PRDE,actvstrat=,-0.767922, actvprof=,3.925550, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.894020, id=,S02, PRDE,actvstrat=,-0.245329, actvprof=,0.564761, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.489201, id=,S06, PRDE,actvstrat=,0.554607, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.044052, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.009167, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,5.894020, best_S_strat=,-1.000000, 
t=,72000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.710507, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.397861, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.868884, id=,B09, PRDE,actvstrat=,-0.767922, actvprof=,4.041251, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.881732, id=,S02, PRDE,actvstrat=,-0.245329, actvprof=,0.559742, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.538491, id=,S06, PRDE,actvstrat=,0.554607, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.044052, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.041251, best_B_strat=,-0.767922, best_S_id=,S00, best_S_prof=,5.881732, best_S_strat=,-1.000000, 
