t=,39600, id=,B02, PRDE,actvstrat=,-0.094837, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.510167, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.487900, actvprof=,0.271404, id=,B06, PRDE,actvstrat=,-0.005023, actvprof=,1.779543, id=,B09, PRDE,actvstrat=,0.180747, actvprof=,7.104284, id=,S00, PRDE,actvstrat=,-0.320246, actvprof=,2.884327, id=,S02, PRDE,actvstrat=,-0.784258, actvprof=,0.476138, id=,S05, PRDE,actvstrat=,0.999692, actvprof=,0.016668, id=,S06, PRDE,actvstrat=,0.047331, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.066506, actvprof=,0.000556, best_B_id=,B09, best_B_prof=,7.104284, best_B_strat=,0.180747, best_S_id=,S00, best_S_prof=,2.884327, best_S_strat=,-0.320246, 
t=,43200, id=,B02, PRDE,actvstrat=,-0.094837, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.510167, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.487900, actvprof=,0.264452, id=,B06, PRDE,actvstrat=,-0.005023, actvprof=,1.730048, id=,B09, PRDE,actvstrat=,0.180747, actvprof=,7.095892, id=,S00, PRDE,actvstrat=,-0.320246, actvprof=,2.998556, id=,S02, PRDE,actvstrat=,-0.784258, actvprof=,0.439734, id=,S05, PRDE,actvstrat=,0.999692, actvprof=,0.010973, id=,S06, PRDE,actvstrat=,0.047331, actvprof=,0.001111, id=,S07, PRDE,actvstrat=,0.066506, actvprof=,0.000278, best_B_id=,B09, best_B_prof=,7.095892, best_B_strat=,0.180747, best_S_id=,S00, best_S_prof=,2.998556, best_S_strat=,-0.320246, 
t=,46800, id=,B02, PRDE,actvstrat=,-0.094837, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.704590, actvprof=,0.003056, id=,B05, PRDE,actvstrat=,0.748781, actvprof=,0.203347, id=,B06, PRDE,actvstrat=,0.803216, actvprof=,1.385374, id=,B09, PRDE,actvstrat=,0.180747, actvprof=,4.901729, id=,S00, PRDE,actvstrat=,-0.098431, actvprof=,5.200917, id=,S02, PRDE,actvstrat=,-0.784258, actvprof=,1.199806, id=,S05, PRDE,actvstrat=,-0.827983, actvprof=,0.064449, id=,S06, PRDE,actvstrat=,0.926464, actvprof=,0.058893, id=,S07, PRDE,actvstrat=,-0.350697, actvprof=,0.001667, best_B_id=,B09, best_B_prof=,4.901729, best_B_strat=,0.180747, best_S_id=,S00, best_S_prof=,5.200917, best_S_strat=,-0.098431, 
t=,50400, id=,B02, PRDE,actvstrat=,-0.094837, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.704590, actvprof=,0.002778, id=,B05, PRDE,actvstrat=,0.748781, actvprof=,0.209174, id=,B06, PRDE,actvstrat=,0.803216, actvprof=,1.394493, id=,B09, PRDE,actvstrat=,0.180747, actvprof=,5.020730, id=,S00, PRDE,actvstrat=,-0.098431, actvprof=,5.355186, id=,S02, PRDE,actvstrat=,-0.784258, actvprof=,1.146290, id=,S05, PRDE,actvstrat=,-0.827983, actvprof=,0.043890, id=,S06, PRDE,actvstrat=,0.926464, actvprof=,0.045835, id=,S07, PRDE,actvstrat=,-0.350697, actvprof=,0.000833, best_B_id=,B09, best_B_prof=,5.020730, best_B_strat=,0.180747, best_S_id=,S00, best_S_prof=,5.355186, best_S_strat=,-0.098431, 
t=,54000, id=,B02, PRDE,actvstrat=,0.500053, actvprof=,0.000556, id=,B03, PRDE,actvstrat=,-0.050504, actvprof=,0.002500, id=,B05, PRDE,actvstrat=,0.477121, actvprof=,1.214529, id=,B06, PRDE,actvstrat=,-0.801077, actvprof=,0.802278, id=,B09, PRDE,actvstrat=,-0.247459, actvprof=,6.350719, id=,S00, PRDE,actvstrat=,-0.252351, actvprof=,2.906869, id=,S02, PRDE,actvstrat=,0.821159, actvprof=,2.472116, id=,S05, PRDE,actvstrat=,-0.071026, actvprof=,0.015279, id=,S06, PRDE,actvstrat=,0.334290, actvprof=,0.005556, id=,S07, PRDE,actvstrat=,-0.663662, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.350719, best_B_strat=,-0.247459, best_S_id=,S00, best_S_prof=,2.906869, best_S_strat=,-0.252351, 
t=,57600, id=,B02, PRDE,actvstrat=,0.500053, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,-0.050504, actvprof=,0.003611, id=,B05, PRDE,actvstrat=,0.477121, actvprof=,1.225164, id=,B06, PRDE,actvstrat=,-0.801077, actvprof=,0.874463, id=,B09, PRDE,actvstrat=,-0.247459, actvprof=,6.165684, id=,S00, PRDE,actvstrat=,-0.252351, actvprof=,2.977840, id=,S02, PRDE,actvstrat=,0.821159, actvprof=,2.411161, id=,S05, PRDE,actvstrat=,-0.071026, actvprof=,0.014584, id=,S06, PRDE,actvstrat=,0.334290, actvprof=,0.007917, id=,S07, PRDE,actvstrat=,-0.663662, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.165684, best_B_strat=,-0.247459, best_S_id=,S00, best_S_prof=,2.977840, best_S_strat=,-0.252351, 
t=,61200, id=,B02, PRDE,actvstrat=,0.500053, actvprof=,0.003056, id=,B03, PRDE,actvstrat=,-0.510167, actvprof=,0.004723, id=,B05, PRDE,actvstrat=,-0.487900, actvprof=,0.567539, id=,B06, PRDE,actvstrat=,-0.005023, actvprof=,2.260990, id=,B09, PRDE,actvstrat=,-0.247459, actvprof=,6.498785, id=,S00, PRDE,actvstrat=,-0.094594, actvprof=,2.894923, id=,S02, PRDE,actvstrat=,0.821159, actvprof=,2.021529, id=,S05, PRDE,actvstrat=,0.618309, actvprof=,0.044170, id=,S06, PRDE,actvstrat=,-0.458963, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.617197, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.498785, best_B_strat=,-0.247459, best_S_id=,S00, best_S_prof=,2.894923, best_S_strat=,-0.094594, 
t=,64800, id=,B02, PRDE,actvstrat=,0.500053, actvprof=,0.002361, id=,B03, PRDE,actvstrat=,-0.510167, actvprof=,0.006806, id=,B05, PRDE,actvstrat=,-0.487900, actvprof=,0.511546, id=,B06, PRDE,actvstrat=,-0.005023, actvprof=,2.262856, id=,B09, PRDE,actvstrat=,-0.247459, actvprof=,6.466197, id=,S00, PRDE,actvstrat=,-0.094594, actvprof=,2.935241, id=,S02, PRDE,actvstrat=,0.821159, actvprof=,2.112157, id=,S05, PRDE,actvstrat=,0.618309, actvprof=,0.052502, id=,S06, PRDE,actvstrat=,-0.458963, actvprof=,0.001667, id=,S07, PRDE,actvstrat=,-0.617197, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.466197, best_B_strat=,-0.247459, best_S_id=,S00, best_S_prof=,2.935241, best_S_strat=,-0.094594, 
t=,68400, id=,B02, PRDE,actvstrat=,-0.830718, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.062323, actvprof=,0.000278, id=,B05, PRDE,actvstrat=,0.477121, actvprof=,0.450038, id=,B06, PRDE,actvstrat=,0.467773, actvprof=,1.688474, id=,B09, PRDE,actvstrat=,-0.245192, actvprof=,4.921243, id=,S00, PRDE,actvstrat=,-0.252351, actvprof=,3.918660, id=,S02, PRDE,actvstrat=,-0.480497, actvprof=,1.188710, id=,S05, PRDE,actvstrat=,-0.650799, actvprof=,0.007223, id=,S06, PRDE,actvstrat=,0.990939, actvprof=,0.009723, id=,S07, PRDE,actvstrat=,-0.350697, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.921243, best_B_strat=,-0.245192, best_S_id=,S00, best_S_prof=,3.918660, best_S_strat=,-0.252351, 
t=,72000, id=,B02, PRDE,actvstrat=,-0.830718, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.062323, actvprof=,0.000139, id=,B05, PRDE,actvstrat=,0.477121, actvprof=,0.422654, id=,B06, PRDE,actvstrat=,0.467773, actvprof=,1.689225, id=,B09, PRDE,actvstrat=,-0.245192, actvprof=,4.824195, id=,S00, PRDE,actvstrat=,-0.252351, actvprof=,3.881940, id=,S02, PRDE,actvstrat=,-0.480497, actvprof=,1.126706, id=,S05, PRDE,actvstrat=,-0.650799, actvprof=,0.008473, id=,S06, PRDE,actvstrat=,0.990939, actvprof=,0.010417, id=,S07, PRDE,actvstrat=,-0.350697, actvprof=,0.000694, best_B_id=,B09, best_B_prof=,4.824195, best_B_strat=,-0.245192, best_S_id=,S00, best_S_prof=,3.881940, best_S_strat=,-0.252351, 
