t=,39600, id=,B01, PRDE,actvstrat=,-0.855394, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.007778, id=,B04, PRDE,actvstrat=,0.364864, actvprof=,0.027779, id=,B05, PRDE,actvstrat=,0.877453, actvprof=,0.502521, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.554870, id=,S00, PRDE,actvstrat=,0.159067, actvprof=,4.253511, id=,S01, PRDE,actvstrat=,-0.333484, actvprof=,1.393947, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.252872, id=,S08, PRDE,actvstrat=,0.034895, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.697134, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.554870, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,4.253511, best_S_strat=,0.159067, 
t=,43200, id=,B01, PRDE,actvstrat=,-0.855394, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.009028, id=,B04, PRDE,actvstrat=,0.364864, actvprof=,0.030417, id=,B05, PRDE,actvstrat=,0.877453, actvprof=,0.519316, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.581741, id=,S00, PRDE,actvstrat=,0.159067, actvprof=,4.146614, id=,S01, PRDE,actvstrat=,-0.333484, actvprof=,1.373084, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.248658, id=,S08, PRDE,actvstrat=,0.034895, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.697134, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.581741, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,4.146614, best_S_strat=,0.159067, 
t=,46800, id=,B01, PRDE,actvstrat=,-0.361573, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.201332, actvprof=,0.006945, id=,B04, PRDE,actvstrat=,-0.222219, actvprof=,0.018056, id=,B05, PRDE,actvstrat=,0.877453, actvprof=,0.946428, id=,B07, PRDE,actvstrat=,-0.466613, actvprof=,2.016195, id=,S00, PRDE,actvstrat=,-0.161258, actvprof=,2.282317, id=,S01, PRDE,actvstrat=,0.856667, actvprof=,4.936595, id=,S03, PRDE,actvstrat=,0.535772, actvprof=,0.804478, id=,S08, PRDE,actvstrat=,-0.123251, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.828649, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.016195, best_B_strat=,-0.466613, best_S_id=,S01, best_S_prof=,4.936595, best_S_strat=,0.856667, 
t=,50400, id=,B01, PRDE,actvstrat=,-0.361573, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.201332, actvprof=,0.008750, id=,B04, PRDE,actvstrat=,-0.222219, actvprof=,0.014723, id=,B05, PRDE,actvstrat=,0.877453, actvprof=,0.873907, id=,B07, PRDE,actvstrat=,-0.466613, actvprof=,1.903373, id=,S00, PRDE,actvstrat=,-0.161258, actvprof=,2.257547, id=,S01, PRDE,actvstrat=,0.856667, actvprof=,4.951770, id=,S03, PRDE,actvstrat=,0.535772, actvprof=,0.813628, id=,S08, PRDE,actvstrat=,-0.123251, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.828649, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.903373, best_B_strat=,-0.466613, best_S_id=,S01, best_S_prof=,4.951770, best_S_strat=,0.856667, 
t=,54000, id=,B01, PRDE,actvstrat=,-0.683322, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.006389, id=,B04, PRDE,actvstrat=,-0.557460, actvprof=,0.057225, id=,B05, PRDE,actvstrat=,-0.446460, actvprof=,0.564190, id=,B07, PRDE,actvstrat=,0.490726, actvprof=,4.830757, id=,S00, PRDE,actvstrat=,-0.052584, actvprof=,1.912024, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.278748, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.633082, id=,S08, PRDE,actvstrat=,0.446019, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.830757, best_B_strat=,0.490726, best_S_id=,S01, best_S_prof=,3.278748, best_S_strat=,-1.000000, 
t=,57600, id=,B01, PRDE,actvstrat=,-0.683322, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.005695, id=,B04, PRDE,actvstrat=,-0.557460, actvprof=,0.058473, id=,B05, PRDE,actvstrat=,-0.446460, actvprof=,0.522650, id=,B07, PRDE,actvstrat=,0.490726, actvprof=,4.881629, id=,S00, PRDE,actvstrat=,-0.052584, actvprof=,1.962819, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.277568, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.651125, id=,S08, PRDE,actvstrat=,0.446019, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.881629, best_B_strat=,0.490726, best_S_id=,S01, best_S_prof=,3.277568, best_S_strat=,-1.000000, 
t=,61200, id=,B01, PRDE,actvstrat=,-0.855394, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.001945, id=,B04, PRDE,actvstrat=,-0.533396, actvprof=,0.004722, id=,B05, PRDE,actvstrat=,0.215496, actvprof=,0.576135, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.551856, id=,S00, PRDE,actvstrat=,-0.052584, actvprof=,2.475659, id=,S01, PRDE,actvstrat=,-0.518907, actvprof=,0.914205, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.490895, id=,S08, PRDE,actvstrat=,0.618762, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.551856, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,2.475659, best_S_strat=,-0.052584, 
t=,64800, id=,B01, PRDE,actvstrat=,-0.855394, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.001389, id=,B04, PRDE,actvstrat=,-0.533396, actvprof=,0.008472, id=,B05, PRDE,actvstrat=,0.215496, actvprof=,0.622096, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.598985, id=,S00, PRDE,actvstrat=,-0.052584, actvprof=,2.540470, id=,S01, PRDE,actvstrat=,-0.518907, actvprof=,0.889463, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.409335, id=,S08, PRDE,actvstrat=,0.618762, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.598985, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,2.540470, best_S_strat=,-0.052584, 
t=,68400, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.312393, actvprof=,0.000833, id=,B04, PRDE,actvstrat=,-0.533396, actvprof=,0.020001, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.375373, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.663657, id=,S00, PRDE,actvstrat=,-0.409255, actvprof=,1.395375, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.301965, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.439822, id=,S08, PRDE,actvstrat=,-0.390881, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.663657, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.301965, best_S_strat=,-1.000000, 
t=,72000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.312393, actvprof=,0.001667, id=,B04, PRDE,actvstrat=,-0.533396, actvprof=,0.020278, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.326148, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.643323, id=,S00, PRDE,actvstrat=,-0.409255, actvprof=,1.486847, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.339287, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.502681, id=,S08, PRDE,actvstrat=,-0.390881, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.643323, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.339287, best_S_strat=,-1.000000, 
