t=,39600, id=,B01, PRDE,actvstrat=,-0.021541, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,0.269816, actvprof=,0.014445, id=,B04, PRDE,actvstrat=,-0.085191, actvprof=,0.227787, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,5.766074, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,3.871550, id=,S05, PRDE,actvstrat=,-0.289772, actvprof=,0.000833, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.007500, id=,S07, PRDE,actvstrat=,-0.705011, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,5.766074, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,3.871550, best_S_strat=,1.000000, 
t=,43200, id=,B01, PRDE,actvstrat=,-0.021541, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000139, id=,B03, PRDE,actvstrat=,0.269816, actvprof=,0.025834, id=,B04, PRDE,actvstrat=,-0.085191, actvprof=,0.288196, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,6.013236, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,3.655720, id=,S05, PRDE,actvstrat=,-0.289772, actvprof=,0.000417, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.005694, id=,S07, PRDE,actvstrat=,-0.705011, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,6.013236, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,3.655720, best_S_strat=,1.000000, 
t=,46800, id=,B01, PRDE,actvstrat=,-0.021541, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.129718, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.166610, actvprof=,0.137782, id=,B07, PRDE,actvstrat=,0.879286, actvprof=,4.756521, id=,S01, PRDE,actvstrat=,0.023211, actvprof=,1.922276, id=,S05, PRDE,actvstrat=,0.400964, actvprof=,0.019445, id=,S06, PRDE,actvstrat=,0.534557, actvprof=,0.001944, id=,S07, PRDE,actvstrat=,0.453920, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.847555, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.756521, best_B_strat=,0.879286, best_S_id=,S01, best_S_prof=,1.922276, best_S_strat=,0.023211, 
t=,50400, id=,B01, PRDE,actvstrat=,-0.021541, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.129718, actvprof=,0.000139, id=,B04, PRDE,actvstrat=,0.166610, actvprof=,0.106669, id=,B07, PRDE,actvstrat=,0.879286, actvprof=,4.504122, id=,S01, PRDE,actvstrat=,0.023211, actvprof=,2.063932, id=,S05, PRDE,actvstrat=,0.400964, actvprof=,0.024445, id=,S06, PRDE,actvstrat=,0.534557, actvprof=,0.003889, id=,S07, PRDE,actvstrat=,0.453920, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.847555, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.504122, best_B_strat=,0.879286, best_S_id=,S01, best_S_prof=,2.063932, best_S_strat=,0.023211, 
t=,54000, id=,B01, PRDE,actvstrat=,-0.021541, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.445674, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.001667, id=,B04, PRDE,actvstrat=,-0.387352, actvprof=,0.035279, id=,B07, PRDE,actvstrat=,0.607611, actvprof=,4.806867, id=,S01, PRDE,actvstrat=,0.203589, actvprof=,1.712571, id=,S05, PRDE,actvstrat=,-0.796908, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.003333, id=,S07, PRDE,actvstrat=,0.685706, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.806867, best_B_strat=,0.607611, best_S_id=,S01, best_S_prof=,1.712571, best_S_strat=,0.203589, 
t=,57600, id=,B01, PRDE,actvstrat=,-0.021541, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.445674, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.001111, id=,B04, PRDE,actvstrat=,-0.387352, actvprof=,0.050140, id=,B07, PRDE,actvstrat=,0.607611, actvprof=,4.982604, id=,S01, PRDE,actvstrat=,0.203589, actvprof=,1.687396, id=,S05, PRDE,actvstrat=,-0.796908, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.001667, id=,S07, PRDE,actvstrat=,0.685706, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.982604, best_B_strat=,0.607611, best_S_id=,S01, best_S_prof=,1.687396, best_S_strat=,0.203589, 
t=,61200, id=,B01, PRDE,actvstrat=,-0.491671, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.344574, actvprof=,0.002500, id=,B03, PRDE,actvstrat=,0.269816, actvprof=,0.001389, id=,B04, PRDE,actvstrat=,-0.997848, actvprof=,0.090836, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.047335, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.569877, id=,S05, PRDE,actvstrat=,-0.143523, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.558609, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.255107, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.047335, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,5.569877, best_S_strat=,1.000000, 
t=,64800, id=,B01, PRDE,actvstrat=,-0.491671, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.344574, actvprof=,0.001944, id=,B03, PRDE,actvstrat=,0.269816, actvprof=,0.002500, id=,B04, PRDE,actvstrat=,-0.997848, actvprof=,0.071251, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.892998, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.686507, id=,S05, PRDE,actvstrat=,-0.143523, actvprof=,0.002500, id=,S06, PRDE,actvstrat=,-0.558609, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.255107, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.892998, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,5.686507, best_S_strat=,1.000000, 
t=,68400, id=,B01, PRDE,actvstrat=,-0.585697, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.613488, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.013889, id=,B04, PRDE,actvstrat=,-0.896098, actvprof=,0.010556, id=,B07, PRDE,actvstrat=,0.215221, actvprof=,4.742420, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,3.747656, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.441468, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.193969, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.742420, best_B_strat=,0.215221, best_S_id=,S01, best_S_prof=,3.747656, best_S_strat=,1.000000, 
t=,72000, id=,B01, PRDE,actvstrat=,-0.585697, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.613488, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.017084, id=,B04, PRDE,actvstrat=,-0.896098, actvprof=,0.016667, id=,B07, PRDE,actvstrat=,0.215221, actvprof=,4.883852, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,3.694105, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.000417, id=,S06, PRDE,actvstrat=,0.441468, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.193969, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.883852, best_B_strat=,0.215221, best_S_id=,S01, best_S_prof=,3.694105, best_S_strat=,1.000000, 
