t=,39600, id=,B00, PRDE,actvstrat=,0.271691, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.730813, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.143522, actvprof=,0.002222, id=,B06, PRDE,actvstrat=,0.079806, actvprof=,2.770949, id=,B08, PRDE,actvstrat=,-0.492440, actvprof=,5.074378, id=,S00, PRDE,actvstrat=,0.570223, actvprof=,3.551815, id=,S05, PRDE,actvstrat=,0.262078, actvprof=,0.000833, id=,S07, PRDE,actvstrat=,0.642385, actvprof=,0.000278, id=,S08, PRDE,actvstrat=,0.102736, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.902392, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.074378, best_B_strat=,-0.492440, best_S_id=,S00, best_S_prof=,3.551815, best_S_strat=,0.570223, 
t=,43200, id=,B00, PRDE,actvstrat=,0.271691, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.730813, actvprof=,0.001111, id=,B03, PRDE,actvstrat=,-0.143522, actvprof=,0.005417, id=,B06, PRDE,actvstrat=,0.079806, actvprof=,2.976708, id=,B08, PRDE,actvstrat=,-0.492440, actvprof=,5.276462, id=,S00, PRDE,actvstrat=,0.570223, actvprof=,3.398519, id=,S05, PRDE,actvstrat=,0.262078, actvprof=,0.000417, id=,S07, PRDE,actvstrat=,0.642385, actvprof=,0.000139, id=,S08, PRDE,actvstrat=,0.102736, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.902392, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.276462, best_B_strat=,-0.492440, best_S_id=,S00, best_S_prof=,3.398519, best_S_strat=,0.570223, 
t=,46800, id=,B00, PRDE,actvstrat=,0.271691, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.730813, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.022020, actvprof=,0.025279, id=,B06, PRDE,actvstrat=,-0.097540, actvprof=,2.837340, id=,B08, PRDE,actvstrat=,-0.492440, actvprof=,5.967471, id=,S00, PRDE,actvstrat=,0.971081, actvprof=,4.818812, id=,S05, PRDE,actvstrat=,-0.299029, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.513044, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.133123, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.902392, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.967471, best_B_strat=,-0.492440, best_S_id=,S00, best_S_prof=,4.818812, best_S_strat=,0.971081, 
t=,50400, id=,B00, PRDE,actvstrat=,0.271691, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.730813, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.022020, actvprof=,0.021667, id=,B06, PRDE,actvstrat=,-0.097540, actvprof=,2.713232, id=,B08, PRDE,actvstrat=,-0.492440, actvprof=,5.716607, id=,S00, PRDE,actvstrat=,0.971081, actvprof=,4.926874, id=,S05, PRDE,actvstrat=,-0.299029, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.513044, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.133123, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.902392, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.716607, best_B_strat=,-0.492440, best_S_id=,S00, best_S_prof=,4.926874, best_S_strat=,0.971081, 
t=,54000, id=,B00, PRDE,actvstrat=,0.271691, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.776266, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.365024, actvprof=,0.008889, id=,B06, PRDE,actvstrat=,0.167835, actvprof=,3.038738, id=,B08, PRDE,actvstrat=,-0.246051, actvprof=,5.416892, id=,S00, PRDE,actvstrat=,0.570223, actvprof=,3.479034, id=,S05, PRDE,actvstrat=,0.112404, actvprof=,0.000833, id=,S07, PRDE,actvstrat=,0.642385, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.102736, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.902392, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.416892, best_B_strat=,-0.246051, best_S_id=,S00, best_S_prof=,3.479034, best_S_strat=,0.570223, 
t=,57600, id=,B00, PRDE,actvstrat=,0.271691, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.776266, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.365024, actvprof=,0.007222, id=,B06, PRDE,actvstrat=,0.167835, actvprof=,2.886568, id=,B08, PRDE,actvstrat=,-0.246051, actvprof=,5.225906, id=,S00, PRDE,actvstrat=,0.570223, actvprof=,3.627550, id=,S05, PRDE,actvstrat=,0.112404, actvprof=,0.000417, id=,S07, PRDE,actvstrat=,0.642385, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.102736, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.902392, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.225906, best_B_strat=,-0.246051, best_S_id=,S00, best_S_prof=,3.627550, best_S_strat=,0.570223, 
t=,61200, id=,B00, PRDE,actvstrat=,0.271691, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.776266, actvprof=,0.002778, id=,B03, PRDE,actvstrat=,-0.143522, actvprof=,0.001667, id=,B06, PRDE,actvstrat=,0.167835, actvprof=,2.775671, id=,B08, PRDE,actvstrat=,-0.103099, actvprof=,5.421615, id=,S00, PRDE,actvstrat=,0.213344, actvprof=,2.782616, id=,S05, PRDE,actvstrat=,0.262078, actvprof=,0.005000, id=,S07, PRDE,actvstrat=,0.642385, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.102736, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.980224, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.421615, best_B_strat=,-0.103099, best_S_id=,S00, best_S_prof=,2.782616, best_S_strat=,0.213344, 
t=,64800, id=,B00, PRDE,actvstrat=,0.271691, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.776266, actvprof=,0.001389, id=,B03, PRDE,actvstrat=,-0.143522, actvprof=,0.001944, id=,B06, PRDE,actvstrat=,0.167835, actvprof=,2.953673, id=,B08, PRDE,actvstrat=,-0.103099, actvprof=,5.553588, id=,S00, PRDE,actvstrat=,0.213344, actvprof=,2.665056, id=,S05, PRDE,actvstrat=,0.262078, actvprof=,0.003056, id=,S07, PRDE,actvstrat=,0.642385, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.102736, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.980224, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.553588, best_B_strat=,-0.103099, best_S_id=,S00, best_S_prof=,2.665056, best_S_strat=,0.213344, 
t=,68400, id=,B00, PRDE,actvstrat=,0.711383, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.776266, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.143522, actvprof=,0.005556, id=,B06, PRDE,actvstrat=,0.079806, actvprof=,2.835713, id=,B08, PRDE,actvstrat=,-0.246051, actvprof=,5.552808, id=,S00, PRDE,actvstrat=,0.570223, actvprof=,3.442691, id=,S05, PRDE,actvstrat=,0.793848, actvprof=,0.004445, id=,S07, PRDE,actvstrat=,0.294682, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.102736, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.565729, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.552808, best_B_strat=,-0.246051, best_S_id=,S00, best_S_prof=,3.442691, best_S_strat=,0.570223, 
t=,72000, id=,B00, PRDE,actvstrat=,0.711383, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.776266, actvprof=,0.001111, id=,B03, PRDE,actvstrat=,-0.143522, actvprof=,0.004583, id=,B06, PRDE,actvstrat=,0.079806, actvprof=,2.883691, id=,B08, PRDE,actvstrat=,-0.246051, actvprof=,5.551126, id=,S00, PRDE,actvstrat=,0.570223, actvprof=,3.365371, id=,S05, PRDE,actvstrat=,0.793848, actvprof=,0.004861, id=,S07, PRDE,actvstrat=,0.294682, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.102736, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.565729, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.551126, best_B_strat=,-0.246051, best_S_id=,S00, best_S_prof=,3.365371, best_S_strat=,0.570223, 
