t=,64800, id=,B01, PRDE,actvstrat=,-0.132607, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.154672, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.990568, actvprof=,0.021389, id=,B06, PRDE,actvstrat=,-0.231779, actvprof=,1.423790, id=,B07, PRDE,actvstrat=,0.222551, actvprof=,3.901358, id=,S00, PRDE,actvstrat=,0.032945, actvprof=,2.553543, id=,S01, PRDE,actvstrat=,0.957283, actvprof=,4.303731, id=,S05, PRDE,actvstrat=,0.592619, actvprof=,0.003472, id=,S06, PRDE,actvstrat=,0.254388, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.130332, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.901358, best_B_strat=,0.222551, best_S_id=,S01, best_S_prof=,4.303731, best_S_strat=,0.957283, 
t=,68400, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.373896, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.717870, actvprof=,2.139008, id=,B07, PRDE,actvstrat=,0.505403, actvprof=,3.391300, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.915940, id=,S01, PRDE,actvstrat=,-0.357902, actvprof=,0.875604, id=,S05, PRDE,actvstrat=,0.593603, actvprof=,0.011390, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.011390, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.391300, best_B_strat=,0.505403, best_S_id=,S00, best_S_prof=,6.915940, best_S_strat=,1.000000, 
t=,72000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.373896, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.717870, actvprof=,2.166310, id=,B07, PRDE,actvstrat=,0.505403, actvprof=,3.402317, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.858663, id=,S01, PRDE,actvstrat=,-0.357902, actvprof=,0.902525, id=,S05, PRDE,actvstrat=,0.593603, actvprof=,0.014167, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.010139, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.402317, best_B_strat=,0.505403, best_S_id=,S00, best_S_prof=,6.858663, best_S_strat=,1.000000, 
t=,75600, id=,B01, PRDE,actvstrat=,-0.176755, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.737855, actvprof=,0.002222, id=,B03, PRDE,actvstrat=,-0.711740, actvprof=,0.009723, id=,B06, PRDE,actvstrat=,0.376600, actvprof=,2.615979, id=,B07, PRDE,actvstrat=,-0.342315, actvprof=,2.701817, id=,S00, PRDE,actvstrat=,0.661662, actvprof=,4.525251, id=,S01, PRDE,actvstrat=,0.957283, actvprof=,4.169121, id=,S05, PRDE,actvstrat=,-0.558362, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.365506, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.457362, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.701817, best_B_strat=,-0.342315, best_S_id=,S00, best_S_prof=,4.525251, best_S_strat=,0.661662, 
t=,79200, id=,B01, PRDE,actvstrat=,-0.176755, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.737855, actvprof=,0.002500, id=,B03, PRDE,actvstrat=,-0.711740, actvprof=,0.005972, id=,B06, PRDE,actvstrat=,0.376600, actvprof=,2.736882, id=,B07, PRDE,actvstrat=,-0.342315, actvprof=,2.818967, id=,S00, PRDE,actvstrat=,0.661662, actvprof=,4.260535, id=,S01, PRDE,actvstrat=,0.957283, actvprof=,4.096086, id=,S05, PRDE,actvstrat=,-0.558362, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.365506, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.457362, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.818967, best_B_strat=,-0.342315, best_S_id=,S00, best_S_prof=,4.260535, best_S_strat=,0.661662, 
t=,82800, id=,B01, PRDE,actvstrat=,-0.260417, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.001667, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.011667, id=,B06, PRDE,actvstrat=,-0.435119, actvprof=,1.333704, id=,B07, PRDE,actvstrat=,0.748916, actvprof=,4.781443, id=,S00, PRDE,actvstrat=,0.764295, actvprof=,4.813945, id=,S01, PRDE,actvstrat=,0.968237, actvprof=,4.417251, id=,S05, PRDE,actvstrat=,0.662859, actvprof=,0.012501, id=,S06, PRDE,actvstrat=,-0.725273, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.781443, best_B_strat=,0.748916, best_S_id=,S00, best_S_prof=,4.813945, best_S_strat=,0.764295, 
t=,86400, id=,B01, PRDE,actvstrat=,-0.260417, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000833, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.006945, id=,B06, PRDE,actvstrat=,-0.435119, actvprof=,1.283795, id=,B07, PRDE,actvstrat=,0.748916, actvprof=,4.813084, id=,S00, PRDE,actvstrat=,0.764295, actvprof=,4.922532, id=,S01, PRDE,actvstrat=,0.968237, actvprof=,4.387930, id=,S05, PRDE,actvstrat=,0.662859, actvprof=,0.009306, id=,S06, PRDE,actvstrat=,-0.725273, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.813084, best_B_strat=,0.748916, best_S_id=,S00, best_S_prof=,4.922532, best_S_strat=,0.764295, 
t=,90000, id=,B01, PRDE,actvstrat=,0.334356, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.668391, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.990568, actvprof=,0.000278, id=,B06, PRDE,actvstrat=,-0.175347, actvprof=,1.278422, id=,B07, PRDE,actvstrat=,-0.226777, actvprof=,2.318217, id=,S00, PRDE,actvstrat=,-0.315394, actvprof=,1.134523, id=,S01, PRDE,actvstrat=,-0.397965, actvprof=,0.555872, id=,S05, PRDE,actvstrat=,0.883335, actvprof=,0.003056, id=,S06, PRDE,actvstrat=,-0.310029, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.561798, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.318217, best_B_strat=,-0.226777, best_S_id=,S00, best_S_prof=,1.134523, best_S_strat=,-0.315394, 
t=,93600, id=,B01, PRDE,actvstrat=,0.334356, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.668391, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.990568, actvprof=,0.000139, id=,B06, PRDE,actvstrat=,-0.175347, actvprof=,1.196986, id=,B07, PRDE,actvstrat=,-0.226777, actvprof=,2.205632, id=,S00, PRDE,actvstrat=,-0.315394, actvprof=,1.255460, id=,S01, PRDE,actvstrat=,-0.397965, actvprof=,0.569464, id=,S05, PRDE,actvstrat=,0.883335, actvprof=,0.004722, id=,S06, PRDE,actvstrat=,-0.310029, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.561798, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.205632, best_B_strat=,-0.226777, best_S_id=,S00, best_S_prof=,1.255460, best_S_strat=,-0.315394, 
t=,97200, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.125800, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.280148, actvprof=,0.005278, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.112369, id=,B07, PRDE,actvstrat=,0.066599, actvprof=,2.311272, id=,S00, PRDE,actvstrat=,0.314261, actvprof=,4.370581, id=,S01, PRDE,actvstrat=,0.591383, actvprof=,3.841656, id=,S05, PRDE,actvstrat=,-0.703108, actvprof=,0.003334, id=,S06, PRDE,actvstrat=,0.195674, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.826669, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.311272, best_B_strat=,0.066599, best_S_id=,S00, best_S_prof=,4.370581, best_S_strat=,0.314261, 
t=,100800, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.125800, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.280148, actvprof=,0.003889, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.024515, id=,B07, PRDE,actvstrat=,0.066599, actvprof=,2.234939, id=,S00, PRDE,actvstrat=,0.314261, actvprof=,4.347512, id=,S01, PRDE,actvstrat=,0.591383, actvprof=,4.060141, id=,S05, PRDE,actvstrat=,-0.703108, actvprof=,0.001667, id=,S06, PRDE,actvstrat=,0.195674, actvprof=,0.000694, id=,S09, PRDE,actvstrat=,-0.826669, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.234939, best_B_strat=,0.066599, best_S_id=,S00, best_S_prof=,4.347512, best_S_strat=,0.314261, 
t=,104400, id=,B01, PRDE,actvstrat=,-0.260417, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.881211, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.919762, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.989201, actvprof=,2.055114, id=,B07, PRDE,actvstrat=,-0.431403, actvprof=,1.369243, id=,S00, PRDE,actvstrat=,0.314261, actvprof=,4.213845, id=,S01, PRDE,actvstrat=,-0.678921, actvprof=,0.934219, id=,S05, PRDE,actvstrat=,0.593603, actvprof=,0.017501, id=,S06, PRDE,actvstrat=,0.057555, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.851189, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.055114, best_B_strat=,0.989201, best_S_id=,S00, best_S_prof=,4.213845, best_S_strat=,0.314261, 
t=,108000, id=,B01, PRDE,actvstrat=,-0.260417, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.881211, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.919762, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.989201, actvprof=,2.084100, id=,B07, PRDE,actvstrat=,-0.431403, actvprof=,1.514497, id=,S00, PRDE,actvstrat=,0.314261, actvprof=,4.261120, id=,S01, PRDE,actvstrat=,-0.678921, actvprof=,0.854057, id=,S05, PRDE,actvstrat=,0.593603, actvprof=,0.020834, id=,S06, PRDE,actvstrat=,0.057555, actvprof=,0.000278, id=,S09, PRDE,actvstrat=,-0.851189, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.084100, best_B_strat=,0.989201, best_S_id=,S00, best_S_prof=,4.261120, best_S_strat=,0.314261, 
t=,111600, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.508536, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.421835, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.121675, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.691298, id=,S01, PRDE,actvstrat=,-0.948837, actvprof=,0.429196, id=,S05, PRDE,actvstrat=,0.682433, actvprof=,0.019724, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.020279, id=,S09, PRDE,actvstrat=,-0.796260, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.121675, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.691298, best_S_strat=,1.000000, 
