t=,43200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.888196, actvprof=,0.194726, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.902047, id=,B09, PRDE,actvstrat=,0.071503, actvprof=,6.944034, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.813531, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.115141, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.039029, id=,S07, PRDE,actvstrat=,-0.728269, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.944034, best_B_strat=,0.071503, best_S_id=,S02, best_S_prof=,2.813531, best_S_strat=,1.000000, 
t=,46800, id=,B00, PRDE,actvstrat=,-0.337642, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.176943, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.008612, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.625479, id=,B09, PRDE,actvstrat=,0.071503, actvprof=,5.103617, id=,S02, PRDE,actvstrat=,0.829547, actvprof=,3.829657, id=,S04, PRDE,actvstrat=,-0.866488, actvprof=,0.013056, id=,S05, PRDE,actvstrat=,-0.086854, actvprof=,0.015834, id=,S07, PRDE,actvstrat=,-0.161191, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.150910, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.103617, best_B_strat=,0.071503, best_S_id=,S02, best_S_prof=,3.829657, best_S_strat=,0.829547, 
t=,50400, id=,B00, PRDE,actvstrat=,-0.337642, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.176943, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.007500, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.522459, id=,B09, PRDE,actvstrat=,0.071503, actvprof=,5.269174, id=,S02, PRDE,actvstrat=,0.829547, actvprof=,3.878858, id=,S04, PRDE,actvstrat=,-0.866488, actvprof=,0.017084, id=,S05, PRDE,actvstrat=,-0.086854, actvprof=,0.017084, id=,S07, PRDE,actvstrat=,-0.161191, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.150910, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.269174, best_B_strat=,0.071503, best_S_id=,S02, best_S_prof=,3.878858, best_S_strat=,0.829547, 
t=,54000, id=,B00, PRDE,actvstrat=,0.820867, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.213296, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.308612, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.355511, id=,B09, PRDE,actvstrat=,-0.288451, actvprof=,4.148344, id=,S02, PRDE,actvstrat=,-0.577425, actvprof=,0.723661, id=,S04, PRDE,actvstrat=,-0.827758, actvprof=,0.008612, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.059449, id=,S07, PRDE,actvstrat=,-0.452568, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.148344, best_B_strat=,-0.288451, best_S_id=,S02, best_S_prof=,0.723661, best_S_strat=,-0.577425, 
t=,57600, id=,B00, PRDE,actvstrat=,0.820867, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.213296, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.308612, actvprof=,0.000278, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.333032, id=,B09, PRDE,actvstrat=,-0.288451, actvprof=,4.151394, id=,S02, PRDE,actvstrat=,-0.577425, actvprof=,0.778777, id=,S04, PRDE,actvstrat=,-0.827758, actvprof=,0.007778, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.059030, id=,S07, PRDE,actvstrat=,-0.452568, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.151394, best_B_strat=,-0.288451, best_S_id=,S02, best_S_prof=,0.778777, best_S_strat=,-0.577425, 
t=,61200, id=,B00, PRDE,actvstrat=,0.982321, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.109973, actvprof=,0.125286, id=,B07, PRDE,actvstrat=,-0.656787, actvprof=,2.202097, id=,B09, PRDE,actvstrat=,0.224670, actvprof=,6.878255, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.780193, id=,S04, PRDE,actvstrat=,0.721246, actvprof=,0.090562, id=,S05, PRDE,actvstrat=,0.897441, actvprof=,0.054726, id=,S07, PRDE,actvstrat=,0.944165, actvprof=,0.005834, id=,S08, PRDE,actvstrat=,0.227451, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.878255, best_B_strat=,0.224670, best_S_id=,S02, best_S_prof=,2.780193, best_S_strat=,1.000000, 
t=,64800, id=,B00, PRDE,actvstrat=,0.982321, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.109973, actvprof=,0.127088, id=,B07, PRDE,actvstrat=,-0.656787, actvprof=,2.314247, id=,B09, PRDE,actvstrat=,0.224670, actvprof=,7.005243, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.741206, id=,S04, PRDE,actvstrat=,0.721246, actvprof=,0.100559, id=,S05, PRDE,actvstrat=,0.897441, actvprof=,0.051668, id=,S07, PRDE,actvstrat=,0.944165, actvprof=,0.003195, id=,S08, PRDE,actvstrat=,0.227451, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.005243, best_B_strat=,0.224670, best_S_id=,S02, best_S_prof=,2.741206, best_S_strat=,1.000000, 
t=,68400, id=,B00, PRDE,actvstrat=,0.788113, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.063614, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.357959, id=,B09, PRDE,actvstrat=,0.409768, actvprof=,7.180021, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.463755, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.336681, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.051669, id=,S07, PRDE,actvstrat=,0.126166, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.001111, best_B_id=,B09, best_B_prof=,7.180021, best_B_strat=,0.409768, best_S_id=,S02, best_S_prof=,3.463755, best_S_strat=,1.000000, 
t=,72000, id=,B00, PRDE,actvstrat=,0.788113, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.048474, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.380152, id=,B09, PRDE,actvstrat=,0.409768, actvprof=,7.173305, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.446370, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.316678, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.040557, id=,S07, PRDE,actvstrat=,0.126166, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000556, best_B_id=,B09, best_B_prof=,7.173305, best_B_strat=,0.409768, best_S_id=,S02, best_S_prof=,3.446370, best_S_strat=,1.000000, 
t=,75600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.888196, actvprof=,0.013334, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.021113, id=,B09, PRDE,actvstrat=,-0.165053, actvprof=,5.377873, id=,S02, PRDE,actvstrat=,-0.820373, actvprof=,0.196125, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.630322, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.034725, id=,S07, PRDE,actvstrat=,0.944165, actvprof=,0.000833, id=,S08, PRDE,actvstrat=,0.918478, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.377873, best_B_strat=,-0.165053, best_S_id=,S04, best_S_prof=,0.630322, best_S_strat=,-1.000000, 
