t=,39600, id=,B00, PRDE,actvstrat=,-0.369652, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.037886, actvprof=,0.000278, id=,B05, PRDE,actvstrat=,0.500025, actvprof=,1.088116, id=,B08, PRDE,actvstrat=,-0.933589, actvprof=,1.605089, id=,B09, PRDE,actvstrat=,-0.338726, actvprof=,5.875882, id=,S01, PRDE,actvstrat=,0.814326, actvprof=,3.789099, id=,S03, PRDE,actvstrat=,0.689398, actvprof=,0.514751, id=,S06, PRDE,actvstrat=,-0.558100, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.455388, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.236859, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.875882, best_B_strat=,-0.338726, best_S_id=,S01, best_S_prof=,3.789099, best_S_strat=,0.814326, 
t=,43200, id=,B00, PRDE,actvstrat=,-0.369652, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.037886, actvprof=,0.001111, id=,B05, PRDE,actvstrat=,0.500025, actvprof=,1.109197, id=,B08, PRDE,actvstrat=,-0.933589, actvprof=,1.614767, id=,B09, PRDE,actvstrat=,-0.338726, actvprof=,6.017250, id=,S01, PRDE,actvstrat=,0.814326, actvprof=,3.765382, id=,S03, PRDE,actvstrat=,0.689398, actvprof=,0.471680, id=,S06, PRDE,actvstrat=,-0.558100, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.455388, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.236859, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.017250, best_B_strat=,-0.338726, best_S_id=,S01, best_S_prof=,3.765382, best_S_strat=,0.814326, 
t=,46800, id=,B00, PRDE,actvstrat=,-0.369652, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.037886, actvprof=,0.001667, id=,B05, PRDE,actvstrat=,-0.192482, actvprof=,0.704761, id=,B08, PRDE,actvstrat=,-0.933589, actvprof=,1.770376, id=,B09, PRDE,actvstrat=,-0.338726, actvprof=,6.662037, id=,S01, PRDE,actvstrat=,0.814326, actvprof=,3.179343, id=,S03, PRDE,actvstrat=,0.689398, actvprof=,0.149175, id=,S06, PRDE,actvstrat=,-0.558100, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.367226, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.621550, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.662037, best_B_strat=,-0.338726, best_S_id=,S01, best_S_prof=,3.179343, best_S_strat=,0.814326, 
t=,50400, id=,B00, PRDE,actvstrat=,-0.369652, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.037886, actvprof=,0.001528, id=,B05, PRDE,actvstrat=,-0.192482, actvprof=,0.628073, id=,B08, PRDE,actvstrat=,-0.933589, actvprof=,1.790883, id=,B09, PRDE,actvstrat=,-0.338726, actvprof=,6.619073, id=,S01, PRDE,actvstrat=,0.814326, actvprof=,3.171616, id=,S03, PRDE,actvstrat=,0.689398, actvprof=,0.187227, id=,S06, PRDE,actvstrat=,-0.558100, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.367226, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.621550, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.619073, best_B_strat=,-0.338726, best_S_id=,S01, best_S_prof=,3.171616, best_S_strat=,0.814326, 
t=,54000, id=,B00, PRDE,actvstrat=,-0.369652, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.841738, actvprof=,0.003334, id=,B05, PRDE,actvstrat=,0.500025, actvprof=,0.728652, id=,B08, PRDE,actvstrat=,-0.451821, actvprof=,3.393800, id=,B09, PRDE,actvstrat=,0.318535, actvprof=,6.640647, id=,S01, PRDE,actvstrat=,0.814326, actvprof=,4.287738, id=,S03, PRDE,actvstrat=,0.689398, actvprof=,0.680038, id=,S06, PRDE,actvstrat=,-0.558100, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.455388, actvprof=,0.002778, id=,S08, PRDE,actvstrat=,0.236859, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.640647, best_B_strat=,0.318535, best_S_id=,S01, best_S_prof=,4.287738, best_S_strat=,0.814326, 
t=,57600, id=,B00, PRDE,actvstrat=,-0.369652, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.841738, actvprof=,0.008611, id=,B05, PRDE,actvstrat=,0.500025, actvprof=,0.768632, id=,B08, PRDE,actvstrat=,-0.451821, actvprof=,3.574960, id=,B09, PRDE,actvstrat=,0.318535, actvprof=,6.737548, id=,S01, PRDE,actvstrat=,0.814326, actvprof=,4.191644, id=,S03, PRDE,actvstrat=,0.689398, actvprof=,0.678908, id=,S06, PRDE,actvstrat=,-0.558100, actvprof=,0.003472, id=,S07, PRDE,actvstrat=,0.455388, actvprof=,0.004028, id=,S08, PRDE,actvstrat=,0.236859, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.737548, best_B_strat=,0.318535, best_S_id=,S01, best_S_prof=,4.191644, best_S_strat=,0.814326, 
t=,61200, id=,B00, PRDE,actvstrat=,-0.369652, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.037886, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.500025, actvprof=,0.648092, id=,B08, PRDE,actvstrat=,-0.441826, actvprof=,3.342686, id=,B09, PRDE,actvstrat=,0.318535, actvprof=,6.645925, id=,S01, PRDE,actvstrat=,0.814326, actvprof=,4.471915, id=,S03, PRDE,actvstrat=,0.270318, actvprof=,0.427802, id=,S06, PRDE,actvstrat=,-0.558100, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.455388, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.236859, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.645925, best_B_strat=,0.318535, best_S_id=,S01, best_S_prof=,4.471915, best_S_strat=,0.814326, 
t=,64800, id=,B00, PRDE,actvstrat=,-0.369652, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.037886, actvprof=,0.002222, id=,B05, PRDE,actvstrat=,0.500025, actvprof=,0.707381, id=,B08, PRDE,actvstrat=,-0.441826, actvprof=,3.407456, id=,B09, PRDE,actvstrat=,0.318535, actvprof=,6.815189, id=,S01, PRDE,actvstrat=,0.814326, actvprof=,4.292758, id=,S03, PRDE,actvstrat=,0.270318, actvprof=,0.416400, id=,S06, PRDE,actvstrat=,-0.558100, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.455388, actvprof=,0.007084, id=,S08, PRDE,actvstrat=,0.236859, actvprof=,0.000417, best_B_id=,B09, best_B_prof=,6.815189, best_B_strat=,0.318535, best_S_id=,S01, best_S_prof=,4.292758, best_S_strat=,0.814326, 
t=,68400, id=,B00, PRDE,actvstrat=,-0.369652, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.841738, actvprof=,0.006945, id=,B05, PRDE,actvstrat=,0.500025, actvprof=,0.583088, id=,B08, PRDE,actvstrat=,-0.451821, actvprof=,3.688816, id=,B09, PRDE,actvstrat=,-0.338726, actvprof=,5.422523, id=,S01, PRDE,actvstrat=,0.084259, actvprof=,2.026779, id=,S03, PRDE,actvstrat=,0.689398, actvprof=,0.795878, id=,S06, PRDE,actvstrat=,0.873326, actvprof=,0.009445, id=,S07, PRDE,actvstrat=,0.455388, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.570985, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.422523, best_B_strat=,-0.338726, best_S_id=,S01, best_S_prof=,2.026779, best_S_strat=,0.084259, 
t=,72000, id=,B00, PRDE,actvstrat=,-0.369652, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.841738, actvprof=,0.003472, id=,B05, PRDE,actvstrat=,0.500025, actvprof=,0.629045, id=,B08, PRDE,actvstrat=,-0.451821, actvprof=,3.516625, id=,B09, PRDE,actvstrat=,-0.338726, actvprof=,5.270980, id=,S01, PRDE,actvstrat=,0.084259, actvprof=,1.981444, id=,S03, PRDE,actvstrat=,0.689398, actvprof=,0.792244, id=,S06, PRDE,actvstrat=,0.873326, actvprof=,0.008056, id=,S07, PRDE,actvstrat=,0.455388, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.570985, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.270980, best_B_strat=,-0.338726, best_S_id=,S01, best_S_prof=,1.981444, best_S_strat=,0.084259, 
