B00, 0
B01, 3
B03, Trade, 4298308.643, 86, B03, S02, 1
B03, Trade, 4298422.693, 80, B03, S01, 1
B03, Trade, 4298425.593, 86, B03, S00, 1
B03, Trade, 4298454.693, 86, B03, S01, 1
B03, Trade, 4298678.993, 85, B03, S01, 1
B03, Trade, 4299028.593, 86, B03, S01, 1
B03, Trade, 4299136.543, 86, B03, S01, 1
B03, Trade, 4299158.143, 85, B03, S01, 1
B03, Trade, 4299173.893, 86, B03, S01, 1
B03, Trade, 4299231.593, 86, B03, S02, 1
B03, Trade, 4299265.143, 69, S01, B03, 1
B03, Trade, 4299443.343, 86, B03, S01, 1
B03, Trade, 4299511.193, 85, B03, S01, 1
B03, Trade, 4299571.143, 85, B03, S02, 1
B03, Trade, 4299611.593, 85, B03, S01, 1
B03, Trade, 4299777.293, 86, B03, S02, 1
B03, Trade, 4299944.293, 86, B03, S02, 1
B03, Trade, 4299986.743, 86, S02, B03, 1
B03, Trade, 4300378.893, 85, B03, S01, 1
B03, Trade, 4300591.943, 84, B03, S01, 1
B03, Trade, 4300616.243, 86, B03, S02, 1
B03, Trade, 4300630.793, 86, B03, S02, 1
B03, Trade, 4300739.993, 82, B03, S01, 1
B03, Trade, 4300967.643, 86, B03, S01, 1
B03, Trade, 4300991.843, 86, B03, S02, 1
B03, Trade, 4301051.343, 86, B03, S01, 1
B03, Trade, 4301063.693, 85, B03, S01, 1
B03, Trade, 4301092.443, 86, B03, S02, 1
B03, Trade, 4301103.793, 86, B03, S01, 1
B03, Trade, 4301385.843, 84, S02, B03, 1
B03, Trade, 4301766.093, 86, B03, S01, 1
B03, Trade, 4302151.943, 85, B03, S01, 1
B03, Trade, 4302161.643, 86, B03, S01, 1
B03, Trade, 4302682.543, 84, B03, S01, 1
B03, Trade, 4302973.093, 86, B03, S01, 1
B03, Trade, 4302980.643, 85, B03, S02, 1
B03, Trade, 4303298.943, 86, B03, S01, 1
B03, Trade, 4303341.893, 86, B03, S01, 1
B03, Trade, 4303652.293, 86, B03, S01, 1
B03, Trade, 4303781.143, 86, B03, S02, 1
B03, Trade, 4303843.643, 86, B03, S01, 1
B03, Trade, 4304183.393, 85, B03, S01, 1
B03, Trade, 4304277.743, 86, B03, S01, 1
B03, Trade, 4304288.193, 85, B03, S02, 1
B03, Trade, 4304474.143, 86, B03, S02, 1
B03, Trade, 4304534.493, 86, B03, S01, 1
B03, Trade, 4304637.143, 79, S00, B03, 1
B03, Trade, 4304701.043, 85, B03, S01, 1
B03, Trade, 4304738.693, 86, B03, S02, 1
B03, Trade, 4304922.143, 86, B03, S01, 1
B03, Trade, 4305063.593, 86, B03, S01, 1
B03, Trade, 4305100.343, 86, B03, S01, 1
B03, Trade, 4305184.643, 86, B03, S01, 1
B03, Trade, 4305437.093, 86, B03, S02, 1
B03, Trade, 4305695.243, 86, B03, S02, 1
B03, Trade, 4305913.093, 82, B03, S01, 1
B03, Trade, 4305962.493, 81, B03, S01, 1
B03, Trade, 4306422.593, 82, B03, S01, 1
B03, Trade, 4306998.193, 71, B03, S01, 1
B03, Trade, 4307044.643, 86, B03, S01, 1
B03, Trade, 4307085.643, 76, S00, B03, 1
B03, Trade, 4307210.293, 84, B03, S02, 1
B03, Trade, 4307549.643, 86, B03, S02, 1
B03, Trade, 4308111.743, 80, B03, S01, 1
B03, Trade, 4308607.343, 84, B03, S01, 1
B03, Trade, 4309230.043, 84, B03, S01, 1
B03, Trade, 4309269.743, 81, B03, S01, 1
B03, Trade, 4309451.443, 74, B03, S01, 1
B03, Trade, 4309526.343, 79, B03, S01, 1
B03, Trade, 4309742.393, 71, S01, B03, 1
B03, Trade, 4309836.543, 69, S01, B03, 1
B03, Trade, 4309983.743, 86, B03, S02, 1
B03, Trade, 4310441.043, 86, B03, S01, 1
B03, Trade, 4310508.743, 78, B03, S01, 1
B03, Trade, 4310856.293, 81, B03, S01, 1
B03, Trade, 4311026.043, 83, B03, S01, 1
B03, Trade, 4311518.493, 85, B03, S00, 1
B03, Trade, 4311716.993, 76, B03, S01, 1
B03, Trade, 4311960.993, 86, B03, S01, 1
B03, Trade, 4311988.543, 78, B03, S01, 1
B03, Trade, 4315652.493, 79, B03, S01, 1
B04, 100
B04, Trade, 4312544.843, 94, B04, S01, 1
B04, Trade, 4312552.593, 94, B04, S01, 1
B04, Trade, 4312573.043, 94, B04, S01, 1
B04, Trade, 4312646.393, 94, B04, S01, 1
B04, Trade, 4312687.143, 93, B04, S01, 1
B04, Trade, 4312707.343, 94, B04, S01, 1
B04, Trade, 4312720.393, 94, B04, S02, 1
B04, Trade, 4312876.993, 94, B04, S02, 1
B04, Trade, 4312891.943, 94, B04, S01, 1
B04, Trade, 4312930.943, 94, B04, S01, 1
B04, Trade, 4312992.843, 94, B04, S03, 1
B04, Trade, 4313038.643, 94, B04, S03, 1
B04, Trade, 4313054.993, 94, B04, S02, 1
B04, Trade, 4313059.343, 94, B04, S01, 1
B04, Trade, 4313087.743, 94, B04, S00, 1
B04, Trade, 4313096.043, 93, B04, S02, 1
B04, Trade, 4313193.143, 94, B04, S02, 1
B04, Trade, 4313325.193, 89, S02, B04, 1
B04, Trade, 4313397.793, 94, B04, S01, 1
B04, Trade, 4313418.443, 93, S00, B04, 1
B04, Trade, 4313470.943, 94, B04, S02, 1
B04, Trade, 4313548.393, 94, B04, S00, 1
B04, Trade, 4313556.493, 94, B04, S02, 1
B04, Trade, 4313642.993, 93, S03, B04, 1
B04, Trade, 4313703.743, 94, B04, S02, 1
B04, Trade, 4313776.743, 94, B04, S02, 1
B04, Trade, 4313809.443, 94, B04, S02, 1
B04, Trade, 4314015.243, 94, B04, S01, 1
B04, Trade, 4314019.443, 91, B04, S02, 1
B04, Trade, 4314068.143, 94, B04, S02, 1
B04, Trade, 4314093.643, 94, B04, S02, 1
B04, Trade, 4314236.243, 94, B04, S02, 1
B04, Trade, 4314464.193, 94, B04, S03, 1
