t=,61200, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.737665, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.413142, actvprof=,0.572246, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.932942, id=,B08, PRDE,actvstrat=,0.447433, actvprof=,4.850202, id=,S00, PRDE,actvstrat=,-0.227156, actvprof=,1.783130, id=,S04, PRDE,actvstrat=,-0.509062, actvprof=,0.001945, id=,S07, PRDE,actvstrat=,0.237721, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.011251, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.690839, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.850202, best_B_strat=,0.447433, best_S_id=,S00, best_S_prof=,1.783130, best_S_strat=,-0.227156, 
t=,64800, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.737665, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.413142, actvprof=,0.532646, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.920471, id=,B08, PRDE,actvstrat=,0.447433, actvprof=,4.884096, id=,S00, PRDE,actvstrat=,-0.227156, actvprof=,1.559883, id=,S04, PRDE,actvstrat=,-0.509062, actvprof=,0.003472, id=,S07, PRDE,actvstrat=,0.237721, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.011251, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.690839, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.884096, best_B_strat=,0.447433, best_S_id=,S00, best_S_prof=,1.559883, best_S_strat=,-0.227156, 
t=,68400, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.001944, id=,B03, PRDE,actvstrat=,0.477284, actvprof=,0.010834, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.280063, id=,B07, PRDE,actvstrat=,0.951853, actvprof=,3.932054, id=,B08, PRDE,actvstrat=,0.333487, actvprof=,4.826245, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.866024, id=,S04, PRDE,actvstrat=,0.841606, actvprof=,0.354732, id=,S07, PRDE,actvstrat=,0.898797, actvprof=,0.000833, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.836929, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.826245, best_B_strat=,0.333487, best_S_id=,S00, best_S_prof=,6.866024, best_S_strat=,1.000000, 
t=,72000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000972, id=,B03, PRDE,actvstrat=,0.477284, actvprof=,0.010556, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.213657, id=,B07, PRDE,actvstrat=,0.951853, actvprof=,3.894109, id=,B08, PRDE,actvstrat=,0.333487, actvprof=,4.699959, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.940006, id=,S04, PRDE,actvstrat=,0.841606, actvprof=,0.346952, id=,S07, PRDE,actvstrat=,0.898797, actvprof=,0.000417, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.836929, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.699959, best_B_strat=,0.333487, best_S_id=,S00, best_S_prof=,6.940006, best_S_strat=,1.000000, 
t=,75600, id=,B01, PRDE,actvstrat=,0.296182, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.348011, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.846635, actvprof=,1.819773, id=,B07, PRDE,actvstrat=,0.787986, actvprof=,3.452040, id=,B08, PRDE,actvstrat=,-0.380726, actvprof=,2.864524, id=,S00, PRDE,actvstrat=,-0.044051, actvprof=,2.793133, id=,S04, PRDE,actvstrat=,0.246441, actvprof=,0.171949, id=,S07, PRDE,actvstrat=,-0.807453, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.860803, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.080507, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.452040, best_B_strat=,0.787986, best_S_id=,S00, best_S_prof=,2.793133, best_S_strat=,-0.044051, 
t=,79200, id=,B01, PRDE,actvstrat=,0.296182, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.348011, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.846635, actvprof=,1.883234, id=,B07, PRDE,actvstrat=,0.787986, actvprof=,3.489100, id=,B08, PRDE,actvstrat=,-0.380726, actvprof=,2.790475, id=,S00, PRDE,actvstrat=,-0.044051, actvprof=,2.848948, id=,S04, PRDE,actvstrat=,0.246441, actvprof=,0.161114, id=,S07, PRDE,actvstrat=,-0.807453, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.860803, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.080507, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.489100, best_B_strat=,0.787986, best_S_id=,S00, best_S_prof=,2.848948, best_S_strat=,-0.044051, 
t=,82800, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.001389, id=,B03, PRDE,actvstrat=,-0.490192, actvprof=,0.000833, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.813689, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.330954, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.343510, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.250729, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.252785, id=,S07, PRDE,actvstrat=,0.796077, actvprof=,0.003056, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.343510, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.250729, best_S_strat=,1.000000, 
t=,86400, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000694, id=,B03, PRDE,actvstrat=,-0.490192, actvprof=,0.004167, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.834642, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.305367, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.229713, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.212907, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.256672, id=,S07, PRDE,actvstrat=,0.796077, actvprof=,0.001667, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.229713, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.212907, best_S_strat=,1.000000, 
t=,90000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.696349, actvprof=,0.014167, id=,B06, PRDE,actvstrat=,0.222765, actvprof=,1.350075, id=,B07, PRDE,actvstrat=,0.821751, actvprof=,3.886049, id=,B08, PRDE,actvstrat=,0.163001, actvprof=,4.264681, id=,S00, PRDE,actvstrat=,0.977024, actvprof=,6.793989, id=,S04, PRDE,actvstrat=,-0.231720, actvprof=,0.002778, id=,S07, PRDE,actvstrat=,-0.577691, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.266299, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.924401, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.264681, best_B_strat=,0.163001, best_S_id=,S00, best_S_prof=,6.793989, best_S_strat=,0.977024, 
t=,93600, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.696349, actvprof=,0.016250, id=,B06, PRDE,actvstrat=,0.222765, actvprof=,1.343232, id=,B07, PRDE,actvstrat=,0.821751, actvprof=,3.838857, id=,B08, PRDE,actvstrat=,0.163001, actvprof=,4.382483, id=,S00, PRDE,actvstrat=,0.977024, actvprof=,6.828662, id=,S04, PRDE,actvstrat=,-0.231720, actvprof=,0.003195, id=,S07, PRDE,actvstrat=,-0.577691, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.266299, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.924401, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.382483, best_B_strat=,0.163001, best_S_id=,S00, best_S_prof=,6.828662, best_S_strat=,0.977024, 
