t=,39600, id=,B02, PRDE,actvstrat=,-0.435152, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.803078, actvprof=,0.031112, id=,B05, PRDE,actvstrat=,-0.415966, actvprof=,0.212509, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.070447, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.851077, id=,S01, PRDE,actvstrat=,-0.557380, actvprof=,0.782533, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.514549, id=,S03, PRDE,actvstrat=,-0.691841, actvprof=,0.060280, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.237510, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.851077, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,2.514549, best_S_strat=,1.000000, 
t=,43200, id=,B02, PRDE,actvstrat=,-0.435152, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.803078, actvprof=,0.029306, id=,B05, PRDE,actvstrat=,-0.415966, actvprof=,0.204864, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.041445, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.779247, id=,S01, PRDE,actvstrat=,-0.557380, actvprof=,0.756261, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.503229, id=,S03, PRDE,actvstrat=,-0.691841, actvprof=,0.057779, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.271809, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.779247, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,2.503229, best_S_strat=,1.000000, 
t=,46800, id=,B02, PRDE,actvstrat=,0.319552, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.472909, actvprof=,0.001389, id=,B05, PRDE,actvstrat=,-0.952079, actvprof=,0.019446, id=,B07, PRDE,actvstrat=,-0.122702, actvprof=,0.909217, id=,B08, PRDE,actvstrat=,0.870576, actvprof=,4.429413, id=,S01, PRDE,actvstrat=,-0.820046, actvprof=,0.679482, id=,S02, PRDE,actvstrat=,-0.643063, actvprof=,0.800600, id=,S03, PRDE,actvstrat=,-0.074249, actvprof=,0.613090, id=,S04, PRDE,actvstrat=,0.089384, actvprof=,0.283905, id=,S08, PRDE,actvstrat=,0.862755, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.429413, best_B_strat=,0.870576, best_S_id=,S02, best_S_prof=,0.800600, best_S_strat=,-0.643063, 
t=,50400, id=,B02, PRDE,actvstrat=,0.319552, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.472909, actvprof=,0.001389, id=,B05, PRDE,actvstrat=,-0.952079, actvprof=,0.022501, id=,B07, PRDE,actvstrat=,-0.122702, actvprof=,0.925303, id=,B08, PRDE,actvstrat=,0.870576, actvprof=,4.422206, id=,S01, PRDE,actvstrat=,-0.820046, actvprof=,0.730437, id=,S02, PRDE,actvstrat=,-0.643063, actvprof=,0.817384, id=,S03, PRDE,actvstrat=,-0.074249, actvprof=,0.581405, id=,S04, PRDE,actvstrat=,0.089384, actvprof=,0.263757, id=,S08, PRDE,actvstrat=,0.862755, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.422206, best_B_strat=,0.870576, best_S_id=,S02, best_S_prof=,0.817384, best_S_strat=,-0.643063, 
t=,54000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.009167, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.034446, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.495972, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.189399, id=,S01, PRDE,actvstrat=,0.491305, actvprof=,5.106395, id=,S02, PRDE,actvstrat=,0.187981, actvprof=,2.764876, id=,S03, PRDE,actvstrat=,-0.987238, actvprof=,0.459748, id=,S04, PRDE,actvstrat=,0.629889, actvprof=,0.972832, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.189399, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,5.106395, best_S_strat=,0.491305, 
t=,57600, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.005833, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.040279, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.479236, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.187616, id=,S01, PRDE,actvstrat=,0.491305, actvprof=,5.160004, id=,S02, PRDE,actvstrat=,0.187981, actvprof=,2.709520, id=,S03, PRDE,actvstrat=,-0.987238, actvprof=,0.484875, id=,S04, PRDE,actvstrat=,0.629889, actvprof=,0.975027, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.187616, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,5.160004, best_S_strat=,0.491305, 
t=,61200, id=,B02, PRDE,actvstrat=,-0.307084, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.287260, actvprof=,0.041669, id=,B05, PRDE,actvstrat=,-0.615934, actvprof=,0.331130, id=,B07, PRDE,actvstrat=,0.561575, actvprof=,3.908828, id=,B08, PRDE,actvstrat=,0.217266, actvprof=,4.850547, id=,S01, PRDE,actvstrat=,0.491305, actvprof=,2.654036, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.505973, id=,S03, PRDE,actvstrat=,0.396060, actvprof=,0.346130, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.457525, id=,S08, PRDE,actvstrat=,0.428994, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.850547, best_B_strat=,0.217266, best_S_id=,S01, best_S_prof=,2.654036, best_S_strat=,0.491305, 
t=,64800, id=,B02, PRDE,actvstrat=,-0.307084, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.287260, actvprof=,0.046390, id=,B05, PRDE,actvstrat=,-0.615934, actvprof=,0.335426, id=,B07, PRDE,actvstrat=,0.561575, actvprof=,3.948026, id=,B08, PRDE,actvstrat=,0.217266, actvprof=,4.951526, id=,S01, PRDE,actvstrat=,0.491305, actvprof=,2.671741, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.466457, id=,S03, PRDE,actvstrat=,0.396060, actvprof=,0.357232, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.480569, id=,S08, PRDE,actvstrat=,0.428994, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.951526, best_B_strat=,0.217266, best_S_id=,S01, best_S_prof=,2.671741, best_S_strat=,0.491305, 
t=,68400, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.004167, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.309184, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.913940, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.139119, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.726707, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.764709, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.145730, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.617868, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.413079, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.726707, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.764709, best_S_strat=,1.000000, 
t=,72000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.006389, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.314175, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.836968, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.128170, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.668213, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.881663, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.205783, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.639629, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.446957, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.668213, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.881663, best_S_strat=,1.000000, 
