t=,39600, id=,B00, PRDE,actvstrat=,0.083945, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.567837, actvprof=,0.349737, id=,B05, PRDE,actvstrat=,-0.914559, actvprof=,0.056669, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.814048, id=,B07, PRDE,actvstrat=,0.024581, actvprof=,3.977388, id=,S04, PRDE,actvstrat=,0.937796, actvprof=,0.156118, id=,S05, PRDE,actvstrat=,-0.560666, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.878022, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.977388, best_B_strat=,0.024581, best_S_id=,S04, best_S_prof=,0.156118, best_S_strat=,0.937796, 
t=,43200, id=,B00, PRDE,actvstrat=,0.083945, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.567837, actvprof=,0.329174, id=,B05, PRDE,actvstrat=,-0.914559, actvprof=,0.045001, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.795496, id=,B07, PRDE,actvstrat=,0.024581, actvprof=,3.953832, id=,S04, PRDE,actvstrat=,0.937796, actvprof=,0.147642, id=,S05, PRDE,actvstrat=,-0.560666, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.878022, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.953832, best_B_strat=,0.024581, best_S_id=,S04, best_S_prof=,0.147642, best_S_strat=,0.937796, 
t=,46800, id=,B00, PRDE,actvstrat=,0.217441, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.161388, actvprof=,0.007500, id=,B05, PRDE,actvstrat=,0.885587, actvprof=,0.871425, id=,B06, PRDE,actvstrat=,0.666613, actvprof=,2.032307, id=,B07, PRDE,actvstrat=,-0.301361, actvprof=,1.716738, id=,S04, PRDE,actvstrat=,0.504234, actvprof=,0.164729, id=,S05, PRDE,actvstrat=,-0.007843, actvprof=,0.001667, id=,S07, PRDE,actvstrat=,0.970570, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.350709, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.776287, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.032307, best_B_strat=,0.666613, best_S_id=,S04, best_S_prof=,0.164729, best_S_strat=,0.504234, 
t=,50400, id=,B00, PRDE,actvstrat=,0.217441, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.161388, actvprof=,0.007083, id=,B05, PRDE,actvstrat=,0.885587, actvprof=,0.983486, id=,B06, PRDE,actvstrat=,0.666613, actvprof=,2.146558, id=,B07, PRDE,actvstrat=,-0.301361, actvprof=,1.817803, id=,S04, PRDE,actvstrat=,0.504234, actvprof=,0.159586, id=,S05, PRDE,actvstrat=,-0.007843, actvprof=,0.004583, id=,S07, PRDE,actvstrat=,0.970570, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.350709, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.776287, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.146558, best_B_strat=,0.666613, best_S_id=,S04, best_S_prof=,0.159586, best_S_strat=,0.504234, 
t=,54000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.455034, actvprof=,0.102782, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.360057, id=,B06, PRDE,actvstrat=,-0.081083, actvprof=,1.327833, id=,B07, PRDE,actvstrat=,-0.679543, actvprof=,2.120088, id=,S04, PRDE,actvstrat=,-0.231077, actvprof=,0.001945, id=,S05, PRDE,actvstrat=,0.753247, actvprof=,0.002222, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.969735, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.239241, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.120088, best_B_strat=,-0.679543, best_S_id=,S05, best_S_prof=,0.002222, best_S_strat=,0.753247, 
t=,57600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.455034, actvprof=,0.112225, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.363362, id=,B06, PRDE,actvstrat=,-0.081083, actvprof=,1.453780, id=,B07, PRDE,actvstrat=,-0.679543, actvprof=,2.197129, id=,S04, PRDE,actvstrat=,-0.231077, actvprof=,0.003472, id=,S05, PRDE,actvstrat=,0.753247, actvprof=,0.004306, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.969735, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.239241, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.197129, best_B_strat=,-0.679543, best_S_id=,S05, best_S_prof=,0.004306, best_S_strat=,0.753247, 
t=,61200, id=,B00, PRDE,actvstrat=,0.112434, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.045572, actvprof=,0.060835, id=,B05, PRDE,actvstrat=,0.413677, actvprof=,1.072252, id=,B06, PRDE,actvstrat=,0.074353, actvprof=,2.050613, id=,B07, PRDE,actvstrat=,0.506530, actvprof=,4.320120, id=,S04, PRDE,actvstrat=,-0.993822, actvprof=,0.072502, id=,S05, PRDE,actvstrat=,0.806707, actvprof=,0.015278, id=,S07, PRDE,actvstrat=,0.974536, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.051102, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.766266, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.320120, best_B_strat=,0.506530, best_S_id=,S04, best_S_prof=,0.072502, best_S_strat=,-0.993822, 
t=,64800, id=,B00, PRDE,actvstrat=,0.112434, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.045572, actvprof=,0.069723, id=,B05, PRDE,actvstrat=,0.413677, actvprof=,1.094182, id=,B06, PRDE,actvstrat=,0.074353, actvprof=,2.086835, id=,B07, PRDE,actvstrat=,0.506530, actvprof=,4.416172, id=,S04, PRDE,actvstrat=,-0.993822, actvprof=,0.073890, id=,S05, PRDE,actvstrat=,0.806707, actvprof=,0.009722, id=,S07, PRDE,actvstrat=,0.974536, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.051102, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.766266, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.416172, best_B_strat=,0.506530, best_S_id=,S04, best_S_prof=,0.073890, best_S_strat=,-0.993822, 
t=,68400, id=,B00, PRDE,actvstrat=,-0.570098, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.369846, actvprof=,0.013334, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.686417, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.195925, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.325416, id=,S04, PRDE,actvstrat=,0.247775, actvprof=,0.171118, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.113894, id=,S07, PRDE,actvstrat=,0.776243, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.287817, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.325416, best_B_strat=,-1.000000, best_S_id=,S04, best_S_prof=,0.171118, best_S_strat=,0.247775, 
t=,72000, id=,B00, PRDE,actvstrat=,-0.570098, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.369846, actvprof=,0.010417, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.650842, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.085723, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.180739, id=,S04, PRDE,actvstrat=,0.247775, actvprof=,0.175141, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.118613, id=,S07, PRDE,actvstrat=,0.776243, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.287817, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.180739, best_B_strat=,-1.000000, best_S_id=,S04, best_S_prof=,0.175141, best_S_strat=,0.247775, 
