t=,43200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.882415, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.043473, id=,B07, PRDE,actvstrat=,-0.231878, actvprof=,0.937658, id=,S00, PRDE,actvstrat=,0.002270, actvprof=,4.423703, id=,S02, PRDE,actvstrat=,0.343012, actvprof=,2.673667, id=,S04, PRDE,actvstrat=,-0.054633, actvprof=,0.127780, id=,S05, PRDE,actvstrat=,0.739013, actvprof=,0.032640, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,0.937658, best_B_strat=,-0.231878, best_S_id=,S00, best_S_prof=,4.423703, best_S_strat=,0.002270, 
t=,46800, id=,B00, PRDE,actvstrat=,-0.539195, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.142118, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.603205, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.693162, actvprof=,0.033890, id=,B07, PRDE,actvstrat=,0.253378, actvprof=,1.600067, id=,S00, PRDE,actvstrat=,0.040801, actvprof=,4.402683, id=,S02, PRDE,actvstrat=,-0.776434, actvprof=,0.493632, id=,S04, PRDE,actvstrat=,-0.839253, actvprof=,0.023334, id=,S05, PRDE,actvstrat=,0.562276, actvprof=,0.066114, id=,S08, PRDE,actvstrat=,-0.226984, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.600067, best_B_strat=,0.253378, best_S_id=,S00, best_S_prof=,4.402683, best_S_strat=,0.040801, 
t=,50400, id=,B00, PRDE,actvstrat=,-0.539195, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.142118, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.603205, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.693162, actvprof=,0.037084, id=,B07, PRDE,actvstrat=,0.253378, actvprof=,1.666424, id=,S00, PRDE,actvstrat=,0.040801, actvprof=,4.510650, id=,S02, PRDE,actvstrat=,-0.776434, actvprof=,0.471538, id=,S04, PRDE,actvstrat=,-0.839253, actvprof=,0.020139, id=,S05, PRDE,actvstrat=,0.562276, actvprof=,0.055696, id=,S08, PRDE,actvstrat=,-0.226984, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.666424, best_B_strat=,0.253378, best_S_id=,S00, best_S_prof=,4.510650, best_S_strat=,0.040801, 
t=,54000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.186779, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.370293, id=,B07, PRDE,actvstrat=,0.442720, actvprof=,2.357876, id=,S00, PRDE,actvstrat=,-0.218483, actvprof=,2.324819, id=,S02, PRDE,actvstrat=,0.977944, actvprof=,4.535467, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,1.136436, id=,S05, PRDE,actvstrat=,-0.049637, actvprof=,0.011389, id=,S08, PRDE,actvstrat=,-0.975904, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.357876, best_B_strat=,0.442720, best_S_id=,S02, best_S_prof=,4.535467, best_S_strat=,0.977944, 
t=,57600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000139, id=,B03, PRDE,actvstrat=,-0.186779, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.379175, id=,B07, PRDE,actvstrat=,0.442720, actvprof=,2.378383, id=,S00, PRDE,actvstrat=,-0.218483, actvprof=,2.269770, id=,S02, PRDE,actvstrat=,0.977944, actvprof=,4.553567, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,1.136829, id=,S05, PRDE,actvstrat=,-0.049637, actvprof=,0.008056, id=,S08, PRDE,actvstrat=,-0.975904, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.378383, best_B_strat=,0.442720, best_S_id=,S02, best_S_prof=,4.553567, best_S_strat=,0.977944, 
t=,61200, id=,B00, PRDE,actvstrat=,0.861947, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.164585, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.086707, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.005556, id=,B07, PRDE,actvstrat=,0.850950, actvprof=,2.272595, id=,S00, PRDE,actvstrat=,-0.506601, actvprof=,2.649833, id=,S02, PRDE,actvstrat=,-0.539357, actvprof=,0.828090, id=,S04, PRDE,actvstrat=,0.457621, actvprof=,0.797533, id=,S05, PRDE,actvstrat=,0.059983, actvprof=,0.049724, id=,S08, PRDE,actvstrat=,-0.975904, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.272595, best_B_strat=,0.850950, best_S_id=,S00, best_S_prof=,2.649833, best_S_strat=,-0.506601, 
t=,64800, id=,B00, PRDE,actvstrat=,0.861947, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.164585, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.086707, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.008750, id=,B07, PRDE,actvstrat=,0.850950, actvprof=,2.256991, id=,S00, PRDE,actvstrat=,-0.506601, actvprof=,2.738668, id=,S02, PRDE,actvstrat=,-0.539357, actvprof=,0.896685, id=,S04, PRDE,actvstrat=,0.457621, actvprof=,0.769044, id=,S05, PRDE,actvstrat=,0.059983, actvprof=,0.053473, id=,S08, PRDE,actvstrat=,-0.975904, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.256991, best_B_strat=,0.850950, best_S_id=,S00, best_S_prof=,2.738668, best_S_strat=,-0.506601, 
t=,68400, id=,B00, PRDE,actvstrat=,-0.674093, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000833, id=,B03, PRDE,actvstrat=,0.328417, actvprof=,0.003333, id=,B05, PRDE,actvstrat=,-0.079779, actvprof=,0.510007, id=,B07, PRDE,actvstrat=,0.889567, actvprof=,4.471729, id=,S00, PRDE,actvstrat=,0.058109, actvprof=,2.765316, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.951985, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.262504, id=,S05, PRDE,actvstrat=,-0.019626, actvprof=,0.001111, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.471729, best_B_strat=,0.889567, best_S_id=,S02, best_S_prof=,2.951985, best_S_strat=,1.000000, 
t=,72000, id=,B00, PRDE,actvstrat=,-0.674093, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,B03, PRDE,actvstrat=,0.328417, actvprof=,0.005139, id=,B05, PRDE,actvstrat=,-0.079779, actvprof=,0.511816, id=,B07, PRDE,actvstrat=,0.889567, actvprof=,4.513150, id=,S00, PRDE,actvstrat=,0.058109, actvprof=,2.862421, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.953117, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.297228, id=,S05, PRDE,actvstrat=,-0.019626, actvprof=,0.002222, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.513150, best_B_strat=,0.889567, best_S_id=,S02, best_S_prof=,2.953117, best_S_strat=,1.000000, 
t=,75600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.854283, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.080563, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.079779, actvprof=,0.088059, id=,B07, PRDE,actvstrat=,0.442720, actvprof=,2.364821, id=,S00, PRDE,actvstrat=,0.502306, actvprof=,5.594678, id=,S02, PRDE,actvstrat=,0.418106, actvprof=,2.195091, id=,S04, PRDE,actvstrat=,-0.701806, actvprof=,0.023057, id=,S05, PRDE,actvstrat=,-0.482972, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.842029, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.364821, best_B_strat=,0.442720, best_S_id=,S00, best_S_prof=,5.594678, best_S_strat=,0.502306, 
