t=,43200, id=,B00, PRDE,actvstrat=,-0.116315, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.978733, actvprof=,0.000833, id=,B03, PRDE,actvstrat=,0.617719, actvprof=,0.031528, id=,B04, PRDE,actvstrat=,0.078053, actvprof=,0.299034, id=,B06, PRDE,actvstrat=,-0.777376, actvprof=,1.151413, id=,S01, PRDE,actvstrat=,0.855008, actvprof=,3.812857, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.894741, id=,S04, PRDE,actvstrat=,-0.439666, actvprof=,0.001111, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.000139, id=,S08, PRDE,actvstrat=,-0.095851, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.151413, best_B_strat=,-0.777376, best_S_id=,S01, best_S_prof=,3.812857, best_S_strat=,0.855008, 
t=,46800, id=,B00, PRDE,actvstrat=,-0.303431, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.908303, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.256389, actvprof=,0.001389, id=,B04, PRDE,actvstrat=,-0.918822, actvprof=,0.006667, id=,B06, PRDE,actvstrat=,-0.777376, actvprof=,0.961707, id=,S01, PRDE,actvstrat=,-0.904182, actvprof=,0.166118, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.307277, id=,S04, PRDE,actvstrat=,0.403379, actvprof=,0.111949, id=,S05, PRDE,actvstrat=,-0.229381, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.156898, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.961707, best_B_strat=,-0.777376, best_S_id=,S03, best_S_prof=,1.307277, best_S_strat=,1.000000, 
t=,50400, id=,B00, PRDE,actvstrat=,-0.303431, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.908303, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.256389, actvprof=,0.003056, id=,B04, PRDE,actvstrat=,-0.918822, actvprof=,0.005833, id=,B06, PRDE,actvstrat=,-0.777376, actvprof=,0.916686, id=,S01, PRDE,actvstrat=,-0.904182, actvprof=,0.197921, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.361139, id=,S04, PRDE,actvstrat=,0.403379, actvprof=,0.107363, id=,S05, PRDE,actvstrat=,-0.229381, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.156898, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.916686, best_B_strat=,-0.777376, best_S_id=,S03, best_S_prof=,1.361139, best_S_strat=,1.000000, 
t=,54000, id=,B00, PRDE,actvstrat=,-0.245396, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.256389, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,B06, PRDE,actvstrat=,-0.386937, actvprof=,0.588913, id=,S01, PRDE,actvstrat=,0.289636, actvprof=,3.455700, id=,S03, PRDE,actvstrat=,-0.130852, actvprof=,0.201119, id=,S04, PRDE,actvstrat=,-0.497318, actvprof=,0.002778, id=,S05, PRDE,actvstrat=,0.986978, actvprof=,0.001389, id=,S08, PRDE,actvstrat=,0.272755, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.588913, best_B_strat=,-0.386937, best_S_id=,S01, best_S_prof=,3.455700, best_S_strat=,0.289636, 
t=,57600, id=,B00, PRDE,actvstrat=,-0.245396, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.256389, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.002917, id=,B06, PRDE,actvstrat=,-0.386937, actvprof=,0.607374, id=,S01, PRDE,actvstrat=,0.289636, actvprof=,3.535074, id=,S03, PRDE,actvstrat=,-0.130852, actvprof=,0.206532, id=,S04, PRDE,actvstrat=,-0.497318, actvprof=,0.004028, id=,S05, PRDE,actvstrat=,0.986978, actvprof=,0.003472, id=,S08, PRDE,actvstrat=,0.272755, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.607374, best_B_strat=,-0.386937, best_S_id=,S01, best_S_prof=,3.535074, best_S_strat=,0.289636, 
t=,61200, id=,B00, PRDE,actvstrat=,-0.245396, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.793913, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.127722, actvprof=,0.002500, id=,B04, PRDE,actvstrat=,0.167277, actvprof=,0.008611, id=,B06, PRDE,actvstrat=,0.806210, actvprof=,1.256441, id=,S01, PRDE,actvstrat=,0.289636, actvprof=,4.472686, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,3.020959, id=,S04, PRDE,actvstrat=,-0.384720, actvprof=,0.078614, id=,S05, PRDE,actvstrat=,0.050397, actvprof=,0.020279, id=,S08, PRDE,actvstrat=,-0.095851, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.256441, best_B_strat=,0.806210, best_S_id=,S01, best_S_prof=,4.472686, best_S_strat=,0.289636, 
t=,64800, id=,B00, PRDE,actvstrat=,-0.245396, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.793913, actvprof=,0.001111, id=,B03, PRDE,actvstrat=,0.127722, actvprof=,0.003889, id=,B04, PRDE,actvstrat=,0.167277, actvprof=,0.021806, id=,B06, PRDE,actvstrat=,0.806210, actvprof=,1.351278, id=,S01, PRDE,actvstrat=,0.289636, actvprof=,4.293562, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.898116, id=,S04, PRDE,actvstrat=,-0.384720, actvprof=,0.074446, id=,S05, PRDE,actvstrat=,0.050397, actvprof=,0.023334, id=,S08, PRDE,actvstrat=,-0.095851, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.351278, best_B_strat=,0.806210, best_S_id=,S01, best_S_prof=,4.293562, best_S_strat=,0.289636, 
t=,68400, id=,B00, PRDE,actvstrat=,0.068360, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.000833, id=,B06, PRDE,actvstrat=,0.654400, actvprof=,1.193988, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.268495, id=,S03, PRDE,actvstrat=,-0.130852, actvprof=,0.648110, id=,S04, PRDE,actvstrat=,0.328215, actvprof=,0.438092, id=,S05, PRDE,actvstrat=,0.050397, actvprof=,0.012223, id=,S08, PRDE,actvstrat=,0.578333, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.193988, best_B_strat=,0.654400, best_S_id=,S01, best_S_prof=,5.268495, best_S_strat=,-1.000000, 
t=,72000, id=,B00, PRDE,actvstrat=,0.068360, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.001528, id=,B06, PRDE,actvstrat=,0.654400, actvprof=,1.183105, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.271053, id=,S03, PRDE,actvstrat=,-0.130852, actvprof=,0.636415, id=,S04, PRDE,actvstrat=,0.328215, actvprof=,0.440018, id=,S05, PRDE,actvstrat=,0.050397, actvprof=,0.016251, id=,S08, PRDE,actvstrat=,0.578333, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.183105, best_B_strat=,0.654400, best_S_id=,S01, best_S_prof=,5.271053, best_S_strat=,-1.000000, 
t=,75600, id=,B00, PRDE,actvstrat=,-0.116315, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.778617, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.617719, actvprof=,0.004445, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.017501, id=,B06, PRDE,actvstrat=,-0.386937, actvprof=,0.710049, id=,S01, PRDE,actvstrat=,0.855008, actvprof=,5.242864, id=,S03, PRDE,actvstrat=,0.397810, actvprof=,0.907563, id=,S04, PRDE,actvstrat=,0.328215, actvprof=,0.084173, id=,S05, PRDE,actvstrat=,0.655250, actvprof=,0.002500, id=,S08, PRDE,actvstrat=,-0.038872, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.710049, best_B_strat=,-0.386937, best_S_id=,S01, best_S_prof=,5.242864, best_S_strat=,0.855008, 
