t=,39600, id=,B01, PRDE,actvstrat=,0.243106, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.286021, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.594229, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.309067, actvprof=,1.731183, id=,B09, PRDE,actvstrat=,-0.510592, actvprof=,6.546384, id=,S03, PRDE,actvstrat=,0.586058, actvprof=,0.201953, id=,S06, PRDE,actvstrat=,-0.310075, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.470179, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.546384, best_B_strat=,-0.510592, best_S_id=,S03, best_S_prof=,0.201953, best_S_strat=,0.586058, 
t=,43200, id=,B01, PRDE,actvstrat=,0.243106, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.286021, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.594229, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.309067, actvprof=,1.661007, id=,B09, PRDE,actvstrat=,-0.510592, actvprof=,6.454996, id=,S03, PRDE,actvstrat=,0.586058, actvprof=,0.230144, id=,S06, PRDE,actvstrat=,-0.310075, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.470179, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.454996, best_B_strat=,-0.510592, best_S_id=,S03, best_S_prof=,0.230144, best_S_strat=,0.586058, 
t=,46800, id=,B01, PRDE,actvstrat=,0.146105, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.074534, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.127837, actvprof=,0.000556, id=,B06, PRDE,actvstrat=,-0.024766, actvprof=,2.510105, id=,B09, PRDE,actvstrat=,0.521339, actvprof=,8.744253, id=,S03, PRDE,actvstrat=,0.943494, actvprof=,0.451130, id=,S06, PRDE,actvstrat=,-0.310075, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.899859, actvprof=,0.001389, id=,S08, PRDE,actvstrat=,0.882651, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.470179, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.744253, best_B_strat=,0.521339, best_S_id=,S03, best_S_prof=,0.451130, best_S_strat=,0.943494, 
t=,50400, id=,B01, PRDE,actvstrat=,0.146105, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.074534, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.127837, actvprof=,0.002639, id=,B06, PRDE,actvstrat=,-0.024766, actvprof=,2.662694, id=,B09, PRDE,actvstrat=,0.521339, actvprof=,8.888935, id=,S03, PRDE,actvstrat=,0.943494, actvprof=,0.357646, id=,S06, PRDE,actvstrat=,-0.310075, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.899859, actvprof=,0.000694, id=,S08, PRDE,actvstrat=,0.882651, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.470179, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.888935, best_B_strat=,0.521339, best_S_id=,S03, best_S_prof=,0.357646, best_S_strat=,0.943494, 
t=,54000, id=,B01, PRDE,actvstrat=,0.163240, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.234470, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.388982, actvprof=,2.556773, id=,B09, PRDE,actvstrat=,0.376205, actvprof=,7.665042, id=,S03, PRDE,actvstrat=,0.250623, actvprof=,0.185285, id=,S06, PRDE,actvstrat=,-0.310075, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.572718, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.665042, best_B_strat=,0.376205, best_S_id=,S03, best_S_prof=,0.185285, best_S_strat=,0.250623, 
t=,57600, id=,B01, PRDE,actvstrat=,0.163240, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.234470, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.388982, actvprof=,2.563248, id=,B09, PRDE,actvstrat=,0.376205, actvprof=,7.683216, id=,S03, PRDE,actvstrat=,0.250623, actvprof=,0.205699, id=,S06, PRDE,actvstrat=,-0.310075, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.572718, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.683216, best_B_strat=,0.376205, best_S_id=,S03, best_S_prof=,0.205699, best_S_strat=,0.250623, 
t=,61200, id=,B01, PRDE,actvstrat=,0.328783, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.253526, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.127837, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.539557, actvprof=,2.889287, id=,B09, PRDE,actvstrat=,-0.204332, actvprof=,6.561385, id=,S03, PRDE,actvstrat=,0.250623, actvprof=,0.206397, id=,S06, PRDE,actvstrat=,-0.310075, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.899859, actvprof=,0.000833, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.222535, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.561385, best_B_strat=,-0.204332, best_S_id=,S03, best_S_prof=,0.206397, best_S_strat=,0.250623, 
t=,64800, id=,B01, PRDE,actvstrat=,0.328783, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.253526, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.127837, actvprof=,0.000972, id=,B06, PRDE,actvstrat=,0.539557, actvprof=,2.871310, id=,B09, PRDE,actvstrat=,-0.204332, actvprof=,6.519302, id=,S03, PRDE,actvstrat=,0.250623, actvprof=,0.212366, id=,S06, PRDE,actvstrat=,-0.310075, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.899859, actvprof=,0.000417, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000139, id=,S09, PRDE,actvstrat=,-0.222535, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.519302, best_B_strat=,-0.204332, best_S_id=,S03, best_S_prof=,0.212366, best_S_strat=,0.250623, 
t=,68400, id=,B01, PRDE,actvstrat=,0.328783, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.305553, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.189089, actvprof=,2.593128, id=,B09, PRDE,actvstrat=,-0.932960, actvprof=,3.586766, id=,S03, PRDE,actvstrat=,0.564064, actvprof=,0.219451, id=,S06, PRDE,actvstrat=,-0.698115, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.820361, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.586766, best_B_strat=,-0.932960, best_S_id=,S03, best_S_prof=,0.219451, best_S_strat=,0.564064, 
t=,72000, id=,B01, PRDE,actvstrat=,0.328783, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.305553, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.189089, actvprof=,2.692834, id=,B09, PRDE,actvstrat=,-0.932960, actvprof=,3.705355, id=,S03, PRDE,actvstrat=,0.564064, actvprof=,0.204588, id=,S06, PRDE,actvstrat=,-0.698115, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.820361, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.705355, best_B_strat=,-0.932960, best_S_id=,S03, best_S_prof=,0.204588, best_S_strat=,0.564064, 
