t=,39600, id=,B01, PRDE,actvstrat=,-0.088670, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.001389, id=,B04, PRDE,actvstrat=,-0.680166, actvprof=,0.021945, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.586413, id=,B06, PRDE,actvstrat=,-0.939033, actvprof=,0.103060, id=,S04, PRDE,actvstrat=,-0.967655, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.119157, actvprof=,0.004445, id=,S06, PRDE,actvstrat=,0.477510, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.125521, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.630367, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,0.586413, best_B_strat=,1.000000, best_S_id=,S05, best_S_prof=,0.004445, best_S_strat=,0.119157, 
t=,43200, id=,B01, PRDE,actvstrat=,-0.088670, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.001667, id=,B04, PRDE,actvstrat=,-0.680166, actvprof=,0.036251, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.983215, id=,B06, PRDE,actvstrat=,-0.939033, actvprof=,0.168892, id=,S04, PRDE,actvstrat=,-0.967655, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.119157, actvprof=,0.003056, id=,S06, PRDE,actvstrat=,0.477510, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.125521, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.630367, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,0.983215, best_B_strat=,1.000000, best_S_id=,S05, best_S_prof=,0.003056, best_S_strat=,0.119157, 
t=,46800, id=,B01, PRDE,actvstrat=,-0.415891, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.954851, actvprof=,0.001111, id=,B04, PRDE,actvstrat=,-0.060434, actvprof=,0.274178, id=,B05, PRDE,actvstrat=,-0.683399, actvprof=,0.603358, id=,B06, PRDE,actvstrat=,-0.161949, actvprof=,1.799797, id=,S04, PRDE,actvstrat=,-0.501213, actvprof=,0.005000, id=,S05, PRDE,actvstrat=,0.715401, actvprof=,0.007223, id=,S06, PRDE,actvstrat=,-0.247182, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.097605, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.019857, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.799797, best_B_strat=,-0.161949, best_S_id=,S05, best_S_prof=,0.007223, best_S_strat=,0.715401, 
t=,50400, id=,B01, PRDE,actvstrat=,-0.415891, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.954851, actvprof=,0.000556, id=,B04, PRDE,actvstrat=,-0.060434, actvprof=,0.379725, id=,B05, PRDE,actvstrat=,-0.683399, actvprof=,0.762228, id=,B06, PRDE,actvstrat=,-0.161949, actvprof=,2.162793, id=,S04, PRDE,actvstrat=,-0.501213, actvprof=,0.004444, id=,S05, PRDE,actvstrat=,0.715401, actvprof=,0.013750, id=,S06, PRDE,actvstrat=,-0.247182, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.097605, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.019857, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.162793, best_B_strat=,-0.161949, best_S_id=,S05, best_S_prof=,0.013750, best_S_strat=,0.715401, 
t=,54000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.772670, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.084449, id=,B05, PRDE,actvstrat=,0.533311, actvprof=,0.786155, id=,B06, PRDE,actvstrat=,-0.614417, actvprof=,0.869493, id=,S04, PRDE,actvstrat=,-0.662080, actvprof=,0.003611, id=,S05, PRDE,actvstrat=,0.546848, actvprof=,0.001389, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.685743, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.927109, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.869493, best_B_strat=,-0.614417, best_S_id=,S04, best_S_prof=,0.003611, best_S_strat=,-0.662080, 
t=,57600, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.772670, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.076529, id=,B05, PRDE,actvstrat=,0.533311, actvprof=,0.802650, id=,B06, PRDE,actvstrat=,-0.614417, actvprof=,0.868623, id=,S04, PRDE,actvstrat=,-0.662080, actvprof=,0.001806, id=,S05, PRDE,actvstrat=,0.546848, actvprof=,0.000694, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.685743, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.927109, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.868623, best_B_strat=,-0.614417, best_S_id=,S04, best_S_prof=,0.001806, best_S_strat=,-0.662080, 
t=,61200, id=,B01, PRDE,actvstrat=,-0.297626, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.725202, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.013041, actvprof=,0.007223, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.391411, id=,B06, PRDE,actvstrat=,0.238624, actvprof=,0.929218, id=,S04, PRDE,actvstrat=,-0.006529, actvprof=,0.154731, id=,S05, PRDE,actvstrat=,0.674909, actvprof=,0.052225, id=,S06, PRDE,actvstrat=,-0.303333, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.458053, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.181884, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.929218, best_B_strat=,0.238624, best_S_id=,S04, best_S_prof=,0.154731, best_S_strat=,-0.006529, 
t=,64800, id=,B01, PRDE,actvstrat=,-0.297626, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.725202, actvprof=,0.000417, id=,B04, PRDE,actvstrat=,-0.013041, actvprof=,0.016806, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.451540, id=,B06, PRDE,actvstrat=,0.238624, actvprof=,1.008639, id=,S04, PRDE,actvstrat=,-0.006529, actvprof=,0.134587, id=,S05, PRDE,actvstrat=,0.674909, actvprof=,0.044446, id=,S06, PRDE,actvstrat=,-0.303333, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.458053, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.181884, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.008639, best_B_strat=,0.238624, best_S_id=,S04, best_S_prof=,0.134587, best_S_strat=,-0.006529, 
t=,68400, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.333569, actvprof=,0.005278, id=,B04, PRDE,actvstrat=,-0.737007, actvprof=,0.158062, id=,B05, PRDE,actvstrat=,-0.209889, actvprof=,1.194216, id=,B06, PRDE,actvstrat=,0.792854, actvprof=,4.403795, id=,S04, PRDE,actvstrat=,-0.382304, actvprof=,0.003056, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.010834, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.607065, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,4.403795, best_B_strat=,0.792854, best_S_id=,S05, best_S_prof=,0.010834, best_S_strat=,1.000000, 
t=,72000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.333569, actvprof=,0.009167, id=,B04, PRDE,actvstrat=,-0.737007, actvprof=,0.181533, id=,B05, PRDE,actvstrat=,-0.209889, actvprof=,1.269063, id=,B06, PRDE,actvstrat=,0.792854, actvprof=,4.543460, id=,S04, PRDE,actvstrat=,-0.382304, actvprof=,0.001528, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.008889, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.607065, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,4.543460, best_B_strat=,0.792854, best_S_id=,S05, best_S_prof=,0.008889, best_S_strat=,1.000000, 
