t=,39600, id=,B01, PRDE,actvstrat=,-0.251655, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.029446, id=,B06, PRDE,actvstrat=,0.824567, actvprof=,0.573929, id=,B07, PRDE,actvstrat=,-0.979819, actvprof=,0.577540, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.491909, id=,S00, PRDE,actvstrat=,-0.049795, actvprof=,3.470519, id=,S01, PRDE,actvstrat=,0.651616, actvprof=,5.467880, id=,S03, PRDE,actvstrat=,-0.845493, actvprof=,0.069727, id=,S04, PRDE,actvstrat=,-0.505908, actvprof=,0.090006, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.491909, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,5.467880, best_S_strat=,0.651616, 
t=,43200, id=,B01, PRDE,actvstrat=,-0.251655, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.022084, id=,B06, PRDE,actvstrat=,0.824567, actvprof=,0.525435, id=,B07, PRDE,actvstrat=,-0.979819, actvprof=,0.600299, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.491649, id=,S00, PRDE,actvstrat=,-0.049795, actvprof=,3.508316, id=,S01, PRDE,actvstrat=,0.651616, actvprof=,5.460190, id=,S03, PRDE,actvstrat=,-0.845493, actvprof=,0.066252, id=,S04, PRDE,actvstrat=,-0.505908, actvprof=,0.068752, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.491649, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,5.460190, best_S_strat=,0.651616, 
t=,46800, id=,B01, PRDE,actvstrat=,-0.166980, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.445159, actvprof=,0.031391, id=,B06, PRDE,actvstrat=,0.361890, actvprof=,0.692270, id=,B07, PRDE,actvstrat=,0.830100, actvprof=,2.521564, id=,B08, PRDE,actvstrat=,0.496497, actvprof=,3.621918, id=,S00, PRDE,actvstrat=,-0.163595, actvprof=,1.685117, id=,S01, PRDE,actvstrat=,0.256132, actvprof=,2.672408, id=,S03, PRDE,actvstrat=,0.357631, actvprof=,0.862004, id=,S04, PRDE,actvstrat=,0.505498, actvprof=,0.323911, id=,S09, PRDE,actvstrat=,-0.017397, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.621918, best_B_strat=,0.496497, best_S_id=,S01, best_S_prof=,2.672408, best_S_strat=,0.256132, 
t=,50400, id=,B01, PRDE,actvstrat=,-0.166980, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.445159, actvprof=,0.035973, id=,B06, PRDE,actvstrat=,0.361890, actvprof=,0.705719, id=,B07, PRDE,actvstrat=,0.830100, actvprof=,2.515782, id=,B08, PRDE,actvstrat=,0.496497, actvprof=,3.572902, id=,S00, PRDE,actvstrat=,-0.163595, actvprof=,1.679225, id=,S01, PRDE,actvstrat=,0.256132, actvprof=,2.811348, id=,S03, PRDE,actvstrat=,0.357631, actvprof=,0.896559, id=,S04, PRDE,actvstrat=,0.505498, actvprof=,0.370152, id=,S09, PRDE,actvstrat=,-0.017397, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.572902, best_B_strat=,0.496497, best_S_id=,S01, best_S_prof=,2.811348, best_S_strat=,0.256132, 
t=,54000, id=,B01, PRDE,actvstrat=,0.361192, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.438925, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.668945, id=,B07, PRDE,actvstrat=,0.038328, actvprof=,1.195933, id=,B08, PRDE,actvstrat=,0.707519, actvprof=,3.442787, id=,S00, PRDE,actvstrat=,-0.141202, actvprof=,2.210740, id=,S01, PRDE,actvstrat=,0.096320, actvprof=,2.863016, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.893852, id=,S04, PRDE,actvstrat=,0.155126, actvprof=,0.371420, id=,S09, PRDE,actvstrat=,0.504200, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.442787, best_B_strat=,0.707519, best_S_id=,S03, best_S_prof=,2.893852, best_S_strat=,1.000000, 
t=,57600, id=,B01, PRDE,actvstrat=,0.361192, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.413628, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.671695, id=,B07, PRDE,actvstrat=,0.038328, actvprof=,1.205050, id=,B08, PRDE,actvstrat=,0.707519, actvprof=,3.454866, id=,S00, PRDE,actvstrat=,-0.141202, actvprof=,2.256344, id=,S01, PRDE,actvstrat=,0.096320, actvprof=,2.734003, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.957068, id=,S04, PRDE,actvstrat=,0.155126, actvprof=,0.375016, id=,S09, PRDE,actvstrat=,0.504200, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.454866, best_B_strat=,0.707519, best_S_id=,S03, best_S_prof=,2.957068, best_S_strat=,1.000000, 
t=,61200, id=,B01, PRDE,actvstrat=,0.684595, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.456479, actvprof=,0.195294, id=,B06, PRDE,actvstrat=,0.802880, actvprof=,1.416229, id=,B07, PRDE,actvstrat=,-0.629348, actvprof=,0.946746, id=,B08, PRDE,actvstrat=,-0.706709, actvprof=,1.797650, id=,S00, PRDE,actvstrat=,0.950990, actvprof=,6.912798, id=,S01, PRDE,actvstrat=,-0.601022, actvprof=,0.842292, id=,S03, PRDE,actvstrat=,0.465744, actvprof=,0.778676, id=,S04, PRDE,actvstrat=,0.155126, actvprof=,0.112509, id=,S09, PRDE,actvstrat=,0.081379, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,1.797650, best_B_strat=,-0.706709, best_S_id=,S00, best_S_prof=,6.912798, best_S_strat=,0.950990, 
t=,64800, id=,B01, PRDE,actvstrat=,0.684595, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.456479, actvprof=,0.202508, id=,B06, PRDE,actvstrat=,0.802880, actvprof=,1.426309, id=,B07, PRDE,actvstrat=,-0.629348, actvprof=,0.978235, id=,B08, PRDE,actvstrat=,-0.706709, actvprof=,1.947164, id=,S00, PRDE,actvstrat=,0.950990, actvprof=,7.019737, id=,S01, PRDE,actvstrat=,-0.601022, actvprof=,0.743920, id=,S03, PRDE,actvstrat=,0.465744, actvprof=,0.807950, id=,S04, PRDE,actvstrat=,0.155126, actvprof=,0.099032, id=,S09, PRDE,actvstrat=,0.081379, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,1.947164, best_B_strat=,-0.706709, best_S_id=,S00, best_S_prof=,7.019737, best_S_strat=,0.950990, 
t=,68400, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.256743, actvprof=,0.291413, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.368447, id=,B07, PRDE,actvstrat=,-0.775931, actvprof=,1.477901, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.515654, id=,S00, PRDE,actvstrat=,-0.022924, actvprof=,2.205462, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.571770, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.460122, id=,S04, PRDE,actvstrat=,0.155126, actvprof=,0.148623, id=,S09, PRDE,actvstrat=,-0.437398, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.515654, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.571770, best_S_strat=,1.000000, 
t=,72000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.256743, actvprof=,0.251816, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.363251, id=,B07, PRDE,actvstrat=,-0.775931, actvprof=,1.434365, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.522827, id=,S00, PRDE,actvstrat=,-0.022924, actvprof=,2.285373, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.609498, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.442699, id=,S04, PRDE,actvstrat=,0.155126, actvprof=,0.133894, id=,S09, PRDE,actvstrat=,-0.437398, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.522827, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.609498, best_S_strat=,1.000000, 
