t=,39600, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.472335, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.250566, id=,B06, PRDE,actvstrat=,-0.161133, actvprof=,1.252552, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,7.872550, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.256011, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.243663, id=,S06, PRDE,actvstrat=,0.698366, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.872550, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.256011, best_S_strat=,-1.000000, 
t=,43200, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.472335, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.216393, id=,B06, PRDE,actvstrat=,-0.161133, actvprof=,1.268638, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,7.835163, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.309395, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.268221, id=,S06, PRDE,actvstrat=,0.698366, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.835163, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.309395, best_S_strat=,-1.000000, 
t=,46800, id=,B01, PRDE,actvstrat=,-0.591580, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.668357, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.005556, id=,B06, PRDE,actvstrat=,0.186028, actvprof=,1.458950, id=,B09, PRDE,actvstrat=,-0.326069, actvprof=,5.225218, id=,S01, PRDE,actvstrat=,0.458984, actvprof=,2.960957, id=,S03, PRDE,actvstrat=,-0.086789, actvprof=,0.138617, id=,S06, PRDE,actvstrat=,0.122588, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.726418, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.341967, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.225218, best_B_strat=,-0.326069, best_S_id=,S01, best_S_prof=,2.960957, best_S_strat=,0.458984, 
t=,50400, id=,B01, PRDE,actvstrat=,-0.591580, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.668357, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.010834, id=,B06, PRDE,actvstrat=,0.186028, actvprof=,1.482253, id=,B09, PRDE,actvstrat=,-0.326069, actvprof=,4.983020, id=,S01, PRDE,actvstrat=,0.458984, actvprof=,3.061036, id=,S03, PRDE,actvstrat=,-0.086789, actvprof=,0.138614, id=,S06, PRDE,actvstrat=,0.122588, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.726418, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.341967, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.983020, best_B_strat=,-0.326069, best_S_id=,S01, best_S_prof=,3.061036, best_S_strat=,0.458984, 
t=,54000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.741106, actvprof=,0.451408, id=,B06, PRDE,actvstrat=,-0.878107, actvprof=,0.718641, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,8.659250, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.061558, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.707807, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.397849, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.143656, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.659250, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.061558, best_S_strat=,1.000000, 
t=,57600, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.741106, actvprof=,0.449593, id=,B06, PRDE,actvstrat=,-0.878107, actvprof=,0.725571, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,8.650041, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.067168, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.691403, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.397849, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.143656, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.650041, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.067168, best_S_strat=,1.000000, 
t=,61200, id=,B01, PRDE,actvstrat=,0.452688, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.200088, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.398322, actvprof=,0.044446, id=,B06, PRDE,actvstrat=,0.740950, actvprof=,3.314583, id=,B09, PRDE,actvstrat=,0.411756, actvprof=,7.911163, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.929608, id=,S03, PRDE,actvstrat=,0.447687, actvprof=,0.293346, id=,S06, PRDE,actvstrat=,-0.745317, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.877936, actvprof=,0.002500, id=,S09, PRDE,actvstrat=,-0.936410, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.911163, best_B_strat=,0.411756, best_S_id=,S01, best_S_prof=,3.929608, best_S_strat=,-1.000000, 
t=,64800, id=,B01, PRDE,actvstrat=,0.452688, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.200088, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.398322, actvprof=,0.037640, id=,B06, PRDE,actvstrat=,0.740950, actvprof=,3.226895, id=,B09, PRDE,actvstrat=,0.411756, actvprof=,7.717020, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.033306, id=,S03, PRDE,actvstrat=,0.447687, actvprof=,0.324592, id=,S06, PRDE,actvstrat=,-0.745317, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.877936, actvprof=,0.002639, id=,S09, PRDE,actvstrat=,-0.936410, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.717020, best_B_strat=,0.411756, best_S_id=,S01, best_S_prof=,4.033306, best_S_strat=,-1.000000, 
t=,68400, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,0.804238, actvprof=,0.108339, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.096561, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,7.885160, id=,S01, PRDE,actvstrat=,0.998874, actvprof=,4.931663, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.405911, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.885160, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.931663, best_S_strat=,0.998874, 
t=,72000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000417, id=,B04, PRDE,actvstrat=,0.804238, actvprof=,0.107503, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.127587, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,7.908553, id=,S01, PRDE,actvstrat=,0.998874, actvprof=,4.922915, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.403095, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.908553, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.922915, best_S_strat=,0.998874, 
