t=,39600, id=,B02, PRDE,actvstrat=,-0.717146, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.111187, actvprof=,0.004167, id=,B06, PRDE,actvstrat=,-0.507606, actvprof=,0.383905, id=,B07, PRDE,actvstrat=,0.559759, actvprof=,2.831507, id=,B09, PRDE,actvstrat=,-0.182893, actvprof=,4.373793, id=,S02, PRDE,actvstrat=,-0.500149, actvprof=,1.106157, id=,S04, PRDE,actvstrat=,-0.839452, actvprof=,0.078614, id=,S05, PRDE,actvstrat=,0.401273, actvprof=,0.122783, id=,S06, PRDE,actvstrat=,0.458554, actvprof=,0.016667, id=,S08, PRDE,actvstrat=,-0.667011, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.373793, best_B_strat=,-0.182893, best_S_id=,S02, best_S_prof=,1.106157, best_S_strat=,-0.500149, 
t=,43200, id=,B02, PRDE,actvstrat=,-0.717146, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.111187, actvprof=,0.008334, id=,B06, PRDE,actvstrat=,-0.507606, actvprof=,0.427231, id=,B07, PRDE,actvstrat=,0.559759, actvprof=,2.903810, id=,B09, PRDE,actvstrat=,-0.182893, actvprof=,4.471065, id=,S02, PRDE,actvstrat=,-0.500149, actvprof=,1.095578, id=,S04, PRDE,actvstrat=,-0.839452, actvprof=,0.087224, id=,S05, PRDE,actvstrat=,0.401273, actvprof=,0.093474, id=,S06, PRDE,actvstrat=,0.458554, actvprof=,0.015000, id=,S08, PRDE,actvstrat=,-0.667011, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.471065, best_B_strat=,-0.182893, best_S_id=,S02, best_S_prof=,1.095578, best_S_strat=,-0.500149, 
t=,46800, id=,B02, PRDE,actvstrat=,0.253949, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.613214, actvprof=,0.006945, id=,B06, PRDE,actvstrat=,-0.507606, actvprof=,0.390022, id=,B07, PRDE,actvstrat=,0.981247, actvprof=,3.588533, id=,B09, PRDE,actvstrat=,-0.182893, actvprof=,4.716651, id=,S02, PRDE,actvstrat=,-0.500149, actvprof=,1.117284, id=,S04, PRDE,actvstrat=,-0.804827, actvprof=,0.074449, id=,S05, PRDE,actvstrat=,-0.632187, actvprof=,0.005556, id=,S06, PRDE,actvstrat=,0.964443, actvprof=,0.072504, id=,S08, PRDE,actvstrat=,-0.132529, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.716651, best_B_strat=,-0.182893, best_S_id=,S02, best_S_prof=,1.117284, best_S_strat=,-0.500149, 
t=,50400, id=,B02, PRDE,actvstrat=,0.253949, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.613214, actvprof=,0.005695, id=,B06, PRDE,actvstrat=,-0.507606, actvprof=,0.406678, id=,B07, PRDE,actvstrat=,0.981247, actvprof=,3.528987, id=,B09, PRDE,actvstrat=,-0.182893, actvprof=,4.579572, id=,S02, PRDE,actvstrat=,-0.500149, actvprof=,1.150449, id=,S04, PRDE,actvstrat=,-0.804827, actvprof=,0.061807, id=,S05, PRDE,actvstrat=,-0.632187, actvprof=,0.012084, id=,S06, PRDE,actvstrat=,0.964443, actvprof=,0.070141, id=,S08, PRDE,actvstrat=,-0.132529, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.579572, best_B_strat=,-0.182893, best_S_id=,S02, best_S_prof=,1.150449, best_S_strat=,-0.500149, 
t=,54000, id=,B02, PRDE,actvstrat=,0.176361, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.955048, actvprof=,0.007778, id=,B06, PRDE,actvstrat=,0.692323, actvprof=,1.254202, id=,B07, PRDE,actvstrat=,0.559759, actvprof=,2.532293, id=,B09, PRDE,actvstrat=,-0.013714, actvprof=,4.475402, id=,S02, PRDE,actvstrat=,-0.500149, actvprof=,1.529765, id=,S04, PRDE,actvstrat=,0.541599, actvprof=,0.765855, id=,S05, PRDE,actvstrat=,0.401273, actvprof=,0.095836, id=,S06, PRDE,actvstrat=,0.458554, actvprof=,0.018056, id=,S08, PRDE,actvstrat=,-0.667011, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.475402, best_B_strat=,-0.013714, best_S_id=,S02, best_S_prof=,1.529765, best_S_strat=,-0.500149, 
t=,57600, id=,B02, PRDE,actvstrat=,0.176361, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.955048, actvprof=,0.008056, id=,B06, PRDE,actvstrat=,0.692323, actvprof=,1.245026, id=,B07, PRDE,actvstrat=,0.559759, actvprof=,2.553109, id=,B09, PRDE,actvstrat=,-0.013714, actvprof=,4.516900, id=,S02, PRDE,actvstrat=,-0.500149, actvprof=,1.500309, id=,S04, PRDE,actvstrat=,0.541599, actvprof=,0.731265, id=,S05, PRDE,actvstrat=,0.401273, actvprof=,0.096946, id=,S06, PRDE,actvstrat=,0.458554, actvprof=,0.028056, id=,S08, PRDE,actvstrat=,-0.667011, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.516900, best_B_strat=,-0.013714, best_S_id=,S02, best_S_prof=,1.500309, best_S_strat=,-0.500149, 
t=,61200, id=,B02, PRDE,actvstrat=,0.176361, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.638826, actvprof=,0.024723, id=,B06, PRDE,actvstrat=,0.692323, actvprof=,1.385613, id=,B07, PRDE,actvstrat=,0.559759, actvprof=,2.661500, id=,B09, PRDE,actvstrat=,-0.182893, actvprof=,4.088226, id=,S02, PRDE,actvstrat=,-0.209795, actvprof=,1.526730, id=,S04, PRDE,actvstrat=,0.541599, actvprof=,0.671139, id=,S05, PRDE,actvstrat=,0.401273, actvprof=,0.083892, id=,S06, PRDE,actvstrat=,0.458554, actvprof=,0.022501, id=,S08, PRDE,actvstrat=,0.424928, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.088226, best_B_strat=,-0.182893, best_S_id=,S02, best_S_prof=,1.526730, best_S_strat=,-0.209795, 
t=,64800, id=,B02, PRDE,actvstrat=,0.176361, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.638826, actvprof=,0.017500, id=,B06, PRDE,actvstrat=,0.692323, actvprof=,1.354732, id=,B07, PRDE,actvstrat=,0.559759, actvprof=,2.580851, id=,B09, PRDE,actvstrat=,-0.182893, actvprof=,4.198362, id=,S02, PRDE,actvstrat=,-0.209795, actvprof=,1.567511, id=,S04, PRDE,actvstrat=,0.541599, actvprof=,0.655699, id=,S05, PRDE,actvstrat=,0.401273, actvprof=,0.101667, id=,S06, PRDE,actvstrat=,0.458554, actvprof=,0.018472, id=,S08, PRDE,actvstrat=,0.424928, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.198362, best_B_strat=,-0.182893, best_S_id=,S02, best_S_prof=,1.567511, best_S_strat=,-0.209795, 
t=,68400, id=,B02, PRDE,actvstrat=,-0.717146, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.955048, actvprof=,0.007778, id=,B06, PRDE,actvstrat=,0.692323, actvprof=,1.054781, id=,B07, PRDE,actvstrat=,0.559759, actvprof=,2.337352, id=,B09, PRDE,actvstrat=,-0.013714, actvprof=,4.329129, id=,S02, PRDE,actvstrat=,-0.500149, actvprof=,1.512306, id=,S04, PRDE,actvstrat=,0.541599, actvprof=,0.791433, id=,S05, PRDE,actvstrat=,0.401273, actvprof=,0.144452, id=,S06, PRDE,actvstrat=,0.458554, actvprof=,0.012501, id=,S08, PRDE,actvstrat=,-0.667011, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.329129, best_B_strat=,-0.013714, best_S_id=,S02, best_S_prof=,1.512306, best_S_strat=,-0.500149, 
t=,72000, id=,B02, PRDE,actvstrat=,-0.717146, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.955048, actvprof=,0.007361, id=,B06, PRDE,actvstrat=,0.692323, actvprof=,1.107809, id=,B07, PRDE,actvstrat=,0.559759, actvprof=,2.382844, id=,B09, PRDE,actvstrat=,-0.013714, actvprof=,4.342204, id=,S02, PRDE,actvstrat=,-0.500149, actvprof=,1.474902, id=,S04, PRDE,actvstrat=,0.541599, actvprof=,0.748354, id=,S05, PRDE,actvstrat=,0.401273, actvprof=,0.129448, id=,S06, PRDE,actvstrat=,0.458554, actvprof=,0.019028, id=,S08, PRDE,actvstrat=,-0.667011, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.342204, best_B_strat=,-0.013714, best_S_id=,S02, best_S_prof=,1.474902, best_S_strat=,-0.500149, 
