t=,39600, id=,B01, PRDE,actvstrat=,-0.497492, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.050560, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.270300, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.810234, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.520654, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.696114, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.203489, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.923494, id=,S05, PRDE,actvstrat=,0.001986, actvprof=,0.048615, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.520654, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.696114, best_S_strat=,1.000000, 
t=,43200, id=,B01, PRDE,actvstrat=,-0.497492, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.056669, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.258900, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.852341, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.507410, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.674167, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.149381, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.913552, id=,S05, PRDE,actvstrat=,0.001986, actvprof=,0.035140, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.507410, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.674167, best_S_strat=,1.000000, 
t=,46800, id=,B01, PRDE,actvstrat=,0.845101, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.913497, actvprof=,0.015557, id=,B04, PRDE,actvstrat=,-0.559114, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.747156, actvprof=,1.709865, id=,B08, PRDE,actvstrat=,0.876780, actvprof=,3.509737, id=,S00, PRDE,actvstrat=,-0.011828, actvprof=,3.363614, id=,S01, PRDE,actvstrat=,0.594874, actvprof=,4.719282, id=,S03, PRDE,actvstrat=,-0.547918, actvprof=,0.231964, id=,S05, PRDE,actvstrat=,0.137820, actvprof=,0.063616, id=,S09, PRDE,actvstrat=,0.576231, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.509737, best_B_strat=,0.876780, best_S_id=,S01, best_S_prof=,4.719282, best_S_strat=,0.594874, 
t=,50400, id=,B01, PRDE,actvstrat=,0.845101, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.913497, actvprof=,0.010556, id=,B04, PRDE,actvstrat=,-0.559114, actvprof=,0.001250, id=,B07, PRDE,actvstrat=,0.747156, actvprof=,1.768824, id=,B08, PRDE,actvstrat=,0.876780, actvprof=,3.634040, id=,S00, PRDE,actvstrat=,-0.011828, actvprof=,3.248330, id=,S01, PRDE,actvstrat=,0.594874, actvprof=,4.715335, id=,S03, PRDE,actvstrat=,-0.547918, actvprof=,0.184174, id=,S05, PRDE,actvstrat=,0.137820, actvprof=,0.066114, id=,S09, PRDE,actvstrat=,0.576231, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.634040, best_B_strat=,0.876780, best_S_id=,S01, best_S_prof=,4.715335, best_S_strat=,0.594874, 
t=,54000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.626575, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.020002, id=,B07, PRDE,actvstrat=,0.279403, actvprof=,2.648276, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.634636, id=,S00, PRDE,actvstrat=,-0.626238, actvprof=,0.766175, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.842348, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.980998, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.094730, id=,S09, PRDE,actvstrat=,-0.806367, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.634636, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.842348, best_S_strat=,-1.000000, 
t=,57600, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.626575, actvprof=,0.000139, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.016390, id=,B07, PRDE,actvstrat=,0.279403, actvprof=,2.704140, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.609678, id=,S00, PRDE,actvstrat=,-0.626238, actvprof=,0.853230, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.785755, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.989944, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.100976, id=,S09, PRDE,actvstrat=,-0.806367, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.609678, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.785755, best_S_strat=,-1.000000, 
t=,61200, id=,B01, PRDE,actvstrat=,0.383556, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.201942, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.169605, actvprof=,0.907298, id=,B08, PRDE,actvstrat=,0.017833, actvprof=,2.802456, id=,S00, PRDE,actvstrat=,-0.836364, actvprof=,0.491430, id=,S01, PRDE,actvstrat=,0.483478, actvprof=,3.868100, id=,S03, PRDE,actvstrat=,-0.565952, actvprof=,0.102231, id=,S05, PRDE,actvstrat=,-0.959669, actvprof=,0.009445, id=,S09, PRDE,actvstrat=,0.518114, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.802456, best_B_strat=,0.017833, best_S_id=,S01, best_S_prof=,3.868100, best_S_strat=,0.483478, 
t=,64800, id=,B01, PRDE,actvstrat=,0.383556, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.201942, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.169605, actvprof=,0.843924, id=,B08, PRDE,actvstrat=,0.017833, actvprof=,2.709696, id=,S00, PRDE,actvstrat=,-0.836364, actvprof=,0.466131, id=,S01, PRDE,actvstrat=,0.483478, actvprof=,3.762657, id=,S03, PRDE,actvstrat=,-0.565952, actvprof=,0.106532, id=,S05, PRDE,actvstrat=,-0.959669, actvprof=,0.004722, id=,S09, PRDE,actvstrat=,0.518114, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.709696, best_B_strat=,0.017833, best_S_id=,S01, best_S_prof=,3.762657, best_S_strat=,0.483478, 
t=,68400, id=,B01, PRDE,actvstrat=,0.554133, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.003889, id=,B04, PRDE,actvstrat=,0.710360, actvprof=,0.183349, id=,B07, PRDE,actvstrat=,0.174067, actvprof=,3.646693, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.541656, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.392949, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.998667, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.264550, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.033892, id=,S09, PRDE,actvstrat=,0.551648, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.541656, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,5.392949, best_S_strat=,-1.000000, 
t=,72000, id=,B01, PRDE,actvstrat=,0.554133, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.002083, id=,B04, PRDE,actvstrat=,0.710360, actvprof=,0.196675, id=,B07, PRDE,actvstrat=,0.174067, actvprof=,3.601122, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.538050, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.300776, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.972388, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.205745, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.031390, id=,S09, PRDE,actvstrat=,0.551648, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.538050, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,5.300776, best_S_strat=,-1.000000, 
