t=,43200, id=,B00, PRDE,actvstrat=,-0.339640, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.515368, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.499352, actvprof=,0.189873, id=,B08, PRDE,actvstrat=,-0.269908, actvprof=,2.051378, id=,B09, PRDE,actvstrat=,-0.512959, actvprof=,3.625921, id=,S00, PRDE,actvstrat=,0.331336, actvprof=,4.504587, id=,S01, PRDE,actvstrat=,-0.673996, actvprof=,0.679765, id=,S04, PRDE,actvstrat=,-0.267925, actvprof=,0.034030, id=,S05, PRDE,actvstrat=,-0.016746, actvprof=,0.003611, id=,S08, PRDE,actvstrat=,0.611676, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.625921, best_B_strat=,-0.512959, best_S_id=,S00, best_S_prof=,4.504587, best_S_strat=,0.331336, 
t=,46800, id=,B00, PRDE,actvstrat=,0.136860, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.557692, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.289142, actvprof=,0.370324, id=,B08, PRDE,actvstrat=,0.809349, actvprof=,3.732133, id=,B09, PRDE,actvstrat=,-0.236844, actvprof=,3.202900, id=,S00, PRDE,actvstrat=,0.008079, actvprof=,3.696018, id=,S01, PRDE,actvstrat=,-0.720512, actvprof=,0.787598, id=,S04, PRDE,actvstrat=,0.621785, actvprof=,0.635913, id=,S05, PRDE,actvstrat=,0.029699, actvprof=,0.052229, id=,S08, PRDE,actvstrat=,-0.423758, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.732133, best_B_strat=,0.809349, best_S_id=,S00, best_S_prof=,3.696018, best_S_strat=,0.008079, 
t=,50400, id=,B00, PRDE,actvstrat=,0.136860, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.557692, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.289142, actvprof=,0.363773, id=,B08, PRDE,actvstrat=,0.809349, actvprof=,3.775236, id=,B09, PRDE,actvstrat=,-0.236844, actvprof=,3.153947, id=,S00, PRDE,actvstrat=,0.008079, actvprof=,3.667035, id=,S01, PRDE,actvstrat=,-0.720512, actvprof=,0.814495, id=,S04, PRDE,actvstrat=,0.621785, actvprof=,0.642818, id=,S05, PRDE,actvstrat=,0.029699, actvprof=,0.063198, id=,S08, PRDE,actvstrat=,-0.423758, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.775236, best_B_strat=,0.809349, best_S_id=,S00, best_S_prof=,3.667035, best_S_strat=,0.008079, 
t=,54000, id=,B00, PRDE,actvstrat=,0.868338, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.223609, actvprof=,0.173077, id=,B08, PRDE,actvstrat=,0.307032, actvprof=,2.688669, id=,B09, PRDE,actvstrat=,0.375552, actvprof=,4.428054, id=,S00, PRDE,actvstrat=,-0.828340, actvprof=,0.847328, id=,S01, PRDE,actvstrat=,0.089740, actvprof=,2.927310, id=,S04, PRDE,actvstrat=,-0.491525, actvprof=,0.082788, id=,S05, PRDE,actvstrat=,-0.151819, actvprof=,0.003056, id=,S08, PRDE,actvstrat=,0.160695, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.428054, best_B_strat=,0.375552, best_S_id=,S01, best_S_prof=,2.927310, best_S_strat=,0.089740, 
t=,57600, id=,B00, PRDE,actvstrat=,0.868338, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.223609, actvprof=,0.188206, id=,B08, PRDE,actvstrat=,0.307032, actvprof=,2.562105, id=,B09, PRDE,actvstrat=,0.375552, actvprof=,4.344438, id=,S00, PRDE,actvstrat=,-0.828340, actvprof=,0.765881, id=,S01, PRDE,actvstrat=,0.089740, actvprof=,3.011438, id=,S04, PRDE,actvstrat=,-0.491525, actvprof=,0.076116, id=,S05, PRDE,actvstrat=,-0.151819, actvprof=,0.006667, id=,S08, PRDE,actvstrat=,0.160695, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.344438, best_B_strat=,0.375552, best_S_id=,S01, best_S_prof=,3.011438, best_S_strat=,0.089740, 
t=,61200, id=,B00, PRDE,actvstrat=,-0.961310, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.616630, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.188067, actvprof=,0.987915, id=,B08, PRDE,actvstrat=,-0.978272, actvprof=,1.108209, id=,B09, PRDE,actvstrat=,-0.774766, actvprof=,3.149882, id=,S00, PRDE,actvstrat=,0.045798, actvprof=,3.422142, id=,S01, PRDE,actvstrat=,-0.851254, actvprof=,0.188359, id=,S04, PRDE,actvstrat=,0.861615, actvprof=,0.527573, id=,S05, PRDE,actvstrat=,-0.243194, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.716816, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.149882, best_B_strat=,-0.774766, best_S_id=,S00, best_S_prof=,3.422142, best_S_strat=,0.045798, 
t=,64800, id=,B00, PRDE,actvstrat=,-0.961310, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.616630, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.188067, actvprof=,0.940204, id=,B08, PRDE,actvstrat=,-0.978272, actvprof=,1.161608, id=,B09, PRDE,actvstrat=,-0.774766, actvprof=,3.240503, id=,S00, PRDE,actvstrat=,0.045798, actvprof=,3.230085, id=,S01, PRDE,actvstrat=,-0.851254, actvprof=,0.166400, id=,S04, PRDE,actvstrat=,0.861615, actvprof=,0.540176, id=,S05, PRDE,actvstrat=,-0.243194, actvprof=,0.000694, id=,S08, PRDE,actvstrat=,-0.716816, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.240503, best_B_strat=,-0.774766, best_S_id=,S00, best_S_prof=,3.230085, best_S_strat=,0.045798, 
t=,68400, id=,B00, PRDE,actvstrat=,0.592415, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.020931, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.406692, actvprof=,1.504633, id=,B08, PRDE,actvstrat=,0.637221, actvprof=,4.920059, id=,B09, PRDE,actvstrat=,0.062474, actvprof=,5.272881, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.224667, id=,S01, PRDE,actvstrat=,0.111508, actvprof=,1.960801, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.752038, id=,S05, PRDE,actvstrat=,-0.617797, actvprof=,0.001667, id=,S08, PRDE,actvstrat=,0.864332, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.272881, best_B_strat=,0.062474, best_S_id=,S00, best_S_prof=,6.224667, best_S_strat=,-1.000000, 
t=,72000, id=,B00, PRDE,actvstrat=,0.592415, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.020931, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.406692, actvprof=,1.514550, id=,B08, PRDE,actvstrat=,0.637221, actvprof=,4.936454, id=,B09, PRDE,actvstrat=,0.062474, actvprof=,5.497465, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.125564, id=,S01, PRDE,actvstrat=,0.111508, actvprof=,1.934023, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.697548, id=,S05, PRDE,actvstrat=,-0.617797, actvprof=,0.000833, id=,S08, PRDE,actvstrat=,0.864332, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.497465, best_B_strat=,0.062474, best_S_id=,S00, best_S_prof=,6.125564, best_S_strat=,-1.000000, 
t=,75600, id=,B00, PRDE,actvstrat=,-0.463082, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.757880, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.812103, actvprof=,0.210307, id=,B08, PRDE,actvstrat=,0.682745, actvprof=,4.728435, id=,B09, PRDE,actvstrat=,-0.637393, actvprof=,4.097236, id=,S00, PRDE,actvstrat=,-0.896390, actvprof=,0.138075, id=,S01, PRDE,actvstrat=,0.020288, actvprof=,1.852480, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.860397, id=,S05, PRDE,actvstrat=,-0.275511, actvprof=,0.006668, id=,S08, PRDE,actvstrat=,0.864332, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.728435, best_B_strat=,0.682745, best_S_id=,S01, best_S_prof=,1.852480, best_S_strat=,0.020288, 
