t=,39600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.141944, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.956667, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.680278, id=,S01, PRDE,actvstrat=,0.109688, actvprof=,2.750833, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,4.113889, id=,S04, PRDE,actvstrat=,-0.923040, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.182607, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.956667, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.680278, best_S_strat=,-1.000000, 
t=,43200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.163198, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.899290, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.777502, id=,S01, PRDE,actvstrat=,0.109688, actvprof=,2.652833, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,4.140364, id=,S04, PRDE,actvstrat=,-0.923040, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.182607, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.899290, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.777502, best_S_strat=,-1.000000, 
t=,46800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.360434, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.269896, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.056947, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.074142, id=,S00, PRDE,actvstrat=,-0.369184, actvprof=,1.488118, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,6.037474, id=,S02, PRDE,actvstrat=,0.430917, actvprof=,2.304818, id=,S04, PRDE,actvstrat=,-0.799503, actvprof=,0.014445, id=,S07, PRDE,actvstrat=,0.698964, actvprof=,0.002500, best_B_id=,B09, best_B_prof=,6.074142, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,6.037474, best_S_strat=,-1.000000, 
t=,50400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.360434, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.269896, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.057918, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.106933, id=,S00, PRDE,actvstrat=,-0.369184, actvprof=,1.509337, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,6.019987, id=,S02, PRDE,actvstrat=,0.430917, actvprof=,2.256297, id=,S04, PRDE,actvstrat=,-0.799503, actvprof=,0.012361, id=,S07, PRDE,actvstrat=,0.698964, actvprof=,0.001944, best_B_id=,B09, best_B_prof=,6.106933, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,6.019987, best_S_strat=,-1.000000, 
t=,54000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.002222, id=,B05, PRDE,actvstrat=,0.818924, actvprof=,0.991152, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,7.456977, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.647499, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.972943, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.364585, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.337514, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.456977, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.647499, best_S_strat=,1.000000, 
t=,57600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.001111, id=,B05, PRDE,actvstrat=,0.818924, actvprof=,1.001132, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,7.437377, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.601249, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.895359, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.362570, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.333201, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.437377, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.601249, best_S_strat=,1.000000, 
t=,61200, id=,B00, PRDE,actvstrat=,0.603633, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.386658, actvprof=,0.128616, id=,B09, PRDE,actvstrat=,0.198143, actvprof=,5.284109, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.201411, id=,S01, PRDE,actvstrat=,-0.952076, actvprof=,0.036390, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,4.116560, id=,S04, PRDE,actvstrat=,0.533339, actvprof=,0.146395, id=,S07, PRDE,actvstrat=,-0.984749, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.284109, best_B_strat=,0.198143, best_S_id=,S00, best_S_prof=,7.201411, best_S_strat=,1.000000, 
t=,64800, id=,B00, PRDE,actvstrat=,0.603633, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.386658, actvprof=,0.117779, id=,B09, PRDE,actvstrat=,0.198143, actvprof=,5.299796, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.141349, id=,S01, PRDE,actvstrat=,-0.952076, actvprof=,0.032639, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,4.044917, id=,S04, PRDE,actvstrat=,0.533339, actvprof=,0.133057, id=,S07, PRDE,actvstrat=,-0.984749, actvprof=,0.000833, best_B_id=,B09, best_B_prof=,5.299796, best_B_strat=,0.198143, best_S_id=,S00, best_S_prof=,7.141349, best_S_strat=,1.000000, 
t=,68400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.231862, actvprof=,0.214450, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.221312, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.930998, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.623184, id=,S02, PRDE,actvstrat=,-0.273917, actvprof=,0.276952, id=,S04, PRDE,actvstrat=,-0.436254, actvprof=,0.009445, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.221312, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,5.930998, best_S_strat=,-1.000000, 
t=,72000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.231862, actvprof=,0.217505, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.225012, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.924568, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.720932, id=,S02, PRDE,actvstrat=,-0.273917, actvprof=,0.255978, id=,S04, PRDE,actvstrat=,-0.436254, actvprof=,0.010972, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.225012, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,5.924568, best_S_strat=,-1.000000, 
