t=,39600, id=,B02, PRDE,actvstrat=,0.409884, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.106950, id=,B06, PRDE,actvstrat=,-0.509734, actvprof=,0.783932, id=,B08, PRDE,actvstrat=,-0.102108, actvprof=,4.179399, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.707928, id=,S02, PRDE,actvstrat=,0.357210, actvprof=,1.297572, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.548142, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.010001, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000833, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.707928, best_B_strat=,1.000000, best_S_id=,S03, best_S_prof=,1.548142, best_S_strat=,1.000000, 
t=,43200, id=,B02, PRDE,actvstrat=,0.409884, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.100281, id=,B06, PRDE,actvstrat=,-0.509734, actvprof=,0.817106, id=,B08, PRDE,actvstrat=,-0.102108, actvprof=,4.229423, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.712159, id=,S02, PRDE,actvstrat=,0.357210, actvprof=,1.203367, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.545182, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.017362, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.712159, best_B_strat=,1.000000, best_S_id=,S03, best_S_prof=,1.545182, best_S_strat=,1.000000, 
t=,46800, id=,B02, PRDE,actvstrat=,-0.724053, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.413055, actvprof=,0.070837, id=,B06, PRDE,actvstrat=,-0.030052, actvprof=,2.207900, id=,B08, PRDE,actvstrat=,0.912172, actvprof=,6.760376, id=,B09, PRDE,actvstrat=,-0.125789, actvprof=,6.439802, id=,S02, PRDE,actvstrat=,0.616881, actvprof=,0.840047, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.713651, id=,S06, PRDE,actvstrat=,0.975027, actvprof=,0.017501, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.972626, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.760376, best_B_strat=,0.912172, best_S_id=,S02, best_S_prof=,0.840047, best_S_strat=,0.616881, 
t=,50400, id=,B02, PRDE,actvstrat=,-0.724053, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.413055, actvprof=,0.063473, id=,B06, PRDE,actvstrat=,-0.030052, actvprof=,2.120848, id=,B08, PRDE,actvstrat=,0.912172, actvprof=,6.801853, id=,B09, PRDE,actvstrat=,-0.125789, actvprof=,6.544212, id=,S02, PRDE,actvstrat=,0.616881, actvprof=,0.887645, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.759172, id=,S06, PRDE,actvstrat=,0.975027, actvprof=,0.023056, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.972626, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.801853, best_B_strat=,0.912172, best_S_id=,S02, best_S_prof=,0.887645, best_S_strat=,0.616881, 
t=,54000, id=,B02, PRDE,actvstrat=,-0.212235, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.025557, id=,B06, PRDE,actvstrat=,0.999300, actvprof=,1.864548, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.664981, id=,B09, PRDE,actvstrat=,0.496660, actvprof=,6.186177, id=,S02, PRDE,actvstrat=,-0.185751, actvprof=,0.362242, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.579588, id=,S06, PRDE,actvstrat=,-0.509961, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.001389, id=,S09, PRDE,actvstrat=,0.712188, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.186177, best_B_strat=,0.496660, best_S_id=,S03, best_S_prof=,2.579588, best_S_strat=,1.000000, 
t=,57600, id=,B02, PRDE,actvstrat=,-0.212235, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.020834, id=,B06, PRDE,actvstrat=,0.999300, actvprof=,1.817109, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.629370, id=,B09, PRDE,actvstrat=,0.496660, actvprof=,6.127446, id=,S02, PRDE,actvstrat=,-0.185751, actvprof=,0.334588, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.556008, id=,S06, PRDE,actvstrat=,-0.509961, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000972, id=,S09, PRDE,actvstrat=,0.712188, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.127446, best_B_strat=,0.496660, best_S_id=,S03, best_S_prof=,2.556008, best_S_strat=,1.000000, 
t=,61200, id=,B02, PRDE,actvstrat=,0.930660, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.413055, actvprof=,0.000833, id=,B06, PRDE,actvstrat=,-0.775866, actvprof=,0.620034, id=,B08, PRDE,actvstrat=,-0.520830, actvprof=,3.554086, id=,B09, PRDE,actvstrat=,0.550794, actvprof=,7.486805, id=,S02, PRDE,actvstrat=,-0.917623, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.570923, actvprof=,0.405300, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.003334, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.590930, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.486805, best_B_strat=,0.550794, best_S_id=,S03, best_S_prof=,0.405300, best_S_strat=,0.570923, 
t=,64800, id=,B02, PRDE,actvstrat=,0.930660, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.413055, actvprof=,0.002639, id=,B06, PRDE,actvstrat=,-0.775866, actvprof=,0.562793, id=,B08, PRDE,actvstrat=,-0.520830, actvprof=,3.664685, id=,B09, PRDE,actvstrat=,0.550794, actvprof=,7.519237, id=,S02, PRDE,actvstrat=,-0.917623, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.570923, actvprof=,0.360704, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.005833, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.590930, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.519237, best_B_strat=,0.550794, best_S_id=,S03, best_S_prof=,0.360704, best_S_strat=,0.570923, 
t=,68400, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.894490, actvprof=,0.025835, id=,B06, PRDE,actvstrat=,-0.022104, actvprof=,1.221457, id=,B08, PRDE,actvstrat=,-0.801669, actvprof=,2.652925, id=,B09, PRDE,actvstrat=,-0.131656, actvprof=,5.612534, id=,S02, PRDE,actvstrat=,0.543657, actvprof=,1.397578, id=,S03, PRDE,actvstrat=,-0.751422, actvprof=,0.024168, id=,S06, PRDE,actvstrat=,0.557609, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.987232, actvprof=,0.001389, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.612534, best_B_strat=,-0.131656, best_S_id=,S02, best_S_prof=,1.397578, best_S_strat=,0.543657, 
t=,72000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.894490, actvprof=,0.024306, id=,B06, PRDE,actvstrat=,-0.022104, actvprof=,1.255452, id=,B08, PRDE,actvstrat=,-0.801669, actvprof=,2.516459, id=,B09, PRDE,actvstrat=,-0.131656, actvprof=,5.658907, id=,S02, PRDE,actvstrat=,0.543657, actvprof=,1.342954, id=,S03, PRDE,actvstrat=,-0.751422, actvprof=,0.030140, id=,S06, PRDE,actvstrat=,0.557609, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.987232, actvprof=,0.000694, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.658907, best_B_strat=,-0.131656, best_S_id=,S02, best_S_prof=,1.342954, best_S_strat=,0.543657, 
