t=,39600, id=,B00, PRDE,actvstrat=,-0.679222, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.059919, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.699926, actvprof=,0.059448, id=,B06, PRDE,actvstrat=,0.478731, actvprof=,1.573699, id=,B08, PRDE,actvstrat=,-0.828720, actvprof=,1.958442, id=,S00, PRDE,actvstrat=,-0.352604, actvprof=,2.286794, id=,S01, PRDE,actvstrat=,-0.324169, actvprof=,1.400356, id=,S02, PRDE,actvstrat=,-0.471944, actvprof=,0.634202, id=,S05, PRDE,actvstrat=,0.910652, actvprof=,0.026946, id=,S08, PRDE,actvstrat=,0.703083, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,1.958442, best_B_strat=,-0.828720, best_S_id=,S00, best_S_prof=,2.286794, best_S_strat=,-0.352604, 
t=,43200, id=,B00, PRDE,actvstrat=,-0.679222, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.059919, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.699926, actvprof=,0.057085, id=,B06, PRDE,actvstrat=,0.478731, actvprof=,1.562405, id=,B08, PRDE,actvstrat=,-0.828720, actvprof=,1.915470, id=,S00, PRDE,actvstrat=,-0.352604, actvprof=,2.354510, id=,S01, PRDE,actvstrat=,-0.324169, actvprof=,1.455040, id=,S02, PRDE,actvstrat=,-0.471944, actvprof=,0.589322, id=,S05, PRDE,actvstrat=,0.910652, actvprof=,0.031668, id=,S08, PRDE,actvstrat=,0.703083, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,1.915470, best_B_strat=,-0.828720, best_S_id=,S00, best_S_prof=,2.354510, best_S_strat=,-0.352604, 
t=,46800, id=,B00, PRDE,actvstrat=,0.967956, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.722505, actvprof=,0.002778, id=,B05, PRDE,actvstrat=,-0.005250, actvprof=,0.210845, id=,B06, PRDE,actvstrat=,0.414755, actvprof=,1.370632, id=,B08, PRDE,actvstrat=,-0.700362, actvprof=,2.577088, id=,S00, PRDE,actvstrat=,0.917162, actvprof=,6.772321, id=,S01, PRDE,actvstrat=,-0.372390, actvprof=,1.390633, id=,S02, PRDE,actvstrat=,-0.142914, actvprof=,0.815879, id=,S05, PRDE,actvstrat=,0.610866, actvprof=,0.020834, id=,S08, PRDE,actvstrat=,0.138028, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.577088, best_B_strat=,-0.700362, best_S_id=,S00, best_S_prof=,6.772321, best_S_strat=,0.917162, 
t=,50400, id=,B00, PRDE,actvstrat=,0.967956, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.722505, actvprof=,0.001389, id=,B05, PRDE,actvstrat=,-0.005250, actvprof=,0.208617, id=,B06, PRDE,actvstrat=,0.414755, actvprof=,1.423928, id=,B08, PRDE,actvstrat=,-0.700362, actvprof=,2.548126, id=,S00, PRDE,actvstrat=,0.917162, actvprof=,6.806995, id=,S01, PRDE,actvstrat=,-0.372390, actvprof=,1.394622, id=,S02, PRDE,actvstrat=,-0.142914, actvprof=,0.814189, id=,S05, PRDE,actvstrat=,0.610866, actvprof=,0.018195, id=,S08, PRDE,actvstrat=,0.138028, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.548126, best_B_strat=,-0.700362, best_S_id=,S00, best_S_prof=,6.806995, best_S_strat=,0.917162, 
t=,54000, id=,B00, PRDE,actvstrat=,-0.456251, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.480719, actvprof=,0.001389, id=,B05, PRDE,actvstrat=,-0.529339, actvprof=,0.190844, id=,B06, PRDE,actvstrat=,-0.145223, actvprof=,0.967276, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.628368, id=,S00, PRDE,actvstrat=,-0.863556, actvprof=,0.444747, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.648592, id=,S02, PRDE,actvstrat=,0.858783, actvprof=,2.673204, id=,S05, PRDE,actvstrat=,-0.066930, actvprof=,0.007778, id=,S08, PRDE,actvstrat=,-0.101544, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.628368, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.648592, best_S_strat=,1.000000, 
t=,57600, id=,B00, PRDE,actvstrat=,-0.456251, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.480719, actvprof=,0.000694, id=,B05, PRDE,actvstrat=,-0.529339, actvprof=,0.197228, id=,B06, PRDE,actvstrat=,-0.145223, actvprof=,0.996694, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.674602, id=,S00, PRDE,actvstrat=,-0.863556, actvprof=,0.327231, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.639990, id=,S02, PRDE,actvstrat=,0.858783, actvprof=,2.567849, id=,S05, PRDE,actvstrat=,-0.066930, actvprof=,0.006806, id=,S08, PRDE,actvstrat=,-0.101544, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.674602, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.639990, best_S_strat=,1.000000, 
t=,61200, id=,B00, PRDE,actvstrat=,-0.600751, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.722505, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.779285, actvprof=,0.044170, id=,B06, PRDE,actvstrat=,-0.255380, actvprof=,0.585874, id=,B08, PRDE,actvstrat=,-0.770263, actvprof=,2.375165, id=,S00, PRDE,actvstrat=,-0.799082, actvprof=,0.488923, id=,S01, PRDE,actvstrat=,0.057527, actvprof=,1.962636, id=,S02, PRDE,actvstrat=,-0.577592, actvprof=,0.259185, id=,S05, PRDE,actvstrat=,-0.911915, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.995405, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.375165, best_B_strat=,-0.770263, best_S_id=,S01, best_S_prof=,1.962636, best_S_strat=,0.057527, 
t=,64800, id=,B00, PRDE,actvstrat=,-0.600751, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.722505, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.779285, actvprof=,0.038474, id=,B06, PRDE,actvstrat=,-0.255380, actvprof=,0.613632, id=,B08, PRDE,actvstrat=,-0.770263, actvprof=,2.326470, id=,S00, PRDE,actvstrat=,-0.799082, actvprof=,0.467794, id=,S01, PRDE,actvstrat=,0.057527, actvprof=,1.890343, id=,S02, PRDE,actvstrat=,-0.577592, actvprof=,0.239453, id=,S05, PRDE,actvstrat=,-0.911915, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.995405, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.326470, best_B_strat=,-0.770263, best_S_id=,S01, best_S_prof=,1.890343, best_S_strat=,0.057527, 
t=,68400, id=,B00, PRDE,actvstrat=,0.853324, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.616341, actvprof=,0.201403, id=,B06, PRDE,actvstrat=,0.405538, actvprof=,0.901451, id=,B08, PRDE,actvstrat=,0.325391, actvprof=,3.760817, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.383568, id=,S01, PRDE,actvstrat=,-0.377122, actvprof=,0.795889, id=,S02, PRDE,actvstrat=,0.257987, actvprof=,1.591222, id=,S05, PRDE,actvstrat=,0.824591, actvprof=,0.046948, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.760817, best_B_strat=,0.325391, best_S_id=,S00, best_S_prof=,7.383568, best_S_strat=,1.000000, 
t=,72000, id=,B00, PRDE,actvstrat=,0.853324, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.616341, actvprof=,0.202368, id=,B06, PRDE,actvstrat=,0.405538, actvprof=,0.881419, id=,B08, PRDE,actvstrat=,0.325391, actvprof=,3.711934, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.365256, id=,S01, PRDE,actvstrat=,-0.377122, actvprof=,0.834335, id=,S02, PRDE,actvstrat=,0.257987, actvprof=,1.560888, id=,S05, PRDE,actvstrat=,0.824591, actvprof=,0.055835, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.711934, best_B_strat=,0.325391, best_S_id=,S00, best_S_prof=,7.365256, best_S_strat=,1.000000, 
