B00, 19
B00, Trade, 143777.850, 60, B00, S00, 1
B00, Trade, 245400.250, 60, B00, S00, 1
B00, Trade, 418082.850, 60, B00, S00, 1
B00, Trade, 494322.250, 60, S00, B00, 1
B00, Trade, 629648.050, 60, B00, S00, 1
B00, Trade, 961196.350, 60, B00, S00, 1
B00, Trade, 1380488.151, 60, B00, S00, 1
B00, Trade, 1531616.451, 60, B00, S00, 1
B00, Trade, 3170789.297, 60, B00, S00, 1
B00, Trade, 3408834.046, 60, S00, B00, 1
B00, Trade, 3411049.296, 60, B00, S00, 1
B00, Trade, 3414201.946, 60, B00, S00, 1
B00, Trade, 3572679.946, 60, B00, S00, 1
B00, Trade, 3585379.546, 60, B00, S00, 1
B00, Trade, 3851660.545, 60, B00, S00, 1
B00, Trade, 3978189.144, 60, B00, S00, 1
B00, Trade, 3996280.494, 60, B00, S00, 1
B00, Trade, 4089318.294, 60, B00, S00, 1
B00, Trade, 4204929.994, 60, B00, S00, 1
B01, 100
B01, Trade, 3973460.044, 68, B01, S00, 1
B01, Trade, 3976193.544, 68, B01, S00, 1
B01, Trade, 3978777.344, 67, S00, B01, 1
B01, Trade, 3992134.444, 68, B01, S00, 1
B01, Trade, 3995611.594, 67, B01, S00, 1
B01, Trade, 3998125.794, 68, B01, S00, 1
B01, Trade, 4010769.844, 68, S00, B01, 1
B01, Trade, 4021478.694, 68, B01, S00, 1
B01, Trade, 4024706.344, 68, B01, S00, 1
B01, Trade, 4031417.794, 67, B01, S00, 1
B01, Trade, 4032967.344, 68, B01, S00, 1
B01, Trade, 4037147.394, 68, B01, S00, 1
B01, Trade, 4039590.144, 68, B01, S00, 1
B01, Trade, 4041878.944, 67, B01, S00, 1
B01, Trade, 4044960.894, 68, B01, S00, 1
B01, Trade, 4045104.244, 68, B01, S00, 1
B01, Trade, 4045985.644, 68, B01, S00, 1
B01, Trade, 4048815.294, 68, B01, S00, 1
B01, Trade, 4049093.994, 68, B01, S00, 1
B01, Trade, 4050146.044, 67, B01, S00, 1
B01, Trade, 4050565.694, 68, B01, S00, 1
B01, Trade, 4051164.794, 68, B01, S00, 1
B01, Trade, 4052218.694, 67, B01, S00, 1
B01, Trade, 4065980.894, 68, B01, S00, 1
B01, Trade, 4076761.444, 68, B01, S00, 1
B01, Trade, 4084511.094, 67, B01, S00, 1
B01, Trade, 4104294.194, 65, B01, S00, 1
B01, Trade, 4110745.894, 68, B01, S00, 1
B01, Trade, 4117844.094, 68, B01, S00, 1
B01, Trade, 4120842.794, 68, B01, S00, 1
B01, Trade, 4121563.644, 68, B01, S00, 1
B01, Trade, 4121837.944, 68, B01, S00, 1
B01, Trade, 4129614.094, 67, B01, S00, 1
B01, Trade, 4138100.644, 68, B01, S00, 1
B01, Trade, 4148685.194, 68, B01, S00, 1
B01, Trade, 4149244.044, 68, B01, S00, 1
B01, Trade, 4149295.244, 68, B01, S00, 1
B01, Trade, 4149863.794, 68, B01, S00, 1
B01, Trade, 4154193.644, 68, B01, S00, 1
B01, Trade, 4154703.044, 68, B01, S00, 1
B01, Trade, 4157581.644, 68, B01, S00, 1
B01, Trade, 4171606.044, 68, B01, S00, 1
B01, Trade, 4174406.594, 68, B01, S00, 1
B01, Trade, 4176905.394, 68, B01, S00, 1
B01, Trade, 4178482.194, 68, B01, S00, 1
B01, Trade, 4182118.894, 68, B01, S00, 1
B01, Trade, 4184112.194, 68, B01, S00, 1
B01, Trade, 4190233.044, 68, B01, S00, 1
B01, Trade, 4196192.994, 68, B01, S00, 1
B01, Trade, 4196666.994, 68, B01, S00, 1
B01, Trade, 4196844.294, 68, B01, S00, 1
B01, Trade, 4198203.844, 63, S00, B01, 1
B01, Trade, 4198281.994, 67, B01, S00, 1
B01, Trade, 4199194.744, 67, B01, S00, 1
B01, Trade, 4200350.094, 66, B01, S00, 1
B01, Trade, 4203768.844, 68, B01, S00, 1
B01, Trade, 4206027.694, 68, B01, S00, 1
B01, Trade, 4206706.594, 68, B01, S00, 1
B01, Trade, 4207329.244, 68, B01, S00, 1
B01, Trade, 4208084.294, 68, B01, S00, 1
B01, Trade, 4209033.094, 68, B01, S00, 1
B01, Trade, 4209307.694, 68, B01, S00, 1
B01, Trade, 4209474.094, 68, B01, S00, 1
B01, Trade, 4210340.144, 68, B01, S00, 1
B01, Trade, 4216467.493, 68, B01, S00, 1
B01, Trade, 4218066.543, 68, B01, S00, 1
B01, Trade, 4220085.593, 68, B01, S00, 1
B01, Trade, 4220414.443, 68, B01, S00, 1
B01, Trade, 4250720.593, 68, B01, S00, 1
B01, Trade, 4258308.543, 67, B01, S00, 1
B01, Trade, 4259552.143, 68, B01, S00, 1
B01, Trade, 4280829.493, 68, B01, S00, 1
B01, Trade, 4281191.193, 68, B01, S00, 1
B01, Trade, 4281844.743, 68, B01, S00, 1
B01, Trade, 4282661.293, 68, B01, S00, 1
B01, Trade, 4283047.243, 68, B01, S00, 1
B01, Trade, 4287852.743, 68, B01, S00, 1
B01, Trade, 4290500.043, 68, B01, S00, 1
B01, Trade, 4291322.293, 68, B01, S00, 1
B01, Trade, 4291706.343, 68, B01, S00, 1
B01, Trade, 4292018.893, 68, B01, S00, 1
B01, Trade, 4292324.793, 68, B01, S00, 1
B01, Trade, 4292541.393, 66, B01, S00, 1
B01, Trade, 4292958.093, 68, B01, S00, 1
B01, Trade, 4293305.893, 68, B01, S00, 1
B01, Trade, 4293395.393, 68, B01, S00, 1
B01, Trade, 4293900.843, 68, B01, S00, 1
B01, Trade, 4296426.893, 67, B01, S00, 1
B01, Trade, 4297089.593, 68, B01, S00, 1
B01, Trade, 4297404.093, 68, B01, S00, 1
B01, Trade, 4297874.993, 68, B01, S00, 1
B01, Trade, 4298730.643, 68, B01, S00, 1
B01, Trade, 4300002.143, 68, B01, S00, 1
B01, Trade, 4300181.543, 68, B01, S00, 1
B01, Trade, 4300830.643, 68, B01, S00, 1
B01, Trade, 4301195.893, 68, B01, S00, 1
B01, Trade, 4301674.843, 68, B01, S00, 1
B01, Trade, 4304428.543, 68, B01, S00, 1
B01, Trade, 4305481.293, 68, B01, S00, 1
B01, Trade, 4306216.793, 68, B01, S00, 1
B02, 100
B02, Trade, 4291458.443, 76, B02, S00, 1
B02, Trade, 4291596.593, 76, B02, S00, 1
B02, Trade, 4292360.943, 76, B02, S00, 1
B02, Trade, 4292752.443, 76, B02, S00, 1
B02, Trade, 4292860.343, 75, B02, S00, 1
B02, Trade, 4293300.643, 76, B02, S00, 1
B02, Trade, 4293371.543, 72, B02, S00, 1
B02, Trade, 4293433.293, 76, B02, S00, 1
B02, Trade, 4293513.993, 74, B02, S00, 1
B02, Trade, 4293552.693, 73, B02, S00, 1
B02, Trade, 4293612.243, 76, B02, S00, 1
B02, Trade, 4293679.393, 75, B02, S00, 1
B02, Trade, 4293753.493, 74, B02, S00, 1
B02, Trade, 4294435.043, 76, B02, S00, 1
B02, Trade, 4294579.043, 76, B02, S00, 1
B02, Trade, 4294982.343, 75, B02, S00, 1
B02, Trade, 4295023.343, 75, B02, S00, 1
B02, Trade, 4295271.493, 76, B02, S00, 1
B02, Trade, 4295367.793, 75, B02, S00, 1
B02, Trade, 4295597.043, 74, B02, S00, 1
B02, Trade, 4295733.193, 74, B02, S00, 1
B02, Trade, 4296531.393, 72, B02, S00, 1
B02, Trade, 4296605.443, 72, B02, S00, 1
B02, Trade, 4297022.343, 69, S00, B02, 1
B02, Trade, 4297032.543, 73, B02, S00, 1
B02, Trade, 4297585.793, 75, B02, S00, 1
B02, Trade, 4297753.543, 75, B02, S00, 1
B02, Trade, 4297763.543, 75, B02, S00, 1
B02, Trade, 4297847.293, 74, B02, S00, 1
