t=,39600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.050374, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.093757, actvprof=,1.153953, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.938385, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.770932, id=,S02, PRDE,actvstrat=,-0.409993, actvprof=,0.220846, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.495361, id=,S06, PRDE,actvstrat=,-0.502776, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.723947, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.938385, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.770932, best_S_strat=,1.000000, 
t=,43200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.050374, actvprof=,0.003056, id=,B06, PRDE,actvstrat=,-0.093757, actvprof=,1.149337, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.863080, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.747271, id=,S02, PRDE,actvstrat=,-0.409993, actvprof=,0.194033, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.553932, id=,S06, PRDE,actvstrat=,-0.502776, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.723947, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.863080, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.747271, best_S_strat=,1.000000, 
t=,46800, id=,B00, PRDE,actvstrat=,0.863074, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.023369, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.420040, actvprof=,0.001389, id=,B06, PRDE,actvstrat=,-0.413520, actvprof=,0.490027, id=,B08, PRDE,actvstrat=,0.841896, actvprof=,5.580310, id=,S00, PRDE,actvstrat=,-0.571715, actvprof=,1.153397, id=,S02, PRDE,actvstrat=,0.601642, actvprof=,1.884271, id=,S03, PRDE,actvstrat=,-0.499363, actvprof=,0.067504, id=,S06, PRDE,actvstrat=,0.777209, actvprof=,0.011390, id=,S07, PRDE,actvstrat=,0.842629, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.580310, best_B_strat=,0.841896, best_S_id=,S02, best_S_prof=,1.884271, best_S_strat=,0.601642, 
t=,50400, id=,B00, PRDE,actvstrat=,0.863074, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.023369, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.420040, actvprof=,0.000694, id=,B06, PRDE,actvstrat=,-0.413520, actvprof=,0.427095, id=,B08, PRDE,actvstrat=,0.841896, actvprof=,5.363205, id=,S00, PRDE,actvstrat=,-0.571715, actvprof=,1.139337, id=,S02, PRDE,actvstrat=,0.601642, actvprof=,2.084780, id=,S03, PRDE,actvstrat=,-0.499363, actvprof=,0.077085, id=,S06, PRDE,actvstrat=,0.777209, actvprof=,0.013334, id=,S07, PRDE,actvstrat=,0.842629, actvprof=,0.000833, best_B_id=,B08, best_B_prof=,5.363205, best_B_strat=,0.841896, best_S_id=,S02, best_S_prof=,2.084780, best_S_strat=,0.601642, 
t=,54000, id=,B00, PRDE,actvstrat=,-0.210828, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.210291, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.140331, actvprof=,0.003889, id=,B06, PRDE,actvstrat=,0.240049, actvprof=,2.677093, id=,B08, PRDE,actvstrat=,-0.493842, actvprof=,4.614145, id=,S00, PRDE,actvstrat=,0.874978, actvprof=,5.126674, id=,S02, PRDE,actvstrat=,0.818412, actvprof=,1.564254, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.850325, id=,S06, PRDE,actvstrat=,-0.428346, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.614145, best_B_strat=,-0.493842, best_S_id=,S00, best_S_prof=,5.126674, best_S_strat=,0.874978, 
t=,57600, id=,B00, PRDE,actvstrat=,-0.210828, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.210291, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.140331, actvprof=,0.005139, id=,B06, PRDE,actvstrat=,0.240049, actvprof=,2.595090, id=,B08, PRDE,actvstrat=,-0.493842, actvprof=,4.510157, id=,S00, PRDE,actvstrat=,0.874978, actvprof=,5.200181, id=,S02, PRDE,actvstrat=,0.818412, actvprof=,1.628251, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.899337, id=,S06, PRDE,actvstrat=,-0.428346, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.510157, best_B_strat=,-0.493842, best_S_id=,S00, best_S_prof=,5.200181, best_S_strat=,0.874978, 
t=,61200, id=,B00, PRDE,actvstrat=,0.022559, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.689815, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.984299, actvprof=,0.002500, id=,B06, PRDE,actvstrat=,-0.345549, actvprof=,0.715327, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.523439, id=,S00, PRDE,actvstrat=,0.689031, actvprof=,5.200917, id=,S02, PRDE,actvstrat=,0.523629, actvprof=,1.672061, id=,S03, PRDE,actvstrat=,0.711472, actvprof=,0.885061, id=,S06, PRDE,actvstrat=,0.777209, actvprof=,0.000278, id=,S07, PRDE,actvstrat=,-0.282351, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.523439, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,5.200917, best_S_strat=,0.689031, 
t=,64800, id=,B00, PRDE,actvstrat=,0.022559, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.689815, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.984299, actvprof=,0.003056, id=,B06, PRDE,actvstrat=,-0.345549, actvprof=,0.711414, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.565054, id=,S00, PRDE,actvstrat=,0.689031, actvprof=,5.062398, id=,S02, PRDE,actvstrat=,0.523629, actvprof=,1.585333, id=,S03, PRDE,actvstrat=,0.711472, actvprof=,0.870308, id=,S06, PRDE,actvstrat=,0.777209, actvprof=,0.000139, id=,S07, PRDE,actvstrat=,-0.282351, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.565054, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,5.062398, best_S_strat=,0.689031, 
t=,68400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.973927, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.549466, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.069557, actvprof=,1.480658, id=,B08, PRDE,actvstrat=,-0.313138, actvprof=,4.273630, id=,S00, PRDE,actvstrat=,-0.016310, actvprof=,2.119869, id=,S02, PRDE,actvstrat=,-0.859238, actvprof=,0.024446, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.290090, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.002500, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.273630, best_B_strat=,-0.313138, best_S_id=,S00, best_S_prof=,2.119869, best_S_strat=,-0.016310, 
t=,72000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.973927, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.549466, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.069557, actvprof=,1.546314, id=,B08, PRDE,actvstrat=,-0.313138, actvprof=,4.267400, id=,S00, PRDE,actvstrat=,-0.016310, actvprof=,2.017862, id=,S02, PRDE,actvstrat=,-0.859238, actvprof=,0.012223, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.195744, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.002500, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.267400, best_B_strat=,-0.313138, best_S_id=,S00, best_S_prof=,2.017862, best_S_strat=,-0.016310, 
